"Tipus ens","Òrgan contractant","Contracte núm","Tipus de contracte","Objecte contracte","Data formalització","Preu contracte","Data formalització modificació","Import modificació","Modificació prevista en el plec","Modificació no prevista en el plec","% variació sobre el preu del contracte"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos","15002241-002","Privat d'Administració Pública","Cessió obra artística Bombers de Barcelona","20/10/2015",40000.0,"NO CONSTA","10000.00","SÍ","","25.00"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos","15003096-002","Serveis","Assistència tècnica i suport gestió subministramen","28/11/2015",119989.0,"NO CONSTA","11413.00","SÍ","","9.51"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos","15005533-002","Serveis","SUPORT GESTIÓ DELS CONTRACTES DE TELECOMUNICACIONS","22/07/2019",125840.0,"22/07/2019","95832.00","SÍ","","76.15"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos","16001198-004","Serveis","DISSENY WEB I PROGRAMACIÓ WEBS I APLICACIONS","30/06/2016",1482250.0,"12/11/2019","296450.00","SÍ","","20.00"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos","16001290-003","Serveis","COORDINACIÓ I GESTIÓ DE PROJECTES DE WEB AJUNTAMEN","11/07/2016",522966.8,"04/11/2019","26148.33","SÍ","","5.00"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos","16001802-002","Subministraments","SUPORT AUDIOVISUAL ACTES CIUTADANS MANTEN.EQUIPS","24/1016",660000.0,"NO CONSTA","41250.00","SÍ","","6.25"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos","16001802-004","Subministraments","SUPORT AUDIOVISUAL ACTES CIUTADANS MANTEN.EQUIPS","24/10/2016",660000.0,"NO CONSTA","8250.00","SÍ","","1.25"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos","16001920-003","Serveis","TRASLLAT ARXIUS I SERVEIS ASSISTÈNCIA ACTES CIUT.","24/10/2016",657854.74,"NO CONSTA","43919.28","SÍ","","6.68"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos","16005829-003","Serveis","Producció multimèdia, audiovisuals i fotografies","02/05/2017",1452000.0,"27/06/2019","182651.92","SÍ","","12.58"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos","16005211-001","Serveis","Lot 1 Neteja Ed. Ciutat Vella, Recursos i RRHH","22/06/2017",5907054.78,"NO CONSTA","-80415.69","SÍ","","-1.36"
