"ANY","CONCEPTE","CODI_OPERACIÓ","TIPUS_OPERACIÓ","CODI_CAPÍTOL","NOM_CAPÍTOL","AJUNTAMENT_INDIVIDUAL","AGREGAT_NO_CONSOLIDAT","ELIMINACIÓ_ TRANSFERENCIES_INTERNES","TOTAL_CONSOLIDAT"
2008,"INGRESSOS","A","OPERACIONS CORRENTS",1,"IMPOSTOS DIRECTES",721140,721140,0,721140
2008,"INGRESSOS","A","OPERACIONS CORRENTS",2,"IMPOSTOS INDIRECTES",76888,76888,0,76888
2008,"INGRESSOS","A","OPERACIONS CORRENTS",3,"TAXES I ALTRES INGRESSOS",276162,332205,-153,332052
2008,"INGRESSOS","A","OPERACIONS CORRENTS",4,"TRANSFERÈNCIES CORRENTS",1040068,1462621,-393146,1069475
2008,"INGRESSOS","A","OPERACIONS CORRENTS",5,"INGRESSOS PATRIMONIALS",39204,44624,0,44624
2008,"INGRESSOS","B","OPERACIONS DE CAPITAL",6,"VENDA D´INVERSIONS REALS",30000,40444,0,40444
2008,"INGRESSOS","B","OPERACIONS DE CAPITAL",7,"TRANSFERÈNCIES DE CAPITAL",19261,43714,-14198,29516
2008,"INGRESSOS","C","OPERACIONS FINANCERES",8,"ACTIUS FINANCERS",0,6182,0,6182
2008,"INGRESSOS","C","OPERACIONS FINANCERES",9,"PASSIUS FINANCERS",150000,150000,0,150000
2008,"DESPESES","A","OPERACIONS CORRENTS",1,"DESPESES DE PERSONAL",332538,553538,0,553538
2008,"DESPESES","A","OPERACIONS CORRENTS",2,"DESP. BÉNS CORRENTS I SERVEIS",466401,619110,0,619110
2008,"DESPESES","A","OPERACIONS CORRENTS",3,"DESPESES FINANCERES",45429,45502,0,45502
2008,"DESPESES","A","OPERACIONS CORRENTS",4,"TRANSFÈRENCIES CORRENTS",748808,842307,-393299,449008
2008,"DESPESES","B","OPERACIONS DE CAPITAL",6,"INVERSIONS REALS",542748,580227,0,580227
2008,"DESPESES","B","OPERACIONS DE CAPITAL",7,"TRANSFERÈNCIES DE CAPITAL",49054,63286,-14198,49088
2008,"DESPESES","C","OPERACIONS FINANCERES",8,"ACTIUS FINANCERS",10000,16103,0,16103
2008,"DESPESES","C","OPERACIONS FINANCERES",9,"PASSIUS FINANCERS",157745,157745,0,157745
2009,"INGRESSOS","A","OPERACIONS CORRENTS",1,"IMPOSTOS DIRECTES",756851,756851,0,756851
2009,"INGRESSOS","A","OPERACIONS CORRENTS",2,"IMPOSTOS INDIRECTES",67113,67113,0,67113
2009,"INGRESSOS","A","OPERACIONS CORRENTS",3,"TAXES I ALTRES INGRESSOS",304546,362553,-118,362435
2009,"INGRESSOS","A","OPERACIONS CORRENTS",4,"TRANSFERÈNCIES CORRENTS",1084159,1554375,-425912,1128463
2009,"INGRESSOS","A","OPERACIONS CORRENTS",5,"INGRESSOS PATRIMONIALS",55719,67331,0,67331
2009,"INGRESSOS","B","OPERACIONS DE CAPITAL",6,"VENDA D´INVERSIONS REALS",25000,29377,0,29377
2009,"INGRESSOS","B","OPERACIONS DE CAPITAL",7,"TRANSFERÈNCIES DE CAPITAL",34670,73520,-15583,57937
2009,"INGRESSOS","C","OPERACIONS FINANCERES",8,"ACTIUS FINANCERS",0,3518,0,3518
2009,"INGRESSOS","C","OPERACIONS FINANCERES",9,"PASSIUS FINANCERS",110000,110000,0,110000
2009,"DESPESES","A","OPERACIONS CORRENTS",1,"DESPESES DE PERSONAL",351579,587814,0,587814
2009,"DESPESES","A","OPERACIONS CORRENTS",2,"DESP. BÉNS CORRENTS I SERVEIS",513789,690340,0,690340
2009,"DESPESES","A","OPERACIONS CORRENTS",3,"DESPESES FINANCERES",41811,41869,0,41869
2009,"DESPESES","A","OPERACIONS CORRENTS",4,"TRANSFÈRENCIES CORRENTS",797046,901937,-426030,475907
2009,"DESPESES","B","OPERACIONS DE CAPITAL",6,"INVERSIONS REALS",567133,616416,-412,616004
2009,"DESPESES","B","OPERACIONS DE CAPITAL",7,"TRANSFERÈNCIES DE CAPITAL",48700,63224,-15171,48053
2009,"DESPESES","C","OPERACIONS FINANCERES",8,"ACTIUS FINANCERS",8000,13008,0,13008
2009,"DESPESES","C","OPERACIONS FINANCERES",9,"PASSIUS FINANCERS",110000,110031,0,110031
2010,"INGRESSOS","A","OPERACIONS CORRENTS",1,"IMPOSTOS DIRECTES",780018,780018,0,780018
2010,"INGRESSOS","A","OPERACIONS CORRENTS",2,"IMPOSTOS INDIRECTES",53087,53087,0,53087
2010,"INGRESSOS","A","OPERACIONS CORRENTS",3,"TAXES I ALTRES INGRESSOS",288042,364308,-1269,363039
2010,"INGRESSOS","A","OPERACIONS CORRENTS",4,"TRANSFERÈNCIES CORRENTS",914620,1416358,-462407,953951
