"Número registre","Òrgan gestor","Títol","Dotació econòmica directa","Data formalització","Data finalització","Entitats i organitzacions"
"C20000001","DISTRICTE DE ST. ANDREU","CONVENI ENTRE EL DISTRICTE DE SANT ANDREU I LA SOCIETAT CULTURAL I ESPORTIVA LA LIRA PER A LA GESTIÓ CORESPONSABLE DE L'EDIFICI DEL CARRER COROLEU, 15 I LA PLANTA BAIXA DEL CARRER ABAD ODÓ, 22 DE BARCELONA",52776.75,"13/01/2020","31/12/2023","SOCIETAT CULTURAL I ESPORTIVA LA LIRA DE SANT ANDREU DE PALOMAR"
"C20000002","DISTRICTE DE GRACIA","CONVENI ENTRE EL DISTRICTE DE GRÀCIA I ENCARNACIÓ INVEST, SL. PER A LA REVOCACIÓ DE LA LLICÈNCIA D'EDIFICACIÓ I TRANSMISSIÓ DE LES FINQUES DEL CARRER ENCARNACIÓ, 13-15 I 17",0.0,"22/01/2020","31/12/2020","ENCARNACIÓ INVEST, SL."
"C20000003","INSTITUT DE CULTURA","CONVENI ENTRE L'ICUB, EL MINISTERI D'EDUCACIÓ, CULTURA I ESPORTS, EL MINISTERI D'HISENDA I ADMINISTRACIONS PÚBLIQUES, LA GENERALITAT DE CATALUNYA, LA DIPUTACIÓ DE BARCELONA I LA FUNDACIÓ GRAN TEATRE DEL LICEU PER A LA PRÒRROGA I MODIFICACIÓ CONVENI CREACIÓ COMISSIÓ INTERADMINISTRATIVA 20 ANIVERSARI DE LA REOBERTURA DEL LICEU I EL BICENTENARI DE LA CREACIÓ DE LA SOCIETAT D'ACCIONISTES",0.0,"07/01/2020","31/12/2020","MINIST. D'EDUCACIO I CULTURA I ESPORT; MINIST. D'ECONOMIA I HISENDA; DIPUTACIO DE BARCELONA; FUNDACIÓ GRAN TEATRE DEL LICEU"
"C20000004","GERENCIA DRETS SOCIALS","CONVENI ENTRE L'AJUNTAMENT DE BARCELONA I L'AECAD PER AL DESENVOLUPAMENT D'AVANTATGES ECONÒMICS ALS TITULARS DE LA TARGETA ROSA I TARGETA BARCELONA SOLIDÀRIA PER REDUIR LES DESIGUALTATS SOCIALS EN SALUT BUCODENTAL",0.0,"06/11/2019","","ASSOCIACIÓ EMPRESARIAL CENTRES D'ASSISTÈNCIA DENTAL (AECAD@)"
"C20000005","ECOLOGIA URBANISME MOBILITAT","CONVENI DE DELEGACIÓ PER LA GENERALITAT DE CATALUNYA A L'AJUNTAMENT DE BARCELONA DE LES COMPETÈNCIES PER A LA GESTIÓ DIRECTA DEL PORT OLÍMPIC DE BARCELONA",0.0,"04/02/2020","","CONSELLERIA TERRITORI I SOSTENIBILITAT"
"C20000006","DISTRICTE D'HORTA-GUINARDO","CONVENI ENTRE EL DISTRICTE D'HORTA-GUINARDÓ I EL CONSELL DE LA JOVENTUT DEL DISTRICTE D'HORTA-GUINARDÓ PER A LA GESTIÓ CÍVICA DE L'EQUIPAMENT MUNICIPAL CARRER HORTA, 71",77850.0,"24/01/2020","31/12/2020","CONSELL DE LA JOVENTUT D'HORTA-GUINARDO"
"C20000007","DISTRICTE DE ST. ANDREU","CONVENI ENTRE EL DISTRICTE DE SANT ANDREU I EL SR. XAVIER MARTÍN VILÀ RELATIU A LA DONACIÓ D'UN PERGAMÍ DEL SEGLE XV",0.0,"28/01/2020","","XAVIER MARTÍN VILÀ"
"C20000008","DISTRICTE DE SANTS-MONTJUÏC","CONVENI ENTRE EL DISTRICTE DE SANTS-MONTJUÏC I L'ASSOCIACIÓ VEÏNAL LA VINYA PER A LA GESTIÓ DE L'EQUIPAMENT DEL CASAL DE BARRI LA VINYA",0.0,"10/02/2020","31/12/2020","ASSOC. VEÏNAL LA VINYA"
"C20000009","BARCELONA SERVEIS MUNICIPALS SA","CONVENI ENTRE BSM, LA SOCIEDAD GESTORA CONJUNTO PALEONTOLÓGICO DE TERUEL I EL PARC D'ATRACCIONS TIBIDABO PER A LA TEMPORADA 2020 TIBICLUB",0.0,"20/01/2020","06/01/2021","SOCIETAT GESTORA DEL CONJUNT PALEONTOLOGIC DE TEROL SA"
"C20000010","DISTRICTE DE SANTS-MONTJUÏC","CONVENI ENTRE EL DISTRICTE DE SANTS-MONTJUÏC I L'ASSOCIACIÓ DE VEÏNS SANT CRISTÒFOL PER A LA GESTIÓ DE L'EQUIPAMENT DEL CASAL DE BARRI SANT CRISTÒFOL",32000.0,"06/02/2020","31/12/2020","ASSOCIACIÓ DE VEÏNS SANT CRISTÒFOL"
"C20000011","DIREC. SERV. JURÍDICS I PROMOC. RECURSOS HUMANS","SEGONA PRÒRROGA I MODIFICACIÓ CLÀUSULA 6 CONVENI MARC ENTRE L'AJUNTAMENT DE BARCELONA I LA FUNDACIÓ UNIVERSITAT POMPEU FABRA",0.0,"24/01/2020","01/02/2020","UNIVERSITAT POMPEU FABRA"
"C20000012","DIREC. SERV. JURÍDICS I PROMOC. RECURSOS HUMANS","CONVENI ENTRE L'AJUNTAMENT DE BARCELONA I L'INSTITUT DE SEGURETAT PÚBLICA DE CATALUNYA COM A CENTRE ADSCRIT A LA UNIVERSITAT DE BARCELONA I MODIFICACIÓ DE LA CLÀUSULA 6.1",0.0,"10/02/2020","28/02/2021","INSTITUT DE SEGURETAT PÚBLICA DE CATALUNYA"
"C20000013","AJUNTAMENT DE BARCELONA","ACORD ENTRE L'AJUNTAMENT DE BARCELONA I EL GOVERN D'ESPANYA PER LA CAPITALITAT CULTURAL I CIENTÍFICA DE BARCELONA, DONAR SUPORT III CONFERÈNCIA INTERNACIONAL D'EDUCACIÓ SUPERIOR DE LA UNESCO I CONVOCATÒRIA COMISSIÓ DE COL·LABORACIÓ INTERADMINISTRATIVA",0.0,"07/02/2020","","PRESIDENCIA DEL GOBIERNO"
"C20000014","INSTITUT DE CULTURA","CONVENI ENTRE L'ICUB I I EL DISTRICTE DE SARRIÀ-SANT GERVASI PER A LA CESSIÓ D'INSTRUMENTS MUSICALS DECOMISSATS A LA VIA PÚBLICA I NO RECOLLITS PELS TITULARS",0.0,"13/01/2020","","DISTRICTE DE SARRIA-SANT GERVASI"
"C20000015","INSTITUT DE CULTURA","CONVENI ENTRE L'ICUB I L'INSTITUT CATALÀ DE LES EMPRESES CULTURALS EN EL MARC DE LA CAMPANYA ""ESCENA 25""",0.0,"02/01/2020","31/12/2020","INSTITUT CATALA DE LES EMPRESES CULTURALS (ICEC)"
"C20000016","INSTITUT DE CULTURA","CONVENI ENTRE L'ICUB I LA UTE JULIATRAVEL, SA., MARFINA, SL., PER A LA PROMOCIÓ DELS CENTRES MUHBA A TRAVÉS DE LES RUTES BARCELONA CITY TOUR",2178.0,"02/01/2020","02/01/2022","UTE JULIATRAVEL SA MARFINA SL"
