"Organ Gestor","Núm Exp","Objecte ","Import  Adjudicat","Adjudicatari"
"GERÈNCIA D'ÀREA DE DRETS SOCIALS, JUSTICIA GLOBAL, FEMINISMES I LGTBI","20200110","Sensellarisme femení",4503.4,"GUIJARRO EDO, LAURA"
"GERÈNCIA D'ÀREA DE DRETS SOCIALS, JUSTICIA GLOBAL, FEMINISMES I LGTBI","20200109","Anàlisi de l'accessibilitat de les companyies arts",18089.5,"ASS SOCIOCULTURAL L'ALTRE FESTIVAL"
"GERÈNCIA D'ÀREA DE DRETS SOCIALS, JUSTICIA GLOBAL, FEMINISMES I LGTBI","20190422","Estudi discapacitat intel·lectual i envelliment",13481.82,"ASSOC.CATALANA D'INTEGR.I DESENVOLU"
"GERÈNCIA D'ÀREA DE DRETS SOCIALS, JUSTICIA GLOBAL, FEMINISMES I LGTBI","20190430","Estudi impacte SMI en moneda ciutadana REC",17823.3,"NOVACT"
"GERÈNCIA D'ÀREA DE DRETS SOCIALS, JUSTICIA GLOBAL, FEMINISMES I LGTBI","20200058","Estudi per valorar els canvis de cost de SAD",10329.27,"FUNDACIO BOSCH I GIMPERA"
"GERÈNCIA D'ÀREA DE DRETS SOCIALS, JUSTICIA GLOBAL, FEMINISMES I LGTBI","20200006","Avaluació externa pilotatge PIJ Integrals",9056.58,"ITINERE SERVEIS EDUCATIUS S.L."
"GERÈNCIA D'ÀREA 2030, TRANSICIÓ DIGITAL I ESPORTS","0826/18","Elaboració documents resultats satisfacció usuaris",9357.34,"I-LABSO SCCL"
"GERÈNCIA D'ÀREA 2030, TRANSICIÓ DIGITAL I ESPORTS","0416/19","Auditoria de respostes del sistema IRIS",12503.33,"NOVOTEC CONSULTORES, S.A."
"GERÈNCIA D'ÀREA DE SEGURETAT I PREVENCIÓ","20204101","Projectes reforma interior oficines CGE i SEM",10164.0,"GÜELL BARÓ, Alfons"
"GERÈNCIA D'ÀREA DE SEGURETAT I PREVENCIÓ","20204153","Campanya d'incorporació de la dona a la GUB",16322.9,"IDERIA INSIGHTS SL"
"GERÈNCIA D'ÀREA D'ECONOMIA, RECURSOS I PROMOCIÓ ECONÒMICA","2019/319","Estudi Economia de la Gent Gran (Silver Economy)",48424.1,"IDOM CONSULTING ENGINEERING, ARCHITECTURE SA"
"GERÈNCIA DE PRESSUPOSTOS I HISENDA","2019/396","Assessorament Jurídics Temes Urbanístics",11495.0,"GRACIAN ABOGADOS, SLP"
"GERÈNCIA DE PRESSUPOSTOS I HISENDA","2018/578","Auditoria de compliment dels ens dependents",143627.0,"FAURA CASAS AUDITORS SL"
"GERÈNCIA DE PRESSUPOSTOS I HISENDA","2016/490","Auditoria Ajuntament i grup econòmic mun. (Lot 1)",120165.98,"ERNST & YOUNG"
"GERÈNCIA DE PRESSUPOSTOS I HISENDA","2016/490","Auditoria Ajuntament i grup econòmic mun.(Lot 3)",228668.22,"FAURA CASAS AUDITORS SL"
"GERÈNCIA DE PRESSUPOSTOS I HISENDA","2016/490","Auditoria Ajuntament i grup econòmic mun. (Lot 4)",81844.4,"GABINETE TECNICO DE AUDITORIA Y, CONSULTORIA, SA"
"GERÈNCIA DE PRESSUPOSTOS I HISENDA","2016/490","Auditoria Ajuntament i grup econòmic mun. (Lot 2)",50263.4,"UTE AUREN AUDITORES SP S.L.P. –, UNIAUDIT OLIVER CAMPS, SL"
"GERÈNCIA DE PRESSUPOSTOS I HISENDA","2019/705","Millora valor econòmic taxes ocupacions M. Ambient",12100.0,"BUFETE GONZALO, SL"
"GERÈNCIA DE PRESSUPOSTOS I HISENDA","2019/706","Actualizació valors bàsics ocupació espai públic",11482.9,"UNIVERSITAT POLITECNICA DE CATALUNY"
"GERÈNCIA DE PRESSUPOSTOS I HISENDA","2020/68","Estudi consultoria racionalització contractes",17908.0,"DOT MANAGEMENT CONSULTANTS SL"
"GERÈNCIA DE RECURSOS","20000885","Estudi comparatiu endtre diferents models TV",17962.45,"GATE MEDIA FINANCIAL&FUNDING SERVIC"
"GERÈNCIA DE RECURSOS","20000915","Estudi avaluació procés escolarització",18004.8,"IVÀLUA, INSTITUT CATALÀ D'AVALUACIÓ, DE POLÍTIQUES PÚBLIQUES"
"DISTRICTE DE SARRIÀ SANT GERVASI","20202011","Revisió limitada comptes explotació 2019",3993.0,"UNIAUDIT OLIVER CAMPS, SL"
"DISTRICTE DE SARRIÀ SANT GERVASI","17/2020","Revisió limitada de comptes",10421.73,"FAURA CASAS AUDITORS SL"
