"Nom_Entitat","Tipologia_Entitats","Parametre_consolidacio_pressupostaria_LRHL","Parametre_consolidacio_pressupostaria_LOEPSF","Parametre_consolidacio_pressupostaria_LRSAL"
"(IMPD) Institut Municipal de Persones amb Discapacitat","Organismes Autònoms","Sí","Sí",""
"(IMSS) Institut Municipal de Serveis Socials","Organismes Autònoms","Sí","Sí",""
"(IMI) Institut Municipal d'Informàtica","Organismes Autònoms","Sí","Sí",""
"(IMU) Institut Municipal d’Urbanisme","Organismes Autònoms","Sí","Sí",""
"(IMH) Institut Municipal d’Hisenda de Barcelona","Organismes Autònoms","Sí","Sí",""
"(IMMB) Institut Municipal de Mercats de Barcelona","Organismes Autònoms","Sí","Sí",""
"(IMEB) Institut Municipal d’Educació de Barcelona","Organismes Autònoms","Sí","Sí",""
"(IMPUQV) Institut Municipal de Paisatge Urbà i la Qualitat de Vida","Organismes Autònoms","Sí","Sí",""
"(IBE) Institut Barcelona Esports","Organismes Autònoms","Sí","Sí",""
"(FMVDR) Fundació Mies van der Rhoe","Entitats Públiques Empresarials","Sí","Sí",""
"(IMPJ) Institut Municipal de Parcs i Jardins Barcelona","Entitats Públiques Empresarials","Sí","Sí",""
"(ICUB) Institut de Cultura de Barcelona","Entitats Públiques Empresarials","Sí","Sí",""
"(ICB) Informació i Comunicació de Barcelona, S.A.","Societats Mercantils","Sí","Sí",""
"(BA) Barcelona Activa, S.A.","Societats Mercantils","Sí","Sí",""
"(BIM) Barcelona d’Infraestructures Municipals, S.A.","Societats Mercantils","Sí","Sí",""
"(FC) Foment de Ciutat , S.A.","Societats Mercantils","Sí","Sí",""
"(BAGUR) Barcelona Gestió Urbanística, S.A.","Societats Mercantils","Sí","Sí",""
"(BCA) Barcelona Cicle de l'Aigua, S.A.","Societats Mercantils","No","Sí",""
"(TERSA) Tractament i Selecció de Residus, S.A.","Societats Mercantils","No","Sí",""
"(SEMESA) Selectives Metropolitanes, S.A.","Societats Mercantils","No","Sí",""
"Solucions Integrals per als Residus, S.A.","Societats Mercantils","No","Sí",""
"Cementiris de Barcelona, S.A.","Societats Mercantils","No","Sí",""
"Barcelona Regional Agencia Metropolitana de Desenvolupament Urbanístic i d'Infraestructures S.A.","Societats Mercantils","No","Sí",""
"(BSM) Barcelona de Serveis Municipals, S.A. (Inclou Parc d’Atraccions Tibidabo, S.A. (PATSA) i Cementiris de Barcelona, S.A. (CdB))","Societats Mercantils","Sí","No",""
"(CIIMU) Consorci Institut d’Infància i Món Urbà","Consorcis, Fundacions i Associacions","No","Sí",""
"(CCIB) Consorci Campus Interuniversitari del Besòs","Consorcis, Fundacions i Associacions","No","Sí",""
"(ALEUB) Agència Ecologia Urbana de Barcelona","Consorcis, Fundacions i Associacions","No","Sí",""
"(ALEB) Agència Local de l’Energia.","Consorcis, Fundacions i Associacions","No","Sí",""
"(CB) Consorci del Besòs","Consorcis, Fundacions i Associacions","No","Sí",""
"(CBB) Consorci de Biblioteques de Barcelona","Consorcis, Fundacions i Associacions","No","Sí",""
"(CMF) Consorci de Mercat de les Flors","Consorcis, Fundacions i Associacions","No","Sí",""
"(LOCALRET) Consorci Localret","Consorcis, Fundacions i Associacions","No","Sí",""
"(CMCNB) Museu Ciències Naturals de Barcelona","Consorcis, Fundacions i Associacions","No","Sí",""
"(FPBC) Fundació Privada Barcelona Cultura","Consorcis, Fundacions i Associacions","No","Sí",""
"(FPNOB) Fundació Privada per la Navegació Oceànica de Barcelona","Consorcis, Fundacions i Associacions","No","Sí",""
"(AICE) Associació Internacional Ciutats Educadores","Consorcis, Fundacions i Associacions","No","Sí",""
"(RED JUD) Red de Juderias de España. Caminos de Sefarad","Consorcis, Fundacions i Associacions","No","Sí",""
"(MACBA) Consorci Museu d'Art Contemporani de Barcelona","Consorcis, Fundacions i Associacions","No","Sí",""
"Consorci de l'Auditori i l'Orquestra","Consorcis, Fundacions i Associacions","No","Sí",""
"Fundació Privada Júlio Muñoz Ramonet","Consorcis, Fundacions i Associacions","No","Sí",""
"Fundació Carles Pi i Sunyer d'Estudis Autonòmics i Locals","Consorcis, Fundacions i Associacions","No","Sí",""
