"Trimestre","Tipus orgànic","Orgànic","DescOrgànic","Tipus subvenció","Subvenció","NIF","Nom","Descripció","Econòmic","Import D"
"","Sectors i districtes","","GER. POLÍTICA ECONÒMICA I DESENV. LOCAL","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","16S06453","A58295296","BASA BARCELONA ACTIVA, S.A.","Encàrrec gestió a BASA simplificació administrativ",44400,50000.0
"","Sectors i districtes","","GER. POLÍTICA ECONÒMICA I DESENV. LOCAL","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","16S14093","A58295296","BASA BARCELONA ACTIVA, S.A.","Encàrrec de gestió a BASA City Branding,Moda,LGBT",44400,707280.0
"","Sectors i districtes","","GER. ADJ. MEDI AMBIENT I SERVEIS URBANS","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","17S04896","A66168303","BARCELONA CICLE DE L'AIGUA, SL","ENCÀRREC DE GESTIÓ GESTIÓ PÚBLICA CICLE DE L'AIGUA",44453,113710.0
"","Sectors i districtes","","GER. ADJ. MEDI AMBIENT I SERVEIS URBANS","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","17S07109","A62439807","SOLUCIONS INTEGRALS PER ALS RESIDUS","ENCARREC SIRESA CAMPANYA REDUCCIO SOROLL OCI NOCTU",44452,414893.81
"","Sectors i districtes","","GER. MUNICIPAL I COORD.ENS I TERR.","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","17S09239","A58295296","BASA BARCELONA ACTIVA, S.A.","DESENVOLUPAMENT ECONOMIC AL PROJECTE PLA DE BARRIS",44400,529850.0
"","Sectors i districtes","","GER. DRETS SOCIALS","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","17S11689","P0800234G","INST. MPAL. SERVEIS SOCIALS","PROVA PILOT SUPORT MUNICIPAL D'INCLUSIO B-MINCOME",41040,2400000.0
"","Sectors i districtes","","GER. RECURSOS","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","17S17558","A58295296","BASA BARCELONA ACTIVA, S.A.","IMPLEMENTACIO DELS PROGRAMES D'INNOVACIO DIGITAL",44400,336361.0
"","Sectors i districtes","","GER. ECOLOGIA URBANA","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","17S17609","A62091616","FOMENT DE CIUTAT SA","ENCÀRREC GESTIÓ FOCISA INFRAEST. I RESILIÈNCIA",44431,469182.0
"","Sectors i districtes","","GER. TURISME, COMERÇ I MERCATS","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","17S17620","A58295296","BASA BARCELONA ACTIVA, S.A.","ENCÀRREC GESTIÓ DIVERSOS PROJECTES COMERÇ",44400,250000.0
"","Sectors i districtes","","GER. PRESIDÈNCIA I ECONOMIA","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S00041","P5801911H","INST. MPAL. HISENDA","aportació a l'Institut Municipal d'Hisenda",41000,1500000.0
