"Entitat_Municipal","Tipologia_subvencio","Subvencio","Beneficiaris","NIF","Objecte","Import","Data_atorgament","Organ_Gestor"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","ABELCOM SOLUCIONES Y SISTEMAS, S.L.","B65407355","Convocatòria Barcelona per la Ocupació de Qualitat 2019",12000.0,"27/12/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","ACELLERA LABS","B65925323","Convocatòria Barcelona per la Ocupació de Qualitat 2019",5000.0,"01/03/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","ACROSS LOGISTICS, S.L.U.","B64737646","Convocatòria Barcelona per la Ocupació de Qualitat 2019",12000.0,"01/03/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","ALSER ESPORT S.L.","B60748282","Convocatòria Barcelona per la Ocupació de Qualitat 2019",12000.0,"03/06/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","ALTA BRAVUS QUANTUM SL","B66366998","Convocatòria Barcelona per la Ocupació de Qualitat 2019",7500.0,"03/06/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","ALTERNATIVAS ECONOMICAS SCCL","F65890832","Convocatòria Barcelona per la Ocupació de Qualitat 2019",5000.0,"03/06/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","ALTES REHABILITACIONS, S.L.","B66514910","Convocatòria Barcelona per la Ocupació de Qualitat 2019",12000.0,"09/04/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","ALUMINIO PVC Y VIDRIO ALUNOU, S.L.","B66710773","Convocatòria Barcelona per la Ocupació de Qualitat 2019",12000.0,"07/11/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","AMOR DE CLAQUETA SL","B66550393","Convocatòria Barcelona per la Ocupació de Qualitat 2019",10000.0,"03/06/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","APRISE CATALUNYA EMPRESA D'INSERCIÓ SLL","B64241946","Convocatòria Barcelona per la Ocupació de Qualitat 2019",12000.0,"01/03/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","APRISE CATALUNYA EMPRESA D'INSERCIÓ SLL","B64241946","Convocatòria Barcelona per la Ocupació de Qualitat 2019",12000.0,"01/03/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","APRISE CATALUNYA EMPRESA D'INSERCIÓ SLL","B64241946","Convocatòria Barcelona per la Ocupació de Qualitat 2019",10000.0,"01/03/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","APRISE CATALUNYA EMPRESA D'INSERCIÓ SLL","B64241946","Convocatòria Barcelona per la Ocupació de Qualitat 2019",12000.0,"01/03/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","APRISE CATALUNYA EMPRESA D'INSERCIÓ SLL","B64241946","Convocatòria Barcelona per la Ocupació de Qualitat 2019",12000.0,"09/04/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","APRISE CATALUNYA EMPRESA D'INSERCIÓ SLL","B64241946","Convocatòria Barcelona per la Ocupació de Qualitat 2019",12000.0,"01/03/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","APRISE CATALUNYA EMPRESA D'INSERCIÓ SLL","B64241946","Convocatòria Barcelona per la Ocupació de Qualitat 2019",12000.0,"27/12/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","APRISE CATALUNYA EMPRESA D'INSERCIÓ SLL","B64241946","Convocatòria Barcelona per la Ocupació de Qualitat 2019",12000.0,"01/03/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","APRISE CATALUNYA EMPRESA D'INSERCIÓ SLL","B64241946","Convocatòria Barcelona per la Ocupació de Qualitat 2019",12000.0,"01/03/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","APTIBUS, S.L.","B65471252","Convocatòria Barcelona per la Ocupació de Qualitat 2019",12000.0,"01/03/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","ASOCIACION MAS RESPONSABLES","G65297590","Convocatòria Barcelona per la Ocupació de Qualitat 2019",12000.0,"03/06/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","ASSOCIACIO ETICAS RESEARCH AND INNOVA","G66592817","Convocatòria Barcelona per la Ocupació de Qualitat 2019",9000.0,"27/12/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","ASSOCIACIO PROHABITATGE","G61964102","Convocatòria Barcelona per la Ocupació de Qualitat 2019",9000.0,"07/11/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","ASSOCIACIO SANT MARTI ESPORT DE BARCELONA","G08932675","Convocatòria Barcelona per la Ocupació de Qualitat 2019",10000.0,"09/04/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","ASSOCIACIO SANT MARTI ESPORT DE BARCELONA","G08932675","Convocatòria Barcelona per la Ocupació de Qualitat 2019",10000.0,"01/03/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","ASSOCIACIÓ CULTURAL NAU BOSTIK","G67095208","Convocatòria Barcelona per la Ocupació de Qualitat 2019",12000.0,"07/11/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","ASSOCIACIÓ CULTURAL NAU BOSTIK","G67095208","Convocatòria Barcelona per la Ocupació de Qualitat 2019",10000.0,"07/11/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","ASSOCIACIÓ PER LA VIDA INDEPENDENT","G64570617","Convocatòria Barcelona per la Ocupació de Qualitat 2019",9000.0,"09/04/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","AVALAW TAX & ACCOUNTANCY S.L.","B57996373","Convocatòria Barcelona per la Ocupació de Qualitat 2019",10000.0,"01/03/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","Andersen Audio Productions, S.L.","B65865495","Convocatòria Barcelona per la Ocupació de Qualitat 2019",5000.0,"27/12/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","ASE","****0092*","Convocatòria Barcelona per la Ocupació de Qualitat 2019",5000.0,"27/12/2019","Gerència de Presidència i Economia - BASA"
