"﻿""Any""","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Seccio_censal","Camp","Nombre"
2019,1,"Ciutat Vella",1,"el Raval",1,"Electors",632
2019,1,"Ciutat Vella",1,"el Raval",2,"Electors",574
2019,1,"Ciutat Vella",1,"el Raval",3,"Electors",1358
2019,1,"Ciutat Vella",1,"el Raval",4,"Electors",1359
2019,1,"Ciutat Vella",1,"el Raval",5,"Electors",1063
2019,1,"Ciutat Vella",1,"el Raval",6,"Electors",637
2019,1,"Ciutat Vella",1,"el Raval",7,"Electors",788
2019,1,"Ciutat Vella",1,"el Raval",8,"Electors",1187
2019,1,"Ciutat Vella",1,"el Raval",9,"Electors",934
2019,1,"Ciutat Vella",1,"el Raval",10,"Electors",878
2019,1,"Ciutat Vella",1,"el Raval",11,"Electors",1106
2019,1,"Ciutat Vella",1,"el Raval",12,"Electors",907
2019,1,"Ciutat Vella",1,"el Raval",13,"Electors",750
2019,1,"Ciutat Vella",1,"el Raval",14,"Electors",941
2019,1,"Ciutat Vella",1,"el Raval",15,"Electors",955
2019,1,"Ciutat Vella",1,"el Raval",16,"Electors",864
2019,1,"Ciutat Vella",1,"el Raval",17,"Electors",1013
2019,1,"Ciutat Vella",1,"el Raval",18,"Electors",762
2019,1,"Ciutat Vella",1,"el Raval",19,"Electors",1168
2019,1,"Ciutat Vella",1,"el Raval",20,"Electors",1203
2019,1,"Ciutat Vella",1,"el Raval",21,"Electors",1112
2019,1,"Ciutat Vella",2,"el Barri Gòtic",22,"Electors",717
2019,1,"Ciutat Vella",2,"el Barri Gòtic",23,"Electors",1129
2019,1,"Ciutat Vella",2,"el Barri Gòtic",25,"Electors",618
2019,1,"Ciutat Vella",2,"el Barri Gòtic",26,"Electors",1303
2019,1,"Ciutat Vella",2,"el Barri Gòtic",27,"Electors",808
2019,1,"Ciutat Vella",2,"el Barri Gòtic",28,"Electors",861
2019,1,"Ciutat Vella",2,"el Barri Gòtic",29,"Electors",583
2019,1,"Ciutat Vella",2,"el Barri Gòtic",30,"Electors",1203
2019,1,"Ciutat Vella",2,"el Barri Gòtic",31,"Electors",679
2019,1,"Ciutat Vella",3,"la Barceloneta",32,"Electors",1038
2019,1,"Ciutat Vella",3,"la Barceloneta",33,"Electors",618
2019,1,"Ciutat Vella",3,"la Barceloneta",34,"Electors",520
2019,1,"Ciutat Vella",3,"la Barceloneta",35,"Electors",703
2019,1,"Ciutat Vella",3,"la Barceloneta",36,"Electors",813
2019,1,"Ciutat Vella",3,"la Barceloneta",37,"Electors",906
2019,1,"Ciutat Vella",3,"la Barceloneta",38,"Electors",708
2019,1,"Ciutat Vella",3,"la Barceloneta",39,"Electors",781
2019,1,"Ciutat Vella",3,"la Barceloneta",40,"Electors",563
2019,1,"Ciutat Vella",3,"la Barceloneta",41,"Electors",690
2019,1,"Ciutat Vella",3,"la Barceloneta",42,"Electors",1237
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",43,"Electors",901
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",44,"Electors",797
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",45,"Electors",981
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",46,"Electors",868
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",47,"Electors",911
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",48,"Electors",1065
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",49,"Electors",771
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",50,"Electors",805
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",51,"Electors",835
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",52,"Electors",1328
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",53,"Electors",1097
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",54,"Electors",705
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",55,"Electors",892
2019,2,"Eixample",5,"el Fort Pienc",1,"Electors",817
2019,2,"Eixample",5,"el Fort Pienc",2,"Electors",1435
2019,2,"Eixample",5,"el Fort Pienc",3,"Electors",882
2019,2,"Eixample",5,"el Fort Pienc",4,"Electors",918
2019,2,"Eixample",5,"el Fort Pienc",5,"Electors",1482
2019,2,"Eixample",5,"el Fort Pienc",6,"Electors",1147
2019,2,"Eixample",5,"el Fort Pienc",7,"Electors",916
2019,2,"Eixample",5,"el Fort Pienc",8,"Electors",1331
2019,2,"Eixample",5,"el Fort Pienc",9,"Electors",1223
2019,2,"Eixample",5,"el Fort Pienc",10,"Electors",849
2019,2,"Eixample",5,"el Fort Pienc",11,"Electors",844
2019,2,"Eixample",5,"el Fort Pienc",12,"Electors",1020
2019,2,"Eixample",5,"el Fort Pienc",13,"Electors",748
2019,2,"Eixample",5,"el Fort Pienc",14,"Electors",842
2019,2,"Eixample",5,"el Fort Pienc",15,"Electors",1025
2019,2,"Eixample",5,"el Fort Pienc",16,"Electors",1347
2019,2,"Eixample",5,"el Fort Pienc",17,"Electors",1331
2019,2,"Eixample",5,"el Fort Pienc",18,"Electors",1317
2019,2,"Eixample",5,"el Fort Pienc",19,"Electors",1317
2019,2,"Eixample",5,"el Fort Pienc",20,"Electors",923
2019,2,"Eixample",6,"la Sagrada Família",21,"Electors",1074
2019,2,"Eixample",6,"la Sagrada Família",22,"Electors",893
2019,2,"Eixample",6,"la Sagrada Família",23,"Electors",844
2019,2,"Eixample",6,"la Sagrada Família",24,"Electors",741
2019,2,"Eixample",6,"la Sagrada Família",25,"Electors",809
2019,2,"Eixample",6,"la Sagrada Família",26,"Electors",1484
2019,2,"Eixample",6,"la Sagrada Família",27,"Electors",1452
2019,2,"Eixample",6,"la Sagrada Família",28,"Electors",1445
2019,2,"Eixample",6,"la Sagrada Família",29,"Electors",905
2019,2,"Eixample",6,"la Sagrada Família",30,"Electors",859
2019,2,"Eixample",6,"la Sagrada Família",31,"Electors",796
2019,2,"Eixample",6,"la Sagrada Família",32,"Electors",914
2019,2,"Eixample",6,"la Sagrada Família",33,"Electors",853
2019,2,"Eixample",6,"la Sagrada Família",34,"Electors",811
2019,2,"Eixample",6,"la Sagrada Família",35,"Electors",946
2019,2,"Eixample",6,"la Sagrada Família",36,"Electors",899
2019,2,"Eixample",6,"la Sagrada Família",37,"Electors",930
2019,2,"Eixample",6,"la Sagrada Família",38,"Electors",1186
2019,2,"Eixample",6,"la Sagrada Família",39,"Electors",1215
2019,2,"Eixample",6,"la Sagrada Família",40,"Electors",1039
2019,2,"Eixample",6,"la Sagrada Família",41,"Electors",1220
2019,2,"Eixample",6,"la Sagrada Família",42,"Electors",1296
2019,2,"Eixample",6,"la Sagrada Família",43,"Electors",1076
2019,2,"Eixample",6,"la Sagrada Família",44,"Electors",841
2019,2,"Eixample",6,"la Sagrada Família",45,"Electors",821
2019,2,"Eixample",6,"la Sagrada Família",46,"Electors",1310
2019,2,"Eixample",6,"la Sagrada Família",47,"Electors",1335
2019,2,"Eixample",6,"la Sagrada Família",48,"Electors",827
2019,2,"Eixample",6,"la Sagrada Família",49,"Electors",1340
2019,2,"Eixample",6,"la Sagrada Família",50,"Electors",1096
2019,2,"Eixample",6,"la Sagrada Família",51,"Electors",1179
2019,2,"Eixample",6,"la Sagrada Família",52,"Electors",1182
2019,2,"Eixample",6,"la Sagrada Família",53,"Electors",1224
2019,2,"Eixample",6,"la Sagrada Família",54,"Electors",1295
2019,2,"Eixample",7,"la Dreta de l'Eixample",55,"Electors",1306
2019,2,"Eixample",7,"la Dreta de l'Eixample",56,"Electors",1019
2019,2,"Eixample",7,"la Dreta de l'Eixample",57,"Electors",901
2019,2,"Eixample",7,"la Dreta de l'Eixample",58,"Electors",1032
2019,2,"Eixample",7,"la Dreta de l'Eixample",59,"Electors",1171
2019,2,"Eixample",7,"la Dreta de l'Eixample",60,"Electors",1172
2019,2,"Eixample",7,"la Dreta de l'Eixample",61,"Electors",908
2019,2,"Eixample",7,"la Dreta de l'Eixample",62,"Electors",1046
2019,2,"Eixample",7,"la Dreta de l'Eixample",63,"Electors",905
2019,2,"Eixample",7,"la Dreta de l'Eixample",64,"Electors",922
2019,2,"Eixample",7,"la Dreta de l'Eixample",65,"Electors",1263
2019,2,"Eixample",7,"la Dreta de l'Eixample",66,"Electors",1352
2019,2,"Eixample",7,"la Dreta de l'Eixample",67,"Electors",1056
2019,2,"Eixample",7,"la Dreta de l'Eixample",68,"Electors",1095
2019,2,"Eixample",7,"la Dreta de l'Eixample",69,"Electors",925
2019,2,"Eixample",7,"la Dreta de l'Eixample",70,"Electors",884
2019,2,"Eixample",7,"la Dreta de l'Eixample",71,"Electors",1180
2019,2,"Eixample",7,"la Dreta de l'Eixample",72,"Electors",876
2019,2,"Eixample",7,"la Dreta de l'Eixample",73,"Electors",1120
2019,2,"Eixample",7,"la Dreta de l'Eixample",74,"Electors",763
2019,2,"Eixample",7,"la Dreta de l'Eixample",75,"Electors",812
2019,2,"Eixample",7,"la Dreta de l'Eixample",76,"Electors",1081
2019,2,"Eixample",7,"la Dreta de l'Eixample",77,"Electors",949
2019,2,"Eixample",7,"la Dreta de l'Eixample",78,"Electors",872
2019,2,"Eixample",7,"la Dreta de l'Eixample",79,"Electors",828
2019,2,"Eixample",7,"la Dreta de l'Eixample",80,"Electors",976
2019,2,"Eixample",7,"la Dreta de l'Eixample",81,"Electors",1421
2019,2,"Eixample",7,"la Dreta de l'Eixample",82,"Electors",633
2019,2,"Eixample",7,"la Dreta de l'Eixample",83,"Electors",1182
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",84,"Electors",1400
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",85,"Electors",971
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",86,"Electors",971
