"﻿""Any""","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Seccio_censal","Camp","Nombre"
2021,1,"Ciutat Vella",1,"el Raval",1,"Electors",602
2021,1,"Ciutat Vella",1,"el Raval",2,"Electors",519
2021,1,"Ciutat Vella",1,"el Raval",3,"Electors",1326
2021,1,"Ciutat Vella",1,"el Raval",4,"Electors",1266
2021,1,"Ciutat Vella",1,"el Raval",5,"Electors",1013
2021,1,"Ciutat Vella",1,"el Raval",6,"Electors",576
2021,1,"Ciutat Vella",1,"el Raval",7,"Electors",731
2021,1,"Ciutat Vella",1,"el Raval",8,"Electors",1134
2021,1,"Ciutat Vella",1,"el Raval",9,"Electors",893
2021,1,"Ciutat Vella",1,"el Raval",10,"Electors",804
2021,1,"Ciutat Vella",1,"el Raval",11,"Electors",1070
2021,1,"Ciutat Vella",1,"el Raval",12,"Electors",826
2021,1,"Ciutat Vella",1,"el Raval",13,"Electors",689
2021,1,"Ciutat Vella",1,"el Raval",14,"Electors",889
2021,1,"Ciutat Vella",1,"el Raval",15,"Electors",884
2021,1,"Ciutat Vella",1,"el Raval",16,"Electors",814
2021,1,"Ciutat Vella",1,"el Raval",17,"Electors",940
2021,1,"Ciutat Vella",1,"el Raval",18,"Electors",682
2021,1,"Ciutat Vella",1,"el Raval",19,"Electors",1083
2021,1,"Ciutat Vella",1,"el Raval",20,"Electors",1091
2021,1,"Ciutat Vella",1,"el Raval",21,"Electors",1018
2021,1,"Ciutat Vella",2,"el Barri Gòtic",22,"Electors",673
2021,1,"Ciutat Vella",2,"el Barri Gòtic",23,"Electors",1027
2021,1,"Ciutat Vella",2,"el Barri Gòtic",25,"Electors",548
2021,1,"Ciutat Vella",2,"el Barri Gòtic",26,"Electors",1349
2021,1,"Ciutat Vella",2,"el Barri Gòtic",27,"Electors",718
2021,1,"Ciutat Vella",2,"el Barri Gòtic",28,"Electors",768
2021,1,"Ciutat Vella",2,"el Barri Gòtic",29,"Electors",520
2021,1,"Ciutat Vella",2,"el Barri Gòtic",30,"Electors",1107
2021,1,"Ciutat Vella",2,"el Barri Gòtic",31,"Electors",615
2021,1,"Ciutat Vella",3,"la Barceloneta",32,"Electors",945
2021,1,"Ciutat Vella",3,"la Barceloneta",33,"Electors",545
2021,1,"Ciutat Vella",3,"la Barceloneta",34,"Electors",478
2021,1,"Ciutat Vella",3,"la Barceloneta",35,"Electors",620
2021,1,"Ciutat Vella",3,"la Barceloneta",36,"Electors",779
2021,1,"Ciutat Vella",3,"la Barceloneta",37,"Electors",858
2021,1,"Ciutat Vella",3,"la Barceloneta",38,"Electors",645
2021,1,"Ciutat Vella",3,"la Barceloneta",39,"Electors",745
2021,1,"Ciutat Vella",3,"la Barceloneta",40,"Electors",516
2021,1,"Ciutat Vella",3,"la Barceloneta",41,"Electors",637
2021,1,"Ciutat Vella",3,"la Barceloneta",42,"Electors",1173
2021,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",43,"Electors",783
2021,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",44,"Electors",725
2021,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",45,"Electors",886
2021,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",46,"Electors",737
2021,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",47,"Electors",831
2021,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",48,"Electors",940
2021,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",49,"Electors",696
2021,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",50,"Electors",710
2021,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",51,"Electors",769
2021,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",52,"Electors",1204
2021,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",53,"Electors",1005
2021,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",54,"Electors",603
2021,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",55,"Electors",818
2021,2,"Eixample",5,"el Fort Pienc",1,"Electors",784
2021,2,"Eixample",5,"el Fort Pienc",2,"Electors",1406
2021,2,"Eixample",5,"el Fort Pienc",3,"Electors",804
2021,2,"Eixample",5,"el Fort Pienc",4,"Electors",890
2021,2,"Eixample",5,"el Fort Pienc",5,"Electors",1447
2021,2,"Eixample",5,"el Fort Pienc",6,"Electors",1068
2021,2,"Eixample",5,"el Fort Pienc",7,"Electors",838
2021,2,"Eixample",5,"el Fort Pienc",8,"Electors",1252
2021,2,"Eixample",5,"el Fort Pienc",9,"Electors",1163
2021,2,"Eixample",5,"el Fort Pienc",10,"Electors",804
2021,2,"Eixample",5,"el Fort Pienc",11,"Electors",824
2021,2,"Eixample",5,"el Fort Pienc",12,"Electors",977
2021,2,"Eixample",5,"el Fort Pienc",13,"Electors",719
2021,2,"Eixample",5,"el Fort Pienc",14,"Electors",824
2021,2,"Eixample",5,"el Fort Pienc",15,"Electors",967
2021,2,"Eixample",5,"el Fort Pienc",16,"Electors",1290
2021,2,"Eixample",5,"el Fort Pienc",17,"Electors",1291
2021,2,"Eixample",5,"el Fort Pienc",18,"Electors",1241
2021,2,"Eixample",5,"el Fort Pienc",19,"Electors",1293
2021,2,"Eixample",5,"el Fort Pienc",20,"Electors",877
2021,2,"Eixample",6,"la Sagrada Família",21,"Electors",1017
2021,2,"Eixample",6,"la Sagrada Família",22,"Electors",863
2021,2,"Eixample",6,"la Sagrada Família",23,"Electors",798
2021,2,"Eixample",6,"la Sagrada Família",24,"Electors",699
2021,2,"Eixample",6,"la Sagrada Família",25,"Electors",780
2021,2,"Eixample",6,"la Sagrada Família",26,"Electors",1413
2021,2,"Eixample",6,"la Sagrada Família",27,"Electors",1365
2021,2,"Eixample",6,"la Sagrada Família",28,"Electors",1386
2021,2,"Eixample",6,"la Sagrada Família",29,"Electors",878
2021,2,"Eixample",6,"la Sagrada Família",30,"Electors",821
2021,2,"Eixample",6,"la Sagrada Família",31,"Electors",765
2021,2,"Eixample",6,"la Sagrada Família",32,"Electors",822
2021,2,"Eixample",6,"la Sagrada Família",33,"Electors",827
2021,2,"Eixample",6,"la Sagrada Família",34,"Electors",749
2021,2,"Eixample",6,"la Sagrada Família",35,"Electors",914
2021,2,"Eixample",6,"la Sagrada Família",36,"Electors",850
2021,2,"Eixample",6,"la Sagrada Família",37,"Electors",902
2021,2,"Eixample",6,"la Sagrada Família",38,"Electors",1145
2021,2,"Eixample",6,"la Sagrada Família",39,"Electors",1144
2021,2,"Eixample",6,"la Sagrada Família",40,"Electors",1008
2021,2,"Eixample",6,"la Sagrada Família",41,"Electors",1152
2021,2,"Eixample",6,"la Sagrada Família",42,"Electors",1239
2021,2,"Eixample",6,"la Sagrada Família",43,"Electors",1052
2021,2,"Eixample",6,"la Sagrada Família",44,"Electors",832
2021,2,"Eixample",6,"la Sagrada Família",45,"Electors",782
2021,2,"Eixample",6,"la Sagrada Família",46,"Electors",1269
2021,2,"Eixample",6,"la Sagrada Família",47,"Electors",1276
2021,2,"Eixample",6,"la Sagrada Família",48,"Electors",774
2021,2,"Eixample",6,"la Sagrada Família",49,"Electors",1270
2021,2,"Eixample",6,"la Sagrada Família",50,"Electors",1025
