"Any","Ambit","Titularitat","Organitzador","Festa","DataInici","DataFi","Assistents","Web","Nota"
2019,"Festes i tradicions","Municipal","Institut de Cultura. Ajuntament de Barcelona","Cap d'Any","31/12/2019","31/12/2019",94000.0,"",""
2019,"Festes i tradicions","Mixta","Diverses entitats","Carnaval","28/2/2019","6/3/2019","","http://www.bcn.cat/carnaval",""
2019,"Festes i tradicions","Municipal","Institut de Cultura. Ajuntament de Barcelona","Cavalcada de Reis","5/1/2019","5/1/2019",750000.0,"http://www.bcn.cat/nadal",""
2019,"Festes i tradicions","Mixta","Diverses entitats","Cavalcada dels Tres Tombs ","17/1/2019","17/1/2019","","",""
2019,"Festes i tradicions","Mixta","Diverses entitats","Diada de l'Onze de Setembre","11/9/2019","11/9/2019","","",""
2019,"Festes i tradicions","Mixta","Diverses entitats","Diada de Sant Jordi","23/4/2019","23/4/2019","","http://www.bcn.cat/santjordi",""
2019,"Ciència","Municipal","Institut de Cultura. Ajuntament de Barcelona","Festa de la Ciència","26/10/2019","27/10/2019",15000.0,"http://festacienciaitecnologia.bcn.cat",""
2019,"Festes i tradicions","Mixta","Diverses entitats","Festa Major de Gràcia","15/8/2019","21/8/2019","","http://www.festamajordegracia.cat",""
2019,"Festes i tradicions","Mixta","Diverses entitats","Festa Major de Sants","24/8/2019","1/9/2019","","http://festamajordesants.net",""
2019,"Festes i tradicions","Municipal","Institut de Cultura. Ajuntament de Barcelona","Festes de Santa Eulàlia","8/2/2019","12/2/2019","","http://santaeulalia.bcn.cat",""
2019,"Festes i tradicions","Municipal","Institut de Cultura. Ajuntament de Barcelona","In Museu","2/2/2019","2/2/2019",2536.0,"",""
2019,"Festes i tradicions","Mixta","Diverses entitats","L'ou com balla","20/6/2019","23/6/2019","","",""
2019,"Festes i tradicions","Municipal","Institut de Cultura. Ajuntament de Barcelona","La Mercè","20/9/2019","24/9/2019",1371757.0,"http://merce.bcn.cat",""
2019,"Festes i tradicions","Municipal","Institut de Cultura. Ajuntament de Barcelona","Nit dels Museus","18/5/2019","18/5/2019",170000.0,"http://www.bcn.cat/lanitdelsmuseus",""
2019,"Festes i tradicions","Mixta","Diverses entitats","Revetlla de Sant Joan","23/6/2019","23/6/2019","","http://santjoan.bcn.cat",""
