"Any","Indicador","Equipament","Valor","Notes_Dades","Notes_Equipament","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Titularitat","TipusGeneral","TipusEquipament","Ambit","Latitud","Longitud"
2019,"Aforament","Almeria Teatre",18587,"","","06","Gràcia","31","la Vila de Gràcia","Privada","Espais d'arts escèniques","Sales d'arts escèniques","Arts escèniques",41.406091398,2.16140486
2019,"Entrades_Venudes","Almeria Teatre",7056,"","","06","Gràcia","31","la Vila de Gràcia","Privada","Espais d'arts escèniques","Sales d'arts escèniques","Arts escèniques",41.406091398,2.16140486
2019,"Espectacles","Almeria Teatre",24,"","","06","Gràcia","31","la Vila de Gràcia","Privada","Espais d'arts escèniques","Sales d'arts escèniques","Arts escèniques",41.406091398,2.16140486
2019,"Espectadors","Almeria Teatre",8344,"","","06","Gràcia","31","la Vila de Gràcia","Privada","Espais d'arts escèniques","Sales d'arts escèniques","Arts escèniques",41.406091398,2.16140486
2019,"Funcions","Almeria Teatre",198,"","","06","Gràcia","31","la Vila de Gràcia","Privada","Espais d'arts escèniques","Sales d'arts escèniques","Arts escèniques",41.406091398,2.16140486
2019,"Aforament","Altres espais escènics",4826,"Inclou els espectacles dels espais següents: Museu d'Arqueologia, La Pedrera, La Vilella, CCCB i Drassanes Reials.","","DD","Diversos districtes","DB","Diversos barris","Privada","Espais d'arts escèniques","Sales d'arts escèniques","Arts escèniques","",""
2019,"Entrades_Venudes","Altres espais escènics",3208,"Inclou els espectacles dels espais següents: Museu d'Arqueologia, La Pedrera, La Vilella, CCCB i Drassanes Reials.","","DD","Diversos districtes","DB","Diversos barris","Privada","Espais d'arts escèniques","Sales d'arts escèniques","Arts escèniques","",""
2019,"Espectacles","Altres espais escènics",8,"Inclou els espectacles dels espais següents: Museu d'Arqueologia, La Pedrera, La Vilella, CCCB i Drassanes Reials.","","DD","Diversos districtes","DB","Diversos barris","Privada","Espais d'arts escèniques","Sales d'arts escèniques","Arts escèniques","",""
2019,"Espectadors","Altres espais escènics",4199,"Inclou els espectacles dels espais següents: Museu d'Arqueologia, La Pedrera, La Vilella, CCCB i Drassanes Reials.","","DD","Diversos districtes","DB","Diversos barris","Privada","Espais d'arts escèniques","Sales d'arts escèniques","Arts escèniques","",""
2019,"Funcions","Altres espais escènics",47,"Inclou els espectacles dels espais següents: Museu d'Arqueologia, La Pedrera, La Vilella, CCCB i Drassanes Reials.","","DD","Diversos districtes","DB","Diversos barris","Privada","Espais d'arts escèniques","Sales d'arts escèniques","Arts escèniques","",""
2019,"Aforament","Antic Teatre",11160,"","","01","Ciutat Vella","","","Privada","Espais d'arts escèniques","Sales d'arts escèniques","Arts escèniques","",""
2019,"Entrades_Venudes","Antic Teatre",5569,"","","01","Ciutat Vella","","","Privada","Espais d'arts escèniques","Sales d'arts escèniques","Arts escèniques","",""
2019,"Espectacles","Antic Teatre",50,"","","01","Ciutat Vella","","","Privada","Espais d'arts escèniques","Sales d'arts escèniques","Arts escèniques","",""
2019,"Espectadors","Antic Teatre",6842,"","","01","Ciutat Vella","","","Privada","Espais d'arts escèniques","Sales d'arts escèniques","Arts escèniques","",""
2019,"Funcions","Antic Teatre",170,"","","01","Ciutat Vella","","","Privada","Espais d'arts escèniques","Sales d'arts escèniques","Arts escèniques","",""
2019,"Aforament","Aquitània Teatre",79472,"","","02","Eixample","09","la Nova Esquerra de l'Eixample","Privada","Espais d'arts escèniques","Sales d'arts escèniques","Arts escèniques",41.390208275,2.144701461
