"Any","Indicador","Equipament","Valor","Notes_Dades","Notes_Equipament","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Titularitat","TipusGeneral","TipusEquipament","Ambit","Latitud","Longitud"
2019,"Visitants","Arts Santa Mònica. Centre de la Creativitat",58261,"","",1,"Ciutat Vella",1,"el Raval","Pública no municipal","Museus i espais d'exposicions","Centres d'exposicions","Arts visuals",41.377227254,2.175597264
2019,"Visites_Exposicions_Temporals","Arts Santa Mònica. Centre de la Creativitat",37275,"","",1,"Ciutat Vella",1,"el Raval","Pública no municipal","Museus i espais d'exposicions","Centres d'exposicions","Arts visuals",41.377227254,2.175597264
2019,"Num_Exposicions_Temporals","Arts Santa Mònica. Centre de la Creativitat",19,"","",1,"Ciutat Vella",1,"el Raval","Pública no municipal","Museus i espais d'exposicions","Centres d'exposicions","Arts visuals",41.377227254,2.175597264
2019,"Visitants","Arxiu Fotogràfic de Barcelona",16469,"","",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Municipal","Arxius i biblioteques patrimonials","Arxius","Història i memòria",41.38687264,2.181806284
2019,"Visites_Exposicions_Temporals","Arxiu Fotogràfic de Barcelona",16337,"","",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Municipal","Arxius i biblioteques patrimonials","Arxius","Història i memòria",41.38687264,2.181806284
2019,"Num_Exposicions_Temporals","Arxiu Fotogràfic de Barcelona",3,"","",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Municipal","Arxius i biblioteques patrimonials","Arxius","Història i memòria",41.38687264,2.181806284
2019,"Visitants","Basílica de la Sagrada Família",4717796,"","",2,"Eixample",6,"la Sagrada Família","Privada","Museus i espais d'exposicions","Espais d'interès arquitectònic","Història i memòria",41.403188985,2.1748266259999998
2019,"Visitants","CaixaForum",674594,"","",3,"Sants-Montjuïc",14,"la Font de la Guatlla","Privada","Museus i espais d'exposicions","Centres d'exposicions","Arts visuals",41.371294526,2.149575441
2019,"Visites_Exposicions_Temporals","CaixaForum",1050068,"","",3,"Sants-Montjuïc",14,"la Font de la Guatlla","Privada","Museus i espais d'exposicions","Centres d'exposicions","Arts visuals",41.371294526,2.149575441
2019,"Num_Exposicions_Temporals","CaixaForum",14,"","",3,"Sants-Montjuïc",14,"la Font de la Guatlla","Privada","Museus i espais d'exposicions","Centres d'exposicions","Arts visuals",41.371294526,2.149575441
2019,"Visitants","Can Framis. Fundació Vila Casas",11334,"","",2,"Eixample",66,"el Parc i la Llacuna del Poblenou","Privada","Museus i espais d'exposicions","Museus i col·leccions","Arts visuals",41.402912812,2.194947848
2019,"Visites_Exposicions_Temporals","Can Framis. Fundació Vila Casas",14853,"","",2,"Eixample",66,"el Parc i la Llacuna del Poblenou","Privada","Museus i espais d'exposicions","Museus i col·leccions","Arts visuals",41.402912812,2.194947848
2019,"Num_Exposicions_Temporals","Can Framis. Fundació Vila Casas",7,"","",2,"Eixample",66,"el Parc i la Llacuna del Poblenou","Privada","Museus i espais d'exposicions","Museus i col·leccions","Arts visuals",41.402912812,2.194947848
2019,"Visitants","Casa Amatller",21781,"","",2,"Eixample",7,"la Dreta de Eixample","Privada","Museus i espais d'exposicions","Espais d'interès arquitectònic","Arts visuals",41.3913381,2.16468108
2019,"Visitants","Casa Batlló",1065222,"","",2,"Eixample",7,"la Dreta de Eixample","Privada","Museus i espais d'exposicions","Espais d'interès arquitectònic","Història i memòria",41.3916967,2.1649608
2019,"Visitants","Casa Museu Gaudí",412498,"","",6,"Gràcia",30,"la Salut","Privada","Museus i espais d'exposicions","Espais d'interès arquitectònic","Història i memòria",41.414781293000004,2.155046761
2019,"Visitants","Casa Vicens",163096,"","",6,"Gràcia",31,"la Vila de Gràcia","Privada","Museus i espais d'exposicions","Espais d'interès arquitectònic","Història i memòria",41.4036093,2.1512307999999996
2019,"Visites_Exposicions_Temporals","Casa Vicens",171653,"","",6,"Gràcia",31,"la Vila de Gràcia","Privada","Museus i espais d'exposicions","Espais d'interès arquitectònic","Història i memòria",41.4036093,2.1512307999999996
2019,"Num_Exposicions_Temporals","Casa Vicens",4,"","",6,"Gràcia",31,"la Vila de Gràcia","Privada","Museus i espais d'exposicions","Espais d'interès arquitectònic","Història i memòria",41.4036093,2.1512307999999996
2019,"Visitants","Castell de Montjuïc",881215,"","",3,"Sants-Montjuïc",11,"el Poble-sec","Municipal","Museus i espais d'exposicions","Museus i col·leccions","Història i memòria",41.3675648,2.1685315
2019,"Visites_Exposicions_Temporals","Castell de Montjuïc",285817,"","",3,"Sants-Montjuïc",11,"el Poble-sec","Municipal","Museus i espais d'exposicions","Museus i col·leccions","Història i memòria",41.3675648,2.1685315
2019,"Num_Exposicions_Temporals","Castell de Montjuïc",3,"","",3,"Sants-Montjuïc",11,"el Poble-sec","Municipal","Museus i espais d'exposicions","Museus i col·leccions","Història i memòria",41.3675648,2.1685315
2019,"Visitants","Centre de Cultura Contemporània de Barcelona. CCCB",517716,"","",1,"Ciutat Vella",1,"el Raval","Consorci o fundació amb presència municipal","Museus i espais d'exposicions","Centres d'exposicions","Arts visuals",41.383883057,2.1667951519999997
2019,"Visites_Exposicions_Temporals","Centre de Cultura Contemporània de Barcelona. CCCB",291616,"","",1,"Ciutat Vella",1,"el Raval","Consorci o fundació amb presència municipal","Museus i espais d'exposicions","Centres d'exposicions","Arts visuals",41.383883057,2.1667951519999997
2019,"Num_Exposicions_Temporals","Centre de Cultura Contemporània de Barcelona. CCCB",5,"","",1,"Ciutat Vella",1,"el Raval","Consorci o fundació amb presència municipal","Museus i espais d'exposicions","Centres d'exposicions","Arts visuals",41.383883057,2.1667951519999997
2019,"Visitants","CosmoCaixa",1002965,"","",5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Privada","Museus i espais d'exposicions","Museus i col·leccions","Ciència",41.413267366999996,2.130658424
2019,"Visites_Exposicions_Temporals","CosmoCaixa",949828,"","",5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Privada","Museus i espais d'exposicions","Museus i col·leccions","Ciència",41.413267366999996,2.130658424
2019,"Num_Exposicions_Temporals","CosmoCaixa",4,"","",5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Privada","Museus i espais d'exposicions","Museus i col·leccions","Ciència",41.413267366999996,2.130658424
2019,"Fons_Colleccio","CosmoCaixa",8226,"","",5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Privada","Museus i espais d'exposicions","Museus i col·leccions","Ciència",41.413267366999996,2.130658424
2019,"Visitants","El Born Centre de Cultura i Memòria",1161755,"","",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Municipal","Museus i espais d'exposicions","Museus i col·leccions","Història i memòria",41.385641483,2.1835680440000003
2019,"Visites_Exposicions_Temporals","El Born Centre de Cultura i Memòria",14505,"","",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Municipal","Museus i espais d'exposicions","Museus i col·leccions","Història i memòria",41.385641483,2.1835680440000003
2019,"Num_Exposicions_Temporals","El Born Centre de Cultura i Memòria",2,"","",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Municipal","Museus i espais d'exposicions","Museus i col·leccions","Història i memòria",41.385641483,2.1835680440000003
2019,"Visitants","Espai Bombers Parc de la Prevenció",13074,"","",3,"Sants-Montjuïc",11,"el Poble-sec","Municipal","Museus i espais d'exposicions","Museus i col·leccions","Història i memòria",41.373639000000004,2.1543787999999995
2019,"Visites_Exposicions_Temporals","Espai Bombers Parc de la Prevenció",13167,"","",3,"Sants-Montjuïc",11,"el Poble-sec","Municipal","Museus i espais d'exposicions","Museus i col·leccions","Història i memòria",41.373639000000004,2.1543787999999995
2019,"Num_Exposicions_Temporals","Espai Bombers Parc de la Prevenció",2,"","",3,"Sants-Montjuïc",11,"el Poble-sec","Municipal","Museus i espais d'exposicions","Museus i col·leccions","Història i memòria",41.373639000000004,2.1543787999999995
2019,"Visitants","Espais patrimonials del MUHBA",422245,"","",1,"Ciutat Vella",2,"el Barri Gòtic","Municipal","Museus i espais d'exposicions","Espais d'interès arquitectònic","Història i memòria","",""
2019,"Visitants","Espais VolART i VolART2. Fundació Vila Casas",10158,"","",2,"Eixample",7,"la Dreta de Eixample","Privada","Museus i espais d'exposicions","Centres d'exposicions","Arts visuals",41.390963134,2.1752939980000003
2019,"Visites_Exposicions_Temporals","Espais VolART i VolART2. Fundació Vila Casas",10158,"","",2,"Eixample",7,"la Dreta de Eixample","Privada","Museus i espais d'exposicions","Centres d'exposicions","Arts visuals",41.390963134,2.1752939980000003
2019,"Num_Exposicions_Temporals","Espais VolART i VolART2. Fundació Vila Casas",3,"","",2,"Eixample",7,"la Dreta de Eixample","Privada","Museus i espais d'exposicions","Centres d'exposicions","Arts visuals",41.390963134,2.1752939980000003
2019,"Visitants","Fabra i Coats - Centre d'Art Contemporani",14638,"","",9,"Sant Andreu",60,"Sant Andreu","Municipal","Museus i espais d'exposicions","Centres d'exposicions","Arts visuals",41.433762956,2.190815632
2019,"Visites_Exposicions_Temporals","Fabra i Coats - Centre d'Art Contemporani",13619,"","",9,"Sant Andreu",60,"Sant Andreu","Municipal","Museus i espais d'exposicions","Centres d'exposicions","Arts visuals",41.433762956,2.190815632
2019,"Num_Exposicions_Temporals","Fabra i Coats - Centre d'Art Contemporani",11,"","",9,"Sant Andreu",60,"Sant Andreu","Municipal","Museus i espais d'exposicions","Centres d'exposicions","Arts visuals",41.433762956,2.190815632
2019,"Visitants","Fundació Antoni Tàpies",44290,"","",2,"Eixample",7,"la Dreta de Eixample","Consorci o fundació amb presència municipal","Museus i espais d'exposicions","Museus i col·leccions","Arts visuals",41.391522171,2.163757744
2019,"Visites_Exposicions_Temporals","Fundació Antoni Tàpies",91623,"","",2,"Eixample",7,"la Dreta de Eixample","Consorci o fundació amb presència municipal","Museus i espais d'exposicions","Museus i col·leccions","Arts visuals",41.391522171,2.163757744
2019,"Num_Exposicions_Temporals","Fundació Antoni Tàpies",7,"","",2,"Eixample",7,"la Dreta de Eixample","Consorci o fundació amb presència municipal","Museus i espais d'exposicions","Museus i col·leccions","Arts visuals",41.391522171,2.163757744
2019,"Visitants","Fundació Foto Colectania",34507,"","",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Privada","Museus i espais d'exposicions","Museus i col·leccions","Arts visuals",41.3876349,2.1827391
2019,"Visites_Exposicions_Temporals","Fundació Foto Colectania",34507,"","",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Privada","Museus i espais d'exposicions","Museus i col·leccions","Arts visuals",41.3876349,2.1827391
2019,"Num_Exposicions_Temporals","Fundació Foto Colectania",4,"","",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Privada","Museus i espais d'exposicions","Museus i col·leccions","Arts visuals",41.3876349,2.1827391
2019,"Fons_Colleccio","Fundació Foto Colectania",27789,"","",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Privada","Museus i espais d'exposicions","Museus i col·leccions","Arts visuals",41.3876349,2.1827391
2019,"Visitants","Fundació Fran Daurel",220977,"","",3,"Sants-Montjuïc",11,"el Poble-sec","Privada","Museus i espais d'exposicions","Museus i col·leccions","Arts visuals",41.369116603,2.146724957
2019,"Fons_Colleccio","Fundació Fran Daurel",470,"","",3,"Sants-Montjuïc",11,"el Poble-sec","Privada","Museus i espais d'exposicions","Museus i col·leccions","Arts visuals",41.369116603,2.146724957
2019,"Visitants","Fundació Joan Miró",364514,"","",3,"Sants-Montjuïc",11,"el Poble-sec","Consorci o fundació amb presència municipal","Museus i espais d'exposicions","Museus i col·leccions","Arts escèniques,Arts visuals",41.368629999999996,2.1598509999999997
2019,"Visites_Exposicions_Temporals","Fundació Joan Miró",580927,"","",3,"Sants-Montjuïc",11,"el Poble-sec","Consorci o fundació amb presència municipal","Museus i espais d'exposicions","Museus i col·leccions","Arts escèniques,Arts visuals",41.368629999999996,2.1598509999999997
2019,"Num_Exposicions_Temporals","Fundació Joan Miró",19,"","",3,"Sants-Montjuïc",11,"el Poble-sec","Consorci o fundació amb presència municipal","Museus i espais d'exposicions","Museus i col·leccions","Arts escèniques,Arts visuals",41.368629999999996,2.1598509999999997
2019,"Fons_Colleccio","Fundació Joan Miró",20323,"","",3,"Sants-Montjuïc",11,"el Poble-sec","Consorci o fundació amb presència municipal","Museus i espais d'exposicions","Museus i col·leccions","Arts escèniques,Arts visuals",41.368629999999996,2.1598509999999997
2019,"Visitants","Fundació Suñol",1356,"La Fundació Suñol ha tancat temporalment per canvi de seu.","",4,"Les Corts",20,"la Maternitat i Sant Ramon","Privada","Museus i espais d'exposicions","Museus i col·leccions","Arts visuals",41.3826167,2.1262746
2019,"Visites_Exposicions_Temporals","Fundació Suñol",1075,"","",4,"Les Corts",20,"la Maternitat i Sant Ramon","Privada","Museus i espais d'exposicions","Museus i col·leccions","Arts visuals",41.3826167,2.1262746
2019,"Num_Exposicions_Temporals","Fundació Suñol",2,"","",4,"Les Corts",20,"la Maternitat i Sant Ramon","Privada","Museus i espais d'exposicions","Museus i col·leccions","Arts visuals",41.3826167,2.1262746
2019,"Fons_Colleccio","Fundació Suñol",1343,"","",4,"Les Corts",20,"la Maternitat i Sant Ramon","Privada","Museus i espais d'exposicions","Museus i col·leccions","Arts visuals",41.3826167,2.1262746
2019,"Visitants","Fundación Mapfre Casa Garriga i Nogués",76587,"","",2,"Eixample",7,"la Dreta de Eixample","Privada","Museus i espais d'exposicions","Centres d'exposicions","Arts visuals",41.3888884,2.1652352
