"Any","Indicador","Genere","Espectacles"
2019,"Aforament","Circ","10830"
2019,"Espectadors","Teatre","56976"
2019,"Aforament","Creació","6452"
2019,"Espectacles","Cinema","2"
2019,"Espectadors","Música","29506"
2019,"Ocupacio","Creació","83.50%"
2019,"Espectadors","Cinema","11669"
2019,"Espectacles","Música","28"
2019,"Espectadors","Circ","10033"
2019,"Ocupacio","Teatre","69.32%"
2019,"Ocupacio","Dansa","80.10%"
2019,"Espectacles","Circ","5"
2019,"Aforament","Teatre","82192"
2019,"Aforament","Dansa","13760"
2019,"Ocupacio","Cinema","69.59%"
2019,"Aforament","Música","37592"
2019,"Espectadors","Creació","5388"
2019,"Aforament","Cinema","16768"
2019,"Ocupacio","Música","78.49%"
2019,"Espectacles","Creació","14"
2019,"Espectadors","Dansa","11022"
2019,"Ocupacio","Circ","92.64%"
2019,"Espectacles","Teatre","29"
