"Any","Indicador","Equipament","Valor","Notes_Dades","Notes_Equipament","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Titularitat","TipusGeneral","TipusEquipament","Ambit","Latitud","Longitud"
2019,"Total Usos Entitats","Centre Cívic Barceloneta",326,"","",1,"Ciutat Vella",3,"la Barceloneta","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.380269123000005,2.19230079
2019,"Total Usos Entitats","Centre Cívic Baró de Viver",57,"","",9,"Sant Andreu",58,"Baró de Viver","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.448391924,2.199921143
2019,"Total Usos Entitats","Centre Cívic Besòs",72,"","",10,"Sant Martí",70,"el Besòs i el Maresme","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.416306001,2.211478868
2019,"Total Usos Entitats","Centre Cívic Bon Pastor",32,"","",9,"Sant Andreu",59,"el Bon Pastor","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.434780210999996,2.2049117959999998
2019,"Total Usos Entitats","Centre Cívic Can Basté",23,"","",8,"Nou Barris",46,"el Turó de la Peira","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.430458546,2.173212158
2019,"Total Usos Entitats","Centre Cívic Can Castelló",47,"","",5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.399005576,2.14016297
2019,"Total Usos Entitats","Centre Cívic Can Clariana Cultural",121,"","",9,"Sant Andreu",62,"el Congrés i els Indians","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.42751810000001,2.178412
2019,"Total Usos Entitats","Centre Cívic Can Deu",22,"","",4,"Les Corts",19,"les Corts","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.386760961,2.1325020759999997
2019,"Total Usos Entitats","Centre Cívic Can Felipa",102,"","",10,"Sant Martí",68,"el Poblenou","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.404013272,2.201386526
2019,"Total Usos Entitats","Centre Cívic Can Verdaguer",81,"","",8,"Nou Barris",45,"Porta","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.433977414,2.1790802780000003
2019,"Total Usos Entitats","Centre Cívic Casa del Rellotge",35,"","",3,"Sants-Montjuïc",13,"la Marina de Port","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.357544067,2.1413899219999997
2019,"Total Usos Entitats","Centre Cívic Casa Groga",50,"","",7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.42686342,2.137450112
2019,"Total Usos Entitats","Centre Cívic Casa Orlandai",129,"","",5,"Sarrià-Sant Gervasi",23,"Sarrià","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.398330273,2.124656447
2019,"Total Usos Entitats","Centre Cívic Convent de Sant Agustí",249,"","",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.387391384000004,2.181711349
2019,"Total Usos Entitats","Centre Cívic Cotxeres Borrell",234,"","",2,"Eixample",10,"Sant Antoni","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.375908694,2.163176076
2019,"Total Usos Entitats","Centre Cívic Cotxeres de Sants",369,"Inclou les dades del Casinet d'Hostafrancs.","",3,"Sants-Montjuïc",18,"Sants","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.375264199,2.136876024
2019,"Total Usos Entitats","Centre Cívic del Parc - Sandaru",136,"","",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.391718569,2.184755119
2019,"Total Usos Entitats","Centre Cívic Drassanes",291,"","",1,"Ciutat Vella",1,"el Raval","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.377644996,2.172852395
2019,"Total Usos Entitats","Centre Cívic El Carmel",71,"","",7,"Horta-Guinardó",37,"el Carmel","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.420263994,2.151191237
2019,"Total Usos Entitats","Centre Cívic El Coll - La Bruguera",34,"","",6,"Gràcia",29,"el Coll","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.418579055,2.149896871
2019,"Total Usos Entitats","Centre Cívic El Sortidor",96,"","",3,"Sants-Montjuïc",11,"el Poble-sec","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.372066796999995,2.1625317280000003
2019,"Total Usos Entitats","Centre Cívic Font de la Guatlla",0,"","",3,"Sants-Montjuïc",14,"la Font de la Guatlla","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.370560397,2.147508546
2019,"Total Usos Entitats","Centre Cívic Fort Pienc",140,"","",2,"Eixample",5,"el Fort Pienc","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.395557419,2.182446362
2019,"Total Usos Entitats","Centre Cívic Golferichs",76,"","",2,"Eixample",9,"la Nova Esquerra de l'Eixample","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.380813341,2.156392101
2019,"Total Usos Entitats","Centre Cívic Guinardó",78,"","",7,"Horta-Guinardó",35,"el Guinardó","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.416056397,2.1733228909999998
2019,"Total Usos Entitats","Centre Cívic Joan Oliver - Pere Quart",114,"","",4,"Les Corts",20,"la Maternitat i Sant Ramon","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.379302926,2.1277577030000003
2019,"Total Usos Entitats","Centre Cívic Josep M. Trias i Peitx - Riera Blanca",36,"","",4,"Les Corts",20,"la Maternitat i Sant Ramon","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.377780128000005,2.121762772
2019,"Total Usos Entitats","Centre Cívic l'Elèctric",17,"","",5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.41913796,2.097871834
2019,"Total Usos Entitats","Centre Cívic La Cadena",12,"","",3,"Sants-Montjuïc",13,"la Marina de Port","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.364156288000004,2.139067245
2019,"Total Usos Entitats","Centre Cívic La Casa Elizalde",115,"","",2,"Eixample",7,"la Dreta de Eixample","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.394483818000005,2.165880676
2019,"Total Usos Entitats","Centre Cívic La Sagrera",24,"","",9,"Sant Andreu",61,"la Sagrera","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.423942321,2.189139414
2019,"Total Usos Entitats","Centre Cívic La Sedeta",167,"","",6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.40554894,2.167665468
2019,"Total Usos Entitats","Centre Cívic Matas i Ramis",56,"","",7,"Horta-Guinardó",43,"Horta","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.432755073,2.160711473
2019,"Total Usos Entitats","Centre Cívic Navas",116,"","",9,"Sant Andreu",63,"Navas","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.416904706,2.184919133
2019,"Total Usos Entitats","Centre Cívic Pati Llimona",158,"","",1,"Ciutat Vella",2,"el Barri Gòtic","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.381635545,2.179176281
2019,"Total Usos Entitats","Centre Cívic Pere Pruna",8,"","",5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.403181601,2.131302875
2019,"Total Usos Entitats","Centre Cívic Sagrada Família",58,"","",2,"Eixample",6,"la Sagrada Família","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.405380126,2.176760148
2019,"Total Usos Entitats","Centre Cívic Sant Andreu",11,"","",9,"Sant Andreu",60,"Sant Andreu","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.430852888000004,2.189400581
2019,"Total Usos Entitats","Centre Cívic Sant Martí",191,"","",10,"Sant Martí",72,"Sant Martí de Provençals","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.416622171,2.1985638130000003
2019,"Total Usos Entitats","Centre Cívic Sarrià",84,"","",5,"Sarrià-Sant Gervasi",23,"Sarrià","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.393871979000004,2.121163587
2019,"Total Usos Entitats","Centre Cívic Teixonera",45,"","",7,"Horta-Guinardó",38,"la Teixonera","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.422637884000004,2.1445545580000003
2019,"Total Usos Entitats","Centre Cívic Tomasa Cuevas - Les Corts",82,"","",4,"Les Corts",19,"les Corts","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.384783744,2.1283183969999997
2019,"Total Usos Entitats","Centre Cívic Torre Llobeta",80,"","",8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.426896898,2.173951442
2019,"Total Usos Entitats","Centre Cívic Trinitat Vella",63,"","",9,"Sant Andreu",57,"la Trinitat Vella","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.451618626999995,2.1911896
2019,"Total Usos Entitats","Centre Cívic Urgell",196,"","",2,"Eixample",9,"la Nova Esquerra de l'Eixample","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.386861397,2.152032146
2019,"Total Usos Entitats","Centre Cívic Vallvidrera Vázquez Montalbán",58,"","",5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.415364217,2.102530794
2019,"Total Usos Entitats","Centre Cívic Vil·la Florida",57,"","",5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.40533741,2.135294028
2019,"Total Usos Entitats","Centre Cívic Vil·la Urània",134,"","",5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.3986429,2.14276
2019,"Total Usos Entitats","Centre Cívic Zona Nord",47,"","",8,"Nou Barris",55,"Ciutat Meridiana","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.461113806,2.177397304
2019,"Total Usos Entitats","Centre Cultural Albareda",0,"","",3,"Sants-Montjuïc",11,"el Poble-sec","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.373999934000004,2.173269239
