"CODI_CAPA","CAPA_GENERICA","NOM_CAPA","ED50_COORD_X","ED50_COORD_Y","ETRS89_COORD_X","ETRS89_COORD_Y","LONGITUD","LATITUD","EQUIPAMENT","DISTRICTE","BARRI","NOM_DISTRICTE","NOM_BARRI","ADRECA","TELEFON"
"K014","Transports i serveis relacionats","Autobusos diürns",430955.87299999996,4588951.11,430863.939,4588750.113,2.172327,41.447354,"BUS -81--",8,50,"Nou Barris","les Roquetes","",""
"K014","Transports i serveis relacionats","Autobusos diürns",430094.927,4588512.827,430003.0,4588311.835,2.162072,41.443332,"BUS -82--",8,49,"Nou Barris","Canyelles","",""
"K014","Transports i serveis relacionats","Autobusos diürns",430222.169,4588668.705,430130.24100000004,4588467.711,2.163577,41.444747,"BUS -82--",8,49,"Nou Barris","Canyelles","",""
"K014","Transports i serveis relacionats","Autobusos diürns",426664.12899999996,4582937.526000001,426572.232,4582736.586,2.121684,41.392812,"BUS -130--",5,23,"Sarrià-Sant Gervasi","Sarrià","",""
"K014","Transports i serveis relacionats","Autobusos diürns",428583.51,4586087.59,428491.597,4585886.621,2.144268,41.421356,"BUS -119--",7,38,"Horta-Guinardó","la Teixonera","",""
"K014","Transports i serveis relacionats","Autobusos diürns",431186.93200000003,4589642.181,431094.99600000004,4589441.178,2.175014,41.453598,"BUS -83-199--",8,54,"Nou Barris","Torre Baró","",""
"K014","Transports i serveis relacionats","Autobusos diürns",431387.42100000003,4590100.385,431295.48299999995,4589899.3780000005,2.177362,41.457741999999996,"BUS -83-199--",8,54,"Nou Barris","Torre Baró","",""
"K014","Transports i serveis relacionats","Autobusos diürns",432107.499,4591025.5030000005,432015.555,4590824.487,2.185879,41.466136,"BUS -83--",8,56,"Nou Barris","Vallbona","",""
"K014","Transports i serveis relacionats","Autobusos diürns",431632.585,4591131.9569999995,431540.645,4590930.94,2.180181,41.467054,"BUS -83--",8,56,"Nou Barris","Vallbona","",""
"K014","Transports i serveis relacionats","Autobusos diürns",431359.408,4590316.606000001,431267.47,4590115.597,2.177002,41.459687,"BUS -83--",8,55,"Nou Barris","Ciutat Meridiana","",""
"K014","Transports i serveis relacionats","Autobusos diürns",432093.0,4589890.7469999995,432001.055,4589689.741,2.185833,41.455914,"BUS -80-81--",8,54,"Nou Barris","Torre Baró","",""
"K014","Transports i serveis relacionats","Autobusos diürns",428309.785,4581565.125,428217.87299999996,4581364.197,2.1415290000000002,41.3806,"BUS -L94-CJ-H10--",3,18,"Sants-Montjuïc","Sants","",""
"K014","Transports i serveis relacionats","Autobusos diürns",432682.82399999996,4588430.936000001,432590.87299999996,4588229.944,2.193058,41.442816,"BUS -11-133--",9,60,"Sant Andreu","Sant Andreu","",""
"K014","Transports i serveis relacionats","Autobusos diürns",434591.244,4584824.829,434499.275,4584623.869,2.216291,41.410495000000004,"BUS -7--",10,69,"Sant Martí","Diagonal Mar i el Front Marítim del Poblenou","",""
"K014","Transports i serveis relacionats","Autobusos diürns",433027.04600000003,4583908.723999999,432935.091,4583707.773,2.197679,41.402115,"BUS -V25--",10,68,"Sant Martí","el Poblenou","",""
"K014","Transports i serveis relacionats","Autobusos diürns",427759.659,4582533.454,427667.75200000004,4582332.518,2.134835,41.389272,"BUS -V7--",4,19,"Les Corts","les Corts","",""
"K014","Transports i serveis relacionats","Autobusos diürns",431056.30299999996,4584968.485,430964.36600000004,4584767.525,2.173984,41.411493,"BUS -192-V23-191--",7,35,"Horta-Guinardó","el Guinardó","",""
"K015","Transports i serveis relacionats","Autobusos nocturns",432817.624,4587108.655,432725.672,4586907.675,2.194818,41.430918,"NITBUS -N9--",9,60,"Sant Andreu","Sant Andreu","",""
"K014","Transports i serveis relacionats","Autobusos diürns",428401.39700000006,4581493.158,428309.484,4581292.231000001,2.142633,41.37996,"BUS -78--",3,15,"Sants-Montjuïc","Hostafrancs","",""
"K014","Transports i serveis relacionats","Autobusos diürns",428657.21200000006,4582811.303,428565.297,4582610.364,2.145537,41.391855,"BUS -141--",2,8,"Eixample","l'Antiga Esquerra de l'Eixample","",""
"K014","Transports i serveis relacionats","Autobusos diürns",431399.651,4585573.774,431307.711,4585372.808,2.178023,41.416973999999996,"BUS -117--",7,35,"Horta-Guinardó","el Guinardó","",""
"K014","Transports i serveis relacionats","Autobusos diürns",425600.91,4582992.572,425509.023,4582791.632,2.108961,41.393209999999996,"BUS -113--",4,21,"Les Corts","Pedralbes","",""
"K014","Transports i serveis relacionats","Autobusos diürns",428517.51200000005,4586799.731000001,428425.599,4586598.755,2.143394,41.427764,"BUS -27-60-76-H4-M19--",7,40,"Horta-Guinardó","Montbau","",""
"K014","Transports i serveis relacionats","Autobusos diürns",425721.80700000003,4583985.397,425629.919,4583784.448,2.1102849999999997,41.402163,"BUS -130--",5,23,"Sarrià-Sant Gervasi","Sarrià","",""
"K014","Transports i serveis relacionats","Autobusos diürns",425864.578,4583943.073,425772.689,4583742.124,2.111998,41.401795,"BUS -130--",5,23,"Sarrià-Sant Gervasi","Sarrià","",""
"K014","Transports i serveis relacionats","Autobusos diürns",431141.119,4589147.7530000005,431049.18299999996,4588946.754,2.174522,41.449141,"BUS -127--",8,50,"Nou Barris","les Roquetes","",""
