"POLIGON","CAPACITAT","GEOM_WKT"
27369,"C3","MULTIPOLYGON (((433939.458691014 4587470.91642054,433939.460174592 4587470.88516884,433939.451928252 4587470.85498826,433939.434759204 4587470.82883308,433939.410348074 4587470.80926355,433939.381084393 4587470.79819528,433939.349832695 4587470.7967117,433939.319652112 4587470.80495804,433939.293496932 4587470.82212709,433939.273927404 4587470.84653822,433939.262859132 4587470.8758019,433868.291310166 4587813.04609165,433868.289826588 4587813.07734335,433868.298072928 4587813.10752394,433868.315241976 4587813.13367912,433868.339653106 4587813.15324864,433868.368916787 4587813.16431692,433868.400168486 4587813.16580049,433868.430349068 4587813.15755415,433868.456504249 4587813.14038511,433868.476073776 4587813.11597398,433868.487142048 4587813.0867103,433939.458691014 4587470.91642054)))"
27364,"C3","MULTIPOLYGON (((433370.546880107 4588787.58321079,433327.708928788 4588825.95963341,433327.689178094 4588825.9838982,433327.677892299 4588826.01307868,433327.676176135 4588826.04431847,433327.684197591 4588826.0745596,433327.701171473 4588826.10084185,433327.725436257 4588826.12059255,433327.754616739 4588826.13187834,433327.785856528 4588826.13359451,433327.816097658 4588826.12557305,433327.842379915 4588826.10859917,433370.689613966 4588787.7238606,433370.705854362 4588787.70520468,433434.976449842 4588692.19093229,433434.989640679 4588692.16256204,433434.993419018 4588692.13150413,433434.98741501 4588692.10079873,433434.972216369 4588692.0734515,433434.949310844 4588692.05213937,433434.920940587 4588692.03894854,433434.889882676 4588692.0351702,433434.859177276 4588692.04117421,433434.831830046 4588692.05637285,433434.810517923 4588692.07927837,433370.546880107 4588787.58321079)))"
25809,"C3","MULTIPOLYGON (((430810.019770748 4588311.86643945,430810.04974367 4588311.87541127,430810.081022058 4588311.87468184,430810.110544168 4588311.86432256,430810.135420168 4588311.84534746,430810.153215023 4588311.81961397,430810.162186848 4588311.78964105,430810.161457419 4588311.75836266,430810.151098137 4588311.72884055,430810.132123041 4588311.70396455,430810.106389545 4588311.68616969,430649.88212899 4588234.6991414,430649.852156069 4588234.69016958,430649.82087768 4588234.69089901,430649.791355571 4588234.70125829,430649.76647957 4588234.72023339,430649.748684715 4588234.74596688,430649.73971289 4588234.7759398,430649.740442319 4588234.80721819,430649.750801602 4588234.8367403,430649.769776698 4588234.8616163,430649.795510194 4588234.87941116,430810.019770748 4588311.86643945)))"
26368,"C2","MULTIPOLYGON (((427981.586243717 4575460.10142591,427981.612652018 4575460.0846488,427981.632583393 4575460.06053221,427981.644086821 4575460.03143683,427981.646036265 4575460.00021073,427981.638240902 4575459.96991054,427981.621463794 4575459.94350224,427981.597347203 4575459.92357086,427981.568251829 4575459.91206743,427981.537025728 4575459.91011799,427981.506725531 4575459.91791335,427767.690124216 4575552.56720602,427767.663715915 4575552.58398313,427767.64378454 4575552.60809972,427767.632281112 4575552.6371951,427767.630331668 4575552.6684212,427767.638127031 4575552.69872139,427767.654904139 4575552.72512969,427767.67902073 4575552.74506107,427767.708116105 4575552.7565645,427767.739342205 4575552.75851394,427767.769642403 4575552.75071858,427981.586243717 4575460.10142591)))"
27112,"C3","MULTIPOLYGON (((431241.085852043 4588524.52462532,431241.055116511 4588524.51877752,431241.024078214 4588524.52271374,431240.995775396 4588524.53604866,431240.972978534 4588524.55747698,431240.957919144 4588524.58490113,431240.952071344 4588524.61563667,431240.956007557 4588524.64667496,431240.969342479 4588524.67497778,431240.990770796 4588524.69777464,431241.018194954 4588524.71283403,431283.517044474 4588539.99028039,431283.547780005 4588539.99612819,431283.578818303 4588539.99219198,431283.607121121 4588539.97885705,431283.629917983 4588539.95742874,431283.644977373 4588539.93000458,431283.650825173 4588539.89926905,431283.64688896 4588539.86823075,431283.633554038 4588539.83992793,431283.612125721 4588539.81713107,431283.584701563 4588539.80207168,431241.085852043 4588524.52462532)))"
25810,"C3","MULTIPOLYGON (((430896.544214351 4588358.46222592,430896.573742689 4588358.47256744,430896.605021511 4588358.47327804,430896.634989028 4588358.46428818,430896.660711811 4588358.44647785,430896.679671935 4588358.42159043,430896.69001345 4588358.39206209,430896.690724057 4588358.36078327,430896.681734197 4588358.33081576,430896.66392386 4588358.30509297,430896.639036446 4588358.28613285,430810.10449119 4588311.68925812,430810.074962852 4588311.67891661,430810.04368403 4588311.678206,430810.013716513 4588311.68719586,430809.98799373 4588311.7050062,430809.969033606 4588311.72989361,430809.958692091 4588311.75942195,430809.957981484 4588311.79070077,430809.966971344 4588311.82066829,430809.984781681 4588311.84639107,430810.009669095 4588311.86535119,430896.544214351 4588358.46222592)))"
25167,"C3","MULTIPOLYGON (((428004.792035683 4585409.48156859,428004.816397656 4585409.50119928,428004.845633485 4585409.51234091,428004.876881365 4585409.51390286,428004.907082534 4585409.50573224,428004.933280693 4585409.48862884,428004.952911382 4585409.46426687,428004.964053013 4585409.43503104,428004.965614966 4585409.40378316,428004.957444346 4585409.37358199,428004.940340949 4585409.34738383,427905.336901336 4585299.26248766,427905.312539363 4585299.24285697,427905.283303533 4585299.23171534,427905.252055654 4585299.23015339,427905.221854484 4585299.23832401,427905.195656326 4585299.2554274,427905.176025637 4585299.27978938,427905.164884005 4585299.30902521,427905.163322053 4585299.34027309,427905.171492673 4585299.37047425,427905.188596069 4585299.39667241,428004.792035683 4585409.48156859)))"
25127,"C3","MULTIPOLYGON (((427630.449500704 4585142.73725613,427630.418420243 4585142.73366801,427630.387752177 4585142.73985988,427630.360498508 4585142.75522566,427630.339327015 4585142.77826124,427630.326310113 4585142.80671172,427630.322721986 4585142.83779218,427630.328913864 4585142.86846025,427630.344279644 4585142.89571391,427630.367315217 4585142.91688541,427630.395765699 4585142.92990231,427796.703026538 4585189.31816514,427796.734106998 4585189.32175327,427796.764775065 4585189.31556139,427796.792028734 4585189.30019561,427796.813200226 4585189.27716004,427796.826217128 4585189.24870956,427796.829805256 4585189.2176291,427796.823613377 4585189.18696103,427796.808247597 4585189.15970736,427796.785212025 4585189.13853587,427796.756761543 4585189.12551897,427630.449500704 4585142.73725613)))"
26366,"C2","MULTIPOLYGON (((428241.61728706 4575914.13650811,428241.642626787 4575914.11815687,428241.661055455 4575914.0928734,428241.670769138 4575914.06313262,428241.670816992 4575914.03184576,428241.661194334 4575914.0020754,428241.642843096 4575913.97673568,428241.617559626 4575913.95830701,428241.587818845 4575913.94859333,428241.556531989 4575913.94854547,428241.526761632 4575913.95816813,427925.69361665 4576074.27517195,427925.668276923 4576074.29352319,427925.649848255 4576074.31880666,427925.640134572 4576074.34854744,427925.640086718 4576074.3798343,427925.649709376 4576074.40960465,427925.668060613 4576074.43494438,427925.693344084 4576074.45337305,427925.723084864 4576074.46308673,427925.754371721 4576074.46313459,427925.784142077 4576074.45351193,428241.61728706 4575914.13650811)))"
25808,"C3","MULTIPOLYGON (((430649.87381919 4588234.90357844,430649.90361773 4588234.91311346,430649.934904311 4588234.91297355,430649.964616382 4588234.9031724,430649.989845519 4588234.88466942,430650.008122119 4588234.85927581,430650.01765714 4588234.82947727,430650.017517229 4588234.79819069,430650.00771608 4588234.76847862,430649.989213099 4588234.74324948,430649.963819487 4588234.72497288,430387.707998272 4588102.57286287,430387.678199731 4588102.56332785,430387.646913151 4588102.56346776,430387.61720108 4588102.57326891,430387.591971942 4588102.59177189,430387.573695342 4588102.6171655,430387.564160321 4588102.64696404,430387.564300232 4588102.67825062,430387.574101381 4588102.70796269,430387.592604362 4588102.73319183,430387.617997975 4588102.75146843,430649.87381919 4588234.90357844)))"
