"Any","Indicador","Equipament","Valor","Notes_Dades","Notes_Equipament","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Titularitat","TipusGeneral","TipusEquipament","Ambit","Latitud","Longitud"
2019,"Metres quadrats","Ateneu Popular 9 Barris",2618,"","",8,"Nou Barris",53,"la Trinitat Nova","Municipal","Espais de creació","Fàbriques de Creació","Arts escèniques",41.448742312,2.180393289
2019,"Metres quadrats","Escenari Joan Brossa",869,"","Fins al 2017 l'espai es va dir La Seca-Espai Brossa.",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Municipal","Espais de creació","Fàbriques de Creació","Arts escèniques",41.385217359,2.182361375
2019,"Metres quadrats","Fabra i Coats - Fàbrica de Creació",7440,"","",9,"Sant Andreu",60,"Sant Andreu","Municipal","Espais de creació","Fàbriques de Creació","Multidisciplinaris i altres",41.4335588,2.191379525
2019,"Metres quadrats","Graner",1000,"","",3,"Sants-Montjuïc",13,"la Marina de Port","Municipal","Espais de creació","Fàbriques de Creació","Arts escèniques",41.361492275,2.135956703
2019,"Metres quadrats","Hangar",2600,"Dades no disponibles","",10,"Sant Martí",71,"Provençals del Poblenou","Municipal","Espais de creació","Fàbriques de Creació","Arts visuals",41.407975,2.1987919999999996
2019,"Metres quadrats","La Caldera",1086,"","",4,"Les Corts",19,"les Corts","Municipal","Espais de creació","Fàbriques de Creació","Arts escèniques",41.3841617,2.128650399999969
2019,"Metres quadrats","La Central del Circ",3000,"","",10,"Sant Martí",70,"el Besòs i el Maresme","Municipal","Espais de creació","Fàbriques de Creació","Arts escèniques",41.411256,2.22647
2019,"Metres quadrats","La Escocesa",1100,"","",10,"Sant Martí",71,"Provençals del Poblenou","Municipal","Espais de creació","Fàbriques de Creació","Arts visuals",41.411243983,2.203826943
2019,"Metres quadrats","Nau Ivanow",1500,"","",9,"Sant Andreu",61,"la Sagrera","Municipal","Espais de creació","Fàbriques de Creació","Arts escèniques",41.420017781,2.18984937
2019,"Metres quadrats","Sala Beckett",2653,"","",10,"Sant Martí",68,"el Poblenou","Municipal","Espais de creació","Fàbriques de Creació","Arts escèniques",41.404734000000005,2.199518
