"Any","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Seccio_censal","Tipus_Vehicles","Desc_tipus_propietari","Nombre"
2019,"1","Ciutat Vella","1","el Raval","1","Turismes","Subjecte Jurí­dic",103
2019,"1","Ciutat Vella","1","el Raval","1","Turismes","Subjecte Fí­sic",248
2019,"1","Ciutat Vella","1","el Raval","1","Motos","Subjecte Jurí­dic",23
2019,"1","Ciutat Vella","1","el Raval","1","Motos","Subjecte Fí­sic",94
2019,"1","Ciutat Vella","1","el Raval","2","Turismes","Subjecte Jurí­dic",16
2019,"1","Ciutat Vella","1","el Raval","2","Turismes","Subjecte Fí­sic",159
2019,"1","Ciutat Vella","1","el Raval","2","Motos","Subjecte Jurí­dic",13
2019,"1","Ciutat Vella","1","el Raval","2","Motos","Subjecte Fí­sic",95
2019,"1","Ciutat Vella","1","el Raval","3","Turismes","Subjecte Jurí­dic",26
2019,"1","Ciutat Vella","1","el Raval","3","Turismes","Subjecte Fí­sic",365
2019,"1","Ciutat Vella","1","el Raval","3","Motos","Subjecte Jurí­dic",4
2019,"1","Ciutat Vella","1","el Raval","3","Motos","Subjecte Fí­sic",160
2019,"1","Ciutat Vella","1","el Raval","4","Turismes","Subjecte Jurí­dic",20
2019,"1","Ciutat Vella","1","el Raval","4","Turismes","Subjecte Fí­sic",411
2019,"1","Ciutat Vella","1","el Raval","4","Turismes","Altres",2
2019,"1","Ciutat Vella","1","el Raval","4","Motos","Subjecte Jurí­dic",11
2019,"1","Ciutat Vella","1","el Raval","4","Motos","Subjecte Fí­sic",208
2019,"1","Ciutat Vella","1","el Raval","5","Turismes","Subjecte Jurí­dic",34
2019,"1","Ciutat Vella","1","el Raval","5","Turismes","Subjecte Fí­sic",273
2019,"1","Ciutat Vella","1","el Raval","5","Motos","Subjecte Jurí­dic",25
2019,"1","Ciutat Vella","1","el Raval","5","Motos","Subjecte Fí­sic",147
2019,"1","Ciutat Vella","1","el Raval","6","Turismes","Subjecte Jurí­dic",21
2019,"1","Ciutat Vella","1","el Raval","6","Turismes","Subjecte Fí­sic",186
2019,"1","Ciutat Vella","1","el Raval","6","Turismes","Altres",1
2019,"1","Ciutat Vella","1","el Raval","6","Motos","Subjecte Fí­sic",104
2019,"1","Ciutat Vella","1","el Raval","7","Turismes","Subjecte Jurí­dic",10
2019,"1","Ciutat Vella","1","el Raval","7","Turismes","Subjecte Fí­sic",234
2019,"1","Ciutat Vella","1","el Raval","7","Motos","Subjecte Jurí­dic",1
2019,"1","Ciutat Vella","1","el Raval","7","Motos","Subjecte Fí­sic",107
2019,"1","Ciutat Vella","1","el Raval","8","Turismes","Subjecte Jurí­dic",5
2019,"1","Ciutat Vella","1","el Raval","8","Turismes","Subjecte Fí­sic",322
2019,"1","Ciutat Vella","1","el Raval","8","Motos","Subjecte Jurí­dic",2
2019,"1","Ciutat Vella","1","el Raval","8","Motos","Subjecte Fí­sic",160
2019,"1","Ciutat Vella","1","el Raval","9","Turismes","Subjecte Jurí­dic",8
2019,"1","Ciutat Vella","1","el Raval","9","Turismes","Subjecte Fí­sic",237
2019,"1","Ciutat Vella","1","el Raval","9","Motos","Subjecte Jurí­dic",4
2019,"1","Ciutat Vella","1","el Raval","9","Motos","Subjecte Fí­sic",130
2019,"1","Ciutat Vella","1","el Raval","10","Turismes","Subjecte Jurí­dic",10
2019,"1","Ciutat Vella","1","el Raval","10","Turismes","Subjecte Fí­sic",239
2019,"1","Ciutat Vella","1","el Raval","10","Motos","Subjecte Jurí­dic",19
2019,"1","Ciutat Vella","1","el Raval","10","Motos","Subjecte Fí­sic",121
2019,"1","Ciutat Vella","1","el Raval","11","Turismes","Subjecte Jurí­dic",42
2019,"1","Ciutat Vella","1","el Raval","11","Turismes","Subjecte Fí­sic",295
2019,"1","Ciutat Vella","1","el Raval","11","Motos","Subjecte Jurí­dic",9
2019,"1","Ciutat Vella","1","el Raval","11","Motos","Subjecte Fí­sic",152
2019,"1","Ciutat Vella","1","el Raval","12","Turismes","Subjecte Jurí­dic",14
2019,"1","Ciutat Vella","1","el Raval","12","Turismes","Subjecte Fí­sic",200
2019,"1","Ciutat Vella","1","el Raval","12","Turismes","Altres",1
2019,"1","Ciutat Vella","1","el Raval","12","Motos","Subjecte Jurí­dic",5
2019,"1","Ciutat Vella","1","el Raval","12","Motos","Subjecte Fí­sic",128
2019,"1","Ciutat Vella","1","el Raval","13","Turismes","Subjecte Jurí­dic",12
2019,"1","Ciutat Vella","1","el Raval","13","Turismes","Subjecte Fí­sic",187
2019,"1","Ciutat Vella","1","el Raval","13","Motos","Subjecte Fí­sic",90
2019,"1","Ciutat Vella","1","el Raval","14","Turismes","Subjecte Jurí­dic",14
2019,"1","Ciutat Vella","1","el Raval","14","Turismes","Subjecte Fí­sic",153
2019,"1","Ciutat Vella","1","el Raval","14","Motos","Subjecte Jurí­dic",1
2019,"1","Ciutat Vella","1","el Raval","14","Motos","Subjecte Fí­sic",104
2019,"1","Ciutat Vella","1","el Raval","15","Turismes","Subjecte Jurí­dic",22
2019,"1","Ciutat Vella","1","el Raval","15","Turismes","Subjecte Fí­sic",193
2019,"1","Ciutat Vella","1","el Raval","15","Motos","Subjecte Jurí­dic",4
2019,"1","Ciutat Vella","1","el Raval","15","Motos","Subjecte Fí­sic",125
2019,"1","Ciutat Vella","1","el Raval","16","Turismes","Subjecte Jurí­dic",10
2019,"1","Ciutat Vella","1","el Raval","16","Turismes","Subjecte Fí­sic",159
2019,"1","Ciutat Vella","1","el Raval","16","Motos","Subjecte Jurí­dic",29
2019,"1","Ciutat Vella","1","el Raval","16","Motos","Subjecte Fí­sic",121
2019,"1","Ciutat Vella","1","el Raval","17","Turismes","Subjecte Jurí­dic",37
2019,"1","Ciutat Vella","1","el Raval","17","Turismes","Subjecte Fí­sic",214
2019,"1","Ciutat Vella","1","el Raval","17","Motos","Subjecte Jurí­dic",11
2019,"1","Ciutat Vella","1","el Raval","17","Motos","Subjecte Fí­sic",137
2019,"1","Ciutat Vella","1","el Raval","18","Turismes","Subjecte Jurí­dic",7
2019,"1","Ciutat Vella","1","el Raval","18","Turismes","Subjecte Fí­sic",151
2019,"1","Ciutat Vella","1","el Raval","18","Motos","Subjecte Jurí­dic",15
2019,"1","Ciutat Vella","1","el Raval","18","Motos","Subjecte Fí­sic",85
2019,"1","Ciutat Vella","1","el Raval","19","Turismes","Subjecte Jurí­dic",28
2019,"1","Ciutat Vella","1","el Raval","19","Turismes","Subjecte Fí­sic",299
2019,"1","Ciutat Vella","1","el Raval","19","Turismes","Altres",2
2019,"1","Ciutat Vella","1","el Raval","19","Motos","Subjecte Jurí­dic",7
2019,"1","Ciutat Vella","1","el Raval","19","Motos","Subjecte Fí­sic",177
2019,"1","Ciutat Vella","1","el Raval","19","Motos","Altres",1
2019,"1","Ciutat Vella","1","el Raval","20","Turismes","Subjecte Jurí­dic",42
2019,"1","Ciutat Vella","1","el Raval","20","Turismes","Subjecte Fí­sic",302
2019,"1","Ciutat Vella","1","el Raval","20","Motos","Subjecte Jurí­dic",10
2019,"1","Ciutat Vella","1","el Raval","20","Motos","Subjecte Fí­sic",181
2019,"1","Ciutat Vella","1","el Raval","21","Turismes","Subjecte Jurí­dic",162
2019,"1","Ciutat Vella","1","el Raval","21","Turismes","Subjecte Fí­sic",276
