"Any","Indicador","Equipament","Valor","Notes_Dades","Notes_Equipament","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Titularitat","TipusGeneral","TipusEquipament","Ambit","Latitud","Longitud"
2019,"Projectes en cessió","Teatre Tantarantana",4.0,"","",1,"Ciutat Vella",1,"el Raval","Municipal","Espais de creació","Fàbriques de Creació","Arts escèniques",41.375938056,2.16736111
2019,"Projectes en residència","Escenari Joan Brossa",7.0,"","Fins al 2017 l'espai es va dir La Seca-Espai Brossa.",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Municipal","Espais de creació","Fàbriques de Creació","Arts escèniques",41.385217359,2.182361375
2019,"Projectes en cessió","La Escocesa",13.0,"","",10,"Sant Martí",71,"Provençals del Poblenou","Municipal","Espais de creació","Fàbriques de Creació","Arts visuals",41.411243983,2.203826943
2019,"Projectes en cessió","Sala Beckett",0.0,"","",10,"Sant Martí",68,"el Poblenou","Municipal","Espais de creació","Fàbriques de Creació","Arts escèniques",41.404734000000005,2.199518
2019,"Total projectes creació","La Central del Circ",104.0,"","",10,"Sant Martí",70,"el Besòs i el Maresme","Municipal","Espais de creació","Fàbriques de Creació","Arts escèniques",41.411256,2.22647
2019,"Total projectes creació","Hangar","","Dades no disponibles","",10,"Sant Martí",71,"Provençals del Poblenou","Municipal","Espais de creació","Fàbriques de Creació","Arts visuals",41.407975,2.1987919999999996
2019,"Total projectes creació","Graner",57.0,"","",3,"Sants-Montjuïc",13,"la Marina de Port","Municipal","Espais de creació","Fàbriques de Creació","Arts escèniques",41.361492275,2.135956703
2019,"Total projectes creació","Nau Ivanow",17.0,"","",9,"Sant Andreu",61,"la Sagrera","Municipal","Espais de creació","Fàbriques de Creació","Arts escèniques",41.420017781,2.18984937
2019,"Projectes en cessió","La Caldera",35.0,"","",4,"Les Corts",19,"les Corts","Municipal","Espais de creació","Fàbriques de Creació","Arts escèniques",41.3841617,2.128650399999969
2019,"Total projectes creació","Teatre Tantarantana",16.0,"","",1,"Ciutat Vella",1,"el Raval","Municipal","Espais de creació","Fàbriques de Creació","Arts escèniques",41.375938056,2.16736111
2019,"Projectes en residència","Ateneu Popular 9 Barris",14.0,"","",8,"Nou Barris",53,"la Trinitat Nova","Municipal","Espais de creació","Fàbriques de Creació","Arts escèniques",41.448742312,2.180393289
2019,"Total projectes creació","Fabra i Coats - Fàbrica de Creació",100.0,"","",9,"Sant Andreu",60,"Sant Andreu","Municipal","Espais de creació","Fàbriques de Creació","Multidisciplinaris i altres",41.4335588,2.191379525
2019,"Projectes en residència","Graner",52.0,"","",3,"Sants-Montjuïc",13,"la Marina de Port","Municipal","Espais de creació","Fàbriques de Creació","Arts escèniques",41.361492275,2.135956703
2019,"Projectes en cessió","Escenari Joan Brossa",0.0,"","Fins al 2017 l'espai es va dir La Seca-Espai Brossa.",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Municipal","Espais de creació","Fàbriques de Creació","Arts escèniques",41.385217359,2.182361375
2019,"Total projectes creació","La Escocesa",79.0,"","",10,"Sant Martí",71,"Provençals del Poblenou","Municipal","Espais de creació","Fàbriques de Creació","Arts visuals",41.411243983,2.203826943
2019,"Projectes en residència","Fabra i Coats - Fàbrica de Creació",45.0,"","",9,"Sant Andreu",60,"Sant Andreu","Municipal","Espais de creació","Fàbriques de Creació","Multidisciplinaris i altres",41.4335588,2.191379525
2019,"Total projectes creació","Sala Beckett",14.0,"","",10,"Sant Martí",68,"el Poblenou","Municipal","Espais de creació","Fàbriques de Creació","Arts escèniques",41.404734000000005,2.199518
2019,"Projectes en residència","La Central del Circ",52.0,"","",10,"Sant Martí",70,"el Besòs i el Maresme","Municipal","Espais de creació","Fàbriques de Creació","Arts escèniques",41.411256,2.22647
2019,"Projectes en residència","La Caldera",47.0,"","",4,"Les Corts",19,"les Corts","Municipal","Espais de creació","Fàbriques de Creació","Arts escèniques",41.3841617,2.128650399999969
2019,"Projectes en cessió","Hangar","","Dades no disponibles","",10,"Sant Martí",71,"Provençals del Poblenou","Municipal","Espais de creació","Fàbriques de Creació","Arts visuals",41.407975,2.1987919999999996
2019,"Projectes en residència","Nau Ivanow",17.0,"","",9,"Sant Andreu",61,"la Sagrera","Municipal","Espais de creació","Fàbriques de Creació","Arts escèniques",41.420017781,2.18984937
2019,"Projectes en residència","Teatre Tantarantana",12.0,"","",1,"Ciutat Vella",1,"el Raval","Municipal","Espais de creació","Fàbriques de Creació","Arts escèniques",41.375938056,2.16736111
2019,"Projectes en cessió","Ateneu Popular 9 Barris",6.0,"","",8,"Nou Barris",53,"la Trinitat Nova","Municipal","Espais de creació","Fàbriques de Creació","Arts escèniques",41.448742312,2.180393289
2019,"Total projectes creació","Escenari Joan Brossa",7.0,"","Fins al 2017 l'espai es va dir La Seca-Espai Brossa.",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Municipal","Espais de creació","Fàbriques de Creació","Arts escèniques",41.385217359,2.182361375
2019,"Projectes en residència","Sala Beckett",14.0,"","",10,"Sant Martí",68,"el Poblenou","Municipal","Espais de creació","Fàbriques de Creació","Arts escèniques",41.404734000000005,2.199518
2019,"Projectes en cessió","Graner",5.0,"","",3,"Sants-Montjuïc",13,"la Marina de Port","Municipal","Espais de creació","Fàbriques de Creació","Arts escèniques",41.361492275,2.135956703
2019,"Projectes en cessió","Nau Ivanow",0.0,"","",9,"Sant Andreu",61,"la Sagrera","Municipal","Espais de creació","Fàbriques de Creació","Arts escèniques",41.420017781,2.18984937
2019,"Projectes en residència","La Escocesa",66.0,"","",10,"Sant Martí",71,"Provençals del Poblenou","Municipal","Espais de creació","Fàbriques de Creació","Arts visuals",41.411243983,2.203826943
2019,"Projectes en cessió","Fabra i Coats - Fàbrica de Creació",55.0,"","",9,"Sant Andreu",60,"Sant Andreu","Municipal","Espais de creació","Fàbriques de Creació","Multidisciplinaris i altres",41.4335588,2.191379525
2019,"Projectes en cessió","La Central del Circ",52.0,"","",10,"Sant Martí",70,"el Besòs i el Maresme","Municipal","Espais de creació","Fàbriques de Creació","Arts escèniques",41.411256,2.22647
2019,"Total projectes creació","La Caldera",82.0,"","",4,"Les Corts",19,"les Corts","Municipal","Espais de creació","Fàbriques de Creació","Arts escèniques",41.3841617,2.128650399999969
2019,"Projectes en residència","Hangar","","Dades no disponibles","",10,"Sant Martí",71,"Provençals del Poblenou","Municipal","Espais de creació","Fàbriques de Creació","Arts visuals",41.407975,2.1987919999999996
