"id","name","institution_id","institution_name","created","modified","addresses_roadtype_id","addresses_roadtype_name","addresses_road_id","addresses_road_name","addresses_start_street_number","addresses_end_street_number","addresses_neighborhood_id","addresses_neighborhood_name","addresses_district_id","addresses_district_name","addresses_zip_code","addresses_main_address","addresses_type","values_id","values_attribute_id","values_category","values_attribute_name","values_attribute_type","values_value","values_outstanding","values_description","secondary_filters_id","secondary_filters_name","secondary_filters_fullpath","secondary_filters_tree","secondary_filters_asia_id","geo_epgs_25831_x","geo_epgs_25831_y","geo_epgs_4326_x","geo_epgs_4326_y"
99400074714,"Punt Verd Mòbil *Joan Sales-Poesia","","","2004-02-27T11:46:28+01:00","2020-05-24T17:44:24+02:00","","",701147,"C Joan Sales",3,"",40,"Montbau",7,"Horta-Guinardó",8035,True,"","","","","","","","","",65731071,"Punt verd mòbil","Planol BCN >> Medi ambient >> Medi ambient >> Punt verd mòbil",651,65103012000003,428395.9148787924,4587167.107869522,41.43288048615661,2.1429718732787
99400074728,"Punt Verd Mòbil *Santuari","","","2004-02-27T12:13:48+01:00","2020-05-24T18:25:42+02:00","","",320307,"C Santuari",27,"",37,"el Carmel",7,"Horta-Guinardó",8032,True,"","","","","","","","","",65731071,"Punt verd mòbil","Planol BCN >> Medi ambient >> Medi ambient >> Punt verd mòbil",651,65103012000003,429069.95263290044,4585762.73169694,41.42029167337291,2.1512033227677425
99400076498,"Punt Verd Mòbil *Rambla Poblenou-Sancho de Avila","","","2004-03-11T17:18:38+01:00","2020-05-24T18:22:26+02:00","","",311703,"C Sancho de Avila",180,"",68,"el Poblenou",10,"Sant Martí",8018,True,"","","","","","","","","",65731071,"Punt verd mòbil","Planol BCN >> Medi ambient >> Medi ambient >> Punt verd mòbil",651,65103012000003,432882.9729962645,4583826.175356292,41.403177241715454,2.1970428834293143
99400076500,"Punt Verd Mòbil *Avinguda Icària-Av Bogatell","","","2004-03-11T17:27:25+01:00","2020-09-28T12:54:26+02:00","","",62609,"Av Icària",185,"",67,"la Vila Olímpica del Poblenou",10,"Sant Martí",8005,True,"","","","","","","","","",65731071,"Punt verd mòbil","Planol BCN >> Medi ambient >> Medi ambient >> Punt verd mòbil",651,65103012000003,399940.8021464679,4499882.802386827,40.643736894682434,1.8166190327358605
99400591269,"Punt Verd Mòbil *Parc de la Unitat","","","2018-05-07T11:46:15+02:00","2020-05-24T17:54:25+02:00","","",186204,"C Lloret de Mar",81,"",43,"Horta",7,"Horta-Guinardó",8031,True,"","","","","","","","","",65731071,"Punt verd mòbil","Planol BCN >> Medi ambient >> Medi ambient >> Punt verd mòbil",651,65103012000003,429640.51072275685,4587534.926547223,41.43630327476821,2.1578240406820526
99400076504,"Punt Verd Mòbil *Mercat de Galvany","","","2004-03-11T17:42:23+01:00","2020-05-24T17:48:15+02:00","","",318804,"C Santaló",65,"",26,"Sant Gervasi - Galvany",5,"Sarrià-Sant Gervasi",8021,True,"","","","","","","","","",65731071,"Punt verd mòbil","Planol BCN >> Medi ambient >> Medi ambient >> Punt verd mòbil",651,65103012000003,428447.02723098954,4583176.332785255,41.3969418058801,2.144055587922186
99400076510,"Punt Verd Mòbil *Mercat de Sant Gervasi","","","2004-03-11T18:10:58+01:00","2020-05-24T17:50:26+02:00","","",121107,"Pl Frederic Soler",6,"",25,"Sant Gervasi - la Bonanova",5,"Sarrià-Sant Gervasi",8022,True,"","","","","","","","","",65731071,"Punt verd mòbil","Planol BCN >> Medi ambient >> Medi ambient >> Punt verd mòbil",651,65103012000003,427951.1008527185,4584097.712693471,41.40519601457008,2.1380141094652583
99400076516,"Punt Verd Mòbil *Déu i Mata-Numància","","","2004-03-11T18:19:05+01:00","2020-05-24T17:37:25+02:00","","",231502,"C Numància",141,"",19,"les Corts",4,"Les Corts",8029,True,"","","","","","","","","",65731071,"Punt verd mòbil","Planol BCN >> Medi ambient >> Medi ambient >> Punt verd mòbil",651,65103012000003,427631.0533827051,4582140.388718498,41.38753845892358,2.134419439133131
99400250010,"Punt Verd Mòbil *CAP Ciutat Meridiana - Avinguda Escolapi Càncer","","","2010-06-30T12:21:47+02:00","2020-05-24T17:34:16+02:00","","",111908,"Av Escolapi Càncer",8,"",54,"Torre Baró",8,"Nou Barris",8033,True,"","","","","","","","","",65731071,"Punt verd mòbil","Planol BCN >> Medi ambient >> Medi ambient >> Punt verd mòbil",651,65103012000003,431538.3157870317,4590087.909075708,41.45946103774078,2.1802483769199923
99400074664,"Punt Verd Mòbil *Jorge Manrique-Ventura Rodríguez","","","2004-02-26T18:54:44+01:00","2020-05-24T17:44:47+02:00","","",169103,"C Jorge Manrique",15,"",41,"la Vall d'Hebron",7,"Horta-Guinardó",8035,True,"","","","","","","","","",65731071,"Punt verd mòbil","Planol BCN >> Medi ambient >> Medi ambient >> Punt verd mòbil",651,65103012000003,428973.9923076393,4586980.981804789,41.431255460504886,2.149912009772774
