"Nom_projecte ","Breu_Descripció_Projecte ","Entitat_Sol·licitant ","Desc_Modalitat","Collectiu_Destinatari ","Adreça ","Codi_Postal ","Ciutat","Longitud","Latitud","Àmbit_Territorial "
"GenderDataLab.org","Iniciativa de creació d'un laboratori de dades amb perspectiva de gènere que té per finalitat publicar, visibilitzar i compartir informació, de manera oberta, lliure i interoperable dels aspectes vinculats al genere femení per tal d'identificar reptes claus i oportunitats per accelerar l’ equitat real entre homes i dones, o per solucionar problemes, conflictes i demés.","Thais Ruiz de Alba - Associació DigitalFems","Innovació Social Digital","Administracions públiques, mitjans de comunicació, comunitats open data i d'innovació, dones investigadores, associacions feministes i participació política digital.","carrer Vallfogona, 26",8012.0,"Barcelona",2.15793,"41.40341","Barcelona"
"Fem Plaça II. Consolidació dels Mercats de Pagès a Barcelona","Projecte de consolidació els Mercats de Pagès (a L’Esquerra de l’Eixample, Fort Pienc, el Guinardó i Sants) i Mercadets (a Ciutat Vella, L’Esquerra de l’Eixample, Sant Antoni i el Guinardó) organitzats per la XCS, promovent noves col·laboracions amb entitats veïnals per tal d’establir espais d’interrelació que promoguin la sobirania alimentaria, la promoció de l’ESS, el feminisme i el consum crític i responsable.","Xarxa de Consum Solidari (XCS)","Models agroalimentaris sostenibles i cosum responsable","Ciutadania dels barris on tenen lloc els Mercats de Pagès (L’Esquerra de L'Eixample, Fort Pienc, Guinardó i Sants) i els Mercadets (Ciutat Vella, L'Esquerra de L'Eixample, Sant Antoni i el Guinardó); organitzacions socials de caràcter veïnal amb participació continuada als Mercats de Pagès; cooperatives de producció agroecològica.","plaça de Sant Agustí Vell, 15",8003.0,"Barcelona",2.1806799999999997,"41.38785","Barcelona"
"Consolidació del mercat de pagès de Vallcarca","Projecte de consolidació del Mercat de Pagès de Vallcarca durant l'any 2020, tant en la seva vessant d’espai de venda d’aliments provinents de l’agricultura agroecològica directament de productors/es, com en la dimensió de proposta lúdica i cultural pel barri, per tal que sigui capaç d'autogestionar-se i no necessiti recursos públics per a la seva realització a partir del 2021.","L'Aixada, SCCL","Models agroalimentaris sostenibles i cosum responsable","Veínats dels barris propers a la zona del mercat","Carrer Siracusa, 2","","Barcelona",2.14547,"41.41166","Vallcarca"
"Treball turístic digne: una aposta de ciutat","Projecte de consolidació de processos de recerca i divulgació de resultats i d'enfortiment de l’arrelament en el territori, especialment a 5 districtes de la ciutat (Ciutat Vella, Nou Barris, Sants-Montjuic, Sant Martí i Sant Andreu), enfortint les capacitats de la xarxa d’institucions i organitzacions que actuen a nivell local, a més de potenciar la sensibilització i incidència a escala de ciutat per tal d’afavorir un treball digne en el turisme i reduir dinàmiques precaritzadores. ","ALBA SUD – Investigació i Comunicació per al Desenvolupament","Turisme responsable","Persones que treballen al turisme en activitats d’allotjament (hotel i HUTs), restauració, guiatge turístic, museus i equipaments culturals, bus turístic, agències de viatge, congressos i treballs informals","Carrer Pujades. 252",8005.0,"Barcelona",2.2046099999999997,"41.40438","Barcelona"
"Cuina per l'ocupació","Projecte destinat a promoure l’ocupació juvenil de joves en edat laboral i especials dificultats d’inserció, fomentant la capacitació professional i millora competencial dels i les joves mitjançant la posada en marxa d’un punt de venda de menjars per emportar a la Cafeteria Marticoffee.","Fundació Privada Jovent","Empresa al territori","Joves, amb edat laboral i  especials dificultats d'inserció detectats per la Fundació Privada Jovent; usuaris/es de serveis socials; i clients de carrer.","carrer Pedraforca, 2",8033.0,"Barcelona",2.15089,"41.42769","Horta - Guinardó"
"La Pizzeria","Projecte destinat a obrir un negoci de pizzeria gluten free en un dels barris inclosos a la iniciativa Pla de Barris de l’Ajuntament de Barcelona ","Daniele Zeller","Empresa al territori","Ciutadania en general.","","","Barcelona",2.18555,"41.45183","La Trinitat Nova"
"Centre d'Emprenedoria i Promoció Cooperativa de la Verneda i la Pau","Projecte destinat a la creació d’un espai de formació cooperativa i emprenedora per a col·lectius vulnerables i amb dificultats per emprendre, que té per objectiu proporcionar-los una educació de qualitat tot desenvolupant les seves competències emprenedores, habilitats, actituds i valors cooperatius.","Associació de Persones Participants Àgora","Empresa al territori","Col·lectius més vulnerables i en atur, amb especial èmfasi en dones.","carrer Selva de Mar, 215",8020.0,"Barcelona",2.1985900000000003,"41.4166","La Verneda i la Pau"
"Ecomuseu de la memòria oral i visual dels gitanos i gitanes de Barcelona","Projecte de creació de l’ecomuseu autosostenible, en format cooperativa, construït des de les comunitats Gitanes de la Ciutat per generar un nou futur ocupacional de qualitat en l’àmbit cultural i turístic a partir de la reflexió i visibilització de la seva empremta cultural i social del passat i del present.","Associació Carabutsi","Turisme responsable","Dones gitanes dels 18 als 30 anys; joves gitanes (homes i dones) majors de 16 anys en situació de fracàs escolar o AEP i amb risc d'exclusió social.","Sancho Marraco, 4",8004.0,"Barcelona",2.1665400000000004,"41.3792","Raval, Sant Antoni, Poble-sec, Hostafancs, Gràcia, Nou Barris i El Besòs"
"vVirtualitats rurals","Projecte de rutes virtuals per a turistes realitzades per guies locals on els participants descobriran llocs d’interès dels barris de La Verneda, Sant Martí de Provençals, La Pau, El Besòs i El Maresme, d’una forma dinàmica. Els participants es convertiran en protagonistes de la història a través d’enigmes, puzles i reptes que han de superar virtualment per aconseguir completar la ruta real proposada.","Centre estudis Sant Martí de Provençals","Turisme responsable","Turistes i locals, dones en situació d'atur.","Carrer Andrade, 176",8020.0,"Barcelona",2.20229,"41.41673","La Verneda i La Pau, Sant Martí de Provençals i El Besòs i el Maresme"
"El Bon Cistell es fa Gran","Projecte de sensibilització sobre l’agroecologia i la distribució de productes ecològics als barris de Sant Andreu, La Sagrera, Navas, Camp de l’Arpa, La Sagrada Família, El Baix Guinardó i la Vila de Gràcia, tot contribuint a reforçar l’economia pagesa del territori, els circuits curts de comercialització, el comerç de proximitat i afavorint la inserció sociolaboral de persones en risc d’exclusió.","Associació per al Desenvolupament Cultural, Amibental i Humà  CEHDA","Models agroalimentaris sostenibles i cosum responsable","Veïnes i veïns dels barris on es desenvolupa, clientela, petit comerç de barri i persones nouvingudes en risc d'exclusió social.","Carrer Vistalegre, 15",8001.0,"Barcelona",2.19043,"41.43862","Sant Andreu de Palomar, La Sagrera, Navas, El Camp de l'Arpa, La Sagrada Familia, el Baix Guinardó i La Vila de Gràcia)"
