"﻿""Any""","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Lloc_de_naixement","Nombre"
2019,1,"Ciutat Vella",1,"el Raval","Andalusia",24
2019,1,"Ciutat Vella",2,"el Barri Gòtic","Andalusia",9
2019,1,"Ciutat Vella",3,"la Barceloneta","Andalusia",36
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Andalusia",10
2019,2,"Eixample",5,"el Fort Pienc","Andalusia",27
2019,2,"Eixample",6,"la Sagrada Família","Andalusia",30
2019,2,"Eixample",7,"la Dreta de l'Eixample","Andalusia",24
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Andalusia",29
2019,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Andalusia",33
2019,2,"Eixample",10,"Sant Antoni","Andalusia",16
2019,3,"Sants-Montjuïc",11,"el Poble Sec","Andalusia",30
2019,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Andalusia",4
2019,3,"Sants-Montjuïc",13,"la Marina de Port","Andalusia",58
2019,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Andalusia",7
2019,3,"Sants-Montjuïc",15,"Hostafrancs","Andalusia",6
2019,3,"Sants-Montjuïc",16,"la Bordeta","Andalusia",15
2019,3,"Sants-Montjuïc",17,"Sants - Badal","Andalusia",28
2019,3,"Sants-Montjuïc",18,"Sants","Andalusia",24
2019,4,"Les Corts",19,"les Corts","Andalusia",32
2019,4,"Les Corts",20,"la Maternitat i Sant Ramon","Andalusia",21
2019,4,"Les Corts",21,"Pedralbes","Andalusia",3
2019,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Andalusia",5
2019,5,"Sarrià-Sant Gervasi",23,"Sarrià","Andalusia",7
2019,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Andalusia",6
2019,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Andalusia",7
2019,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Andalusia",17
2019,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Andalusia",7
2019,6,"Gràcia",28,"Vallcarca i els Penitents","Andalusia",10
2019,6,"Gràcia",29,"el Coll","Andalusia",8
2019,6,"Gràcia",30,"la Salut","Andalusia",10
2019,6,"Gràcia",31,"la Vila de Gràcia","Andalusia",29
2019,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Andalusia",11
2019,7,"Horta-Guinardó",33,"el Baix Guinardó","Andalusia",28
2019,7,"Horta-Guinardó",34,"Can Baró","Andalusia",19
2019,7,"Horta-Guinardó",35,"el Guinardó","Andalusia",42
2019,7,"Horta-Guinardó",36,"la Font d'en Fargues","Andalusia",9
2019,7,"Horta-Guinardó",37,"el Carmel","Andalusia",110
2019,7,"Horta-Guinardó",38,"la Teixonera","Andalusia",34
2019,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Andalusia",11
2019,7,"Horta-Guinardó",40,"Montbau","Andalusia",19
2019,7,"Horta-Guinardó",41,"la Vall d'Hebron","Andalusia",9
2019,7,"Horta-Guinardó",42,"la Clota","Andalusia",4
2019,7,"Horta-Guinardó",43,"Horta","Andalusia",47
2019,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Andalusia",34
2019,8,"Nou Barris",45,"Porta","Andalusia",60
2019,8,"Nou Barris",46,"el Turó de la Peira","Andalusia",33
2019,8,"Nou Barris",47,"Can Peguera","Andalusia",7
2019,8,"Nou Barris",48,"la Guineueta","Andalusia",36
2019,8,"Nou Barris",49,"Canyelles","Andalusia",18
2019,8,"Nou Barris",50,"les Roquetes","Andalusia",51
2019,8,"Nou Barris",51,"Verdun","Andalusia",36
2019,8,"Nou Barris",52,"la Prosperitat","Andalusia",81
2019,8,"Nou Barris",53,"la Trinitat Nova","Andalusia",20
2019,8,"Nou Barris",54,"Torre Baró","Andalusia",8
2019,8,"Nou Barris",55,"Ciutat Meridiana","Andalusia",12
2019,8,"Nou Barris",56,"Vallbona","Andalusia",9
2019,9,"Sant Andreu",57,"la Trinitat Vella","Andalusia",20
2019,9,"Sant Andreu",58,"Baró de Viver","Andalusia",7
2019,9,"Sant Andreu",59,"el Bon Pastor","Andalusia",31
2019,9,"Sant Andreu",60,"Sant Andreu","Andalusia",50
2019,9,"Sant Andreu",61,"la Sagrera","Andalusia",30
2019,9,"Sant Andreu",62,"el Congrés i els Indians","Andalusia",15
2019,9,"Sant Andreu",63,"Navas","Andalusia",22
2019,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Andalusia",26
2019,10,"Sant Martí",65,"el Clot","Andalusia",21
2019,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Andalusia",11
2019,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Andalusia",2
2019,10,"Sant Martí",68,"el Poblenou","Andalusia",23
2019,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Andalusia",7
2019,10,"Sant Martí",70,"el Besòs i el Maresme","Andalusia",53
2019,10,"Sant Martí",71,"Provençals del Poblenou","Andalusia",23
2019,10,"Sant Martí",72,"Sant Martí de Provençals","Andalusia",57
2019,10,"Sant Martí",73,"la Verneda i la Pau","Andalusia",69
2019,1,"Ciutat Vella",1,"el Raval","Aragó",12
2019,1,"Ciutat Vella",2,"el Barri Gòtic","Aragó",9
2019,1,"Ciutat Vella",3,"la Barceloneta","Aragó",3
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Aragó",3
2019,2,"Eixample",5,"el Fort Pienc","Aragó",20
2019,2,"Eixample",6,"la Sagrada Família","Aragó",41
2019,2,"Eixample",7,"la Dreta de l'Eixample","Aragó",26
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Aragó",14
