"Anys_Periode","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Nombre"
"2006-2010",1,"Ciutat Vella",1,"el Raval",873
"2006-2010",1,"Ciutat Vella",2,"el Barri Gòtic",325
"2006-2010",1,"Ciutat Vella",3,"la Barceloneta",370
"2006-2010",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",385
"2006-2010",2,"Eixample",5,"el Fort Pienc",544
"2006-2010",2,"Eixample",6,"la Sagrada Família",973
"2006-2010",2,"Eixample",7,"la Dreta de l'Eixample",914
"2006-2010",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",813
"2006-2010",2,"Eixample",9,"la Nova Esquerra de l'Eixample",1092
"2006-2010",2,"Eixample",10,"Sant Antoni",785
"2006-2010",3,"Sants-Montjuïc",11,"el Poble Sec",763
"2006-2010",3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",97
"2006-2010",3,"Sants-Montjuïc",13,"la Marina de Port",445
"2006-2010",3,"Sants-Montjuïc",14,"la Font de la Guatlla",177
"2006-2010",3,"Sants-Montjuïc",15,"Hostafrancs",298
"2006-2010",3,"Sants-Montjuïc",16,"la Bordeta",278
"2006-2010",3,"Sants-Montjuïc",17,"Sants - Badal",373
"2006-2010",3,"Sants-Montjuïc",18,"Sants",765
"2006-2010",4,"Les Corts",19,"les Corts",853
"2006-2010",4,"Les Corts",20,"la Maternitat i Sant Ramon",394
"2006-2010",4,"Les Corts",21,"Pedralbes",190
"2006-2010",5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",78
"2006-2010",5,"Sarrià-Sant Gervasi",23,"Sarrià",391
"2006-2010",5,"Sarrià-Sant Gervasi",24,"les Tres Torres",227
"2006-2010",5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",441
"2006-2010",5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",835
"2006-2010",5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",436
"2006-2010",6,"Gràcia",28,"Vallcarca i els Penitents",264
"2006-2010",6,"Gràcia",29,"el Coll",126
"2006-2010",6,"Gràcia",30,"la Salut",264
"2006-2010",6,"Gràcia",31,"la Vila de Gràcia",944
"2006-2010",6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",668
"2006-2010",7,"Horta-Guinardó",33,"el Baix Guinardó",466
"2006-2010",7,"Horta-Guinardó",34,"Can Baró",173
"2006-2010",7,"Horta-Guinardó",35,"el Guinardó",703
"2006-2010",7,"Horta-Guinardó",36,"la Font d'en Fargues",176
"2006-2010",7,"Horta-Guinardó",37,"el Carmel",583
"2006-2010",7,"Horta-Guinardó",38,"la Teixonera",204
"2006-2010",7,"Horta-Guinardó",39,"Sant Genís dels Agudells",141
"2006-2010",7,"Horta-Guinardó",40,"Montbau",191
"2006-2010",7,"Horta-Guinardó",41,"la Vall d'Hebron",78
"2006-2010",7,"Horta-Guinardó",42,"la Clota",11
"2006-2010",7,"Horta-Guinardó",43,"Horta",574
"2006-2010",8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",520
"2006-2010",8,"Nou Barris",45,"Porta",510
"2006-2010",8,"Nou Barris",46,"el Turó de la Peira",421
"2006-2010",8,"Nou Barris",47,"Can Peguera",70
"2006-2010",8,"Nou Barris",48,"la Guineueta",346
"2006-2010",8,"Nou Barris",49,"Canyelles",121
"2006-2010",8,"Nou Barris",50,"les Roquetes",310
"2006-2010",8,"Nou Barris",51,"Verdun",269
"2006-2010",8,"Nou Barris",52,"la Prosperitat",502
"2006-2010",8,"Nou Barris",53,"la Trinitat Nova",190
"2006-2010",8,"Nou Barris",54,"Torre Baró",57
"2006-2010",8,"Nou Barris",55,"Ciutat Meridiana",151
"2006-2010",8,"Nou Barris",56,"Vallbona",20
"2006-2010",9,"Sant Andreu",57,"la Trinitat Vella",130
"2006-2010",9,"Sant Andreu",58,"Baró de Viver",59
"2006-2010",9,"Sant Andreu",59,"el Bon Pastor",204
"2006-2010",9,"Sant Andreu",60,"Sant Andreu",948
"2006-2010",9,"Sant Andreu",61,"la Sagrera",457
"2006-2010",9,"Sant Andreu",62,"el Congrés i els Indians",343
"2006-2010",9,"Sant Andreu",63,"Navas",396
"2006-2010",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",680
"2006-2010",10,"Sant Martí",65,"el Clot",427
"2006-2010",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",229
"2006-2010",10,"Sant Martí",67,"la Vila Olímpica del Poblenou",58
"2006-2010",10,"Sant Martí",68,"el Poblenou",524
"2006-2010",10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",138
"2006-2010",10,"Sant Martí",70,"el Besòs i el Maresme",463
"2006-2010",10,"Sant Martí",71,"Provençals del Poblenou",332
"2006-2010",10,"Sant Martí",72,"Sant Martí de Provençals",562
"2006-2010",10,"Sant Martí",73,"la Verneda i la Pau",583
"2006-2010",99,"No consta",99,"No consta",8098
"2007-2011",1,"Ciutat Vella",1,"el Raval",1072
"2007-2011",1,"Ciutat Vella",2,"el Barri Gòtic",393
"2007-2011",1,"Ciutat Vella",3,"la Barceloneta",466
"2007-2011",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",489
"2007-2011",2,"Eixample",5,"el Fort Pienc",676
"2007-2011",2,"Eixample",6,"la Sagrada Família",1223
"2007-2011",2,"Eixample",7,"la Dreta de l'Eixample",1117
"2007-2011",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",1010
"2007-2011",2,"Eixample",9,"la Nova Esquerra de l'Eixample",1345
"2007-2011",2,"Eixample",10,"Sant Antoni",967
"2007-2011",3,"Sants-Montjuïc",11,"el Poble Sec",932
"2007-2011",3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",105
"2007-2011",3,"Sants-Montjuïc",13,"la Marina de Port",570
"2007-2011",3,"Sants-Montjuïc",14,"la Font de la Guatlla",237
"2007-2011",3,"Sants-Montjuïc",15,"Hostafrancs",380
"2007-2011",3,"Sants-Montjuïc",16,"la Bordeta",361
"2007-2011",3,"Sants-Montjuïc",17,"Sants - Badal",466
"2007-2011",3,"Sants-Montjuïc",18,"Sants",950
"2007-2011",4,"Les Corts",19,"les Corts",1059
"2007-2011",4,"Les Corts",20,"la Maternitat i Sant Ramon",488
"2007-2011",4,"Les Corts",21,"Pedralbes",237
"2007-2011",5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",93
"2007-2011",5,"Sarrià-Sant Gervasi",23,"Sarrià",499
"2007-2011",5,"Sarrià-Sant Gervasi",24,"les Tres Torres",274
"2007-2011",5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",544
"2007-2011",5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",1044
"2007-2011",5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",553
"2007-2011",6,"Gràcia",28,"Vallcarca i els Penitents",339
"2007-2011",6,"Gràcia",29,"el Coll",153
"2007-2011",6,"Gràcia",30,"la Salut",323
"2007-2011",6,"Gràcia",31,"la Vila de Gràcia",1185
"2007-2011",6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",809
"2007-2011",7,"Horta-Guinardó",33,"el Baix Guinardó",608
"2007-2011",7,"Horta-Guinardó",34,"Can Baró",214
"2007-2011",7,"Horta-Guinardó",35,"el Guinardó",856
"2007-2011",7,"Horta-Guinardó",36,"la Font d'en Fargues",213
"2007-2011",7,"Horta-Guinardó",37,"el Carmel",702
"2007-2011",7,"Horta-Guinardó",38,"la Teixonera",251
"2007-2011",7,"Horta-Guinardó",39,"Sant Genís dels Agudells",171
"2007-2011",7,"Horta-Guinardó",40,"Montbau",232
"2007-2011",7,"Horta-Guinardó",41,"la Vall d'Hebron",109
"2007-2011",7,"Horta-Guinardó",42,"la Clota",16
"2007-2011",7,"Horta-Guinardó",43,"Horta",727
"2007-2011",8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",675
"2007-2011",8,"Nou Barris",45,"Porta",622
"2007-2011",8,"Nou Barris",46,"el Turó de la Peira",510
"2007-2011",8,"Nou Barris",47,"Can Peguera",85
"2007-2011",8,"Nou Barris",48,"la Guineueta",430
"2007-2011",8,"Nou Barris",49,"Canyelles",155
"2007-2011",8,"Nou Barris",50,"les Roquetes",384
"2007-2011",8,"Nou Barris",51,"Verdun",327
"2007-2011",8,"Nou Barris",52,"la Prosperitat",626
"2007-2011",8,"Nou Barris",53,"la Trinitat Nova",230
"2007-2011",8,"Nou Barris",54,"Torre Baró",73
"2007-2011",8,"Nou Barris",55,"Ciutat Meridiana",188
"2007-2011",8,"Nou Barris",56,"Vallbona",29
"2007-2011",9,"Sant Andreu",57,"la Trinitat Vella",163
"2007-2011",9,"Sant Andreu",58,"Baró de Viver",70
"2007-2011",9,"Sant Andreu",59,"el Bon Pastor",262
"2007-2011",9,"Sant Andreu",60,"Sant Andreu",1161
"2007-2011",9,"Sant Andreu",61,"la Sagrera",569
"2007-2011",9,"Sant Andreu",62,"el Congrés i els Indians",418
"2007-2011",9,"Sant Andreu",63,"Navas",493
"2007-2011",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",859
"2007-2011",10,"Sant Martí",65,"el Clot",509
