"Anys_Periode","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Nombre"
"2006-2010",1,"Ciutat Vella",1,"el Raval",763
"2006-2010",1,"Ciutat Vella",2,"el Barri Gòtic",344
"2006-2010",1,"Ciutat Vella",3,"la Barceloneta",378
"2006-2010",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",438
"2006-2010",2,"Eixample",5,"el Fort Pienc",660
"2006-2010",2,"Eixample",6,"la Sagrada Família",1242
"2006-2010",2,"Eixample",7,"la Dreta de l'Eixample",1443
"2006-2010",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",1068
"2006-2010",2,"Eixample",9,"la Nova Esquerra de l'Eixample",1175
"2006-2010",2,"Eixample",10,"Sant Antoni",909
"2006-2010",3,"Sants-Montjuïc",11,"el Poble Sec",784
"2006-2010",3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",92
"2006-2010",3,"Sants-Montjuïc",13,"la Marina de Port",410
"2006-2010",3,"Sants-Montjuïc",14,"la Font de la Guatlla",192
"2006-2010",3,"Sants-Montjuïc",15,"Hostafrancs",327
"2006-2010",3,"Sants-Montjuïc",16,"la Bordeta",328
"2006-2010",3,"Sants-Montjuïc",17,"Sants - Badal",444
"2006-2010",3,"Sants-Montjuïc",18,"Sants",826
"2006-2010",4,"Les Corts",19,"les Corts",880
"2006-2010",4,"Les Corts",20,"la Maternitat i Sant Ramon",393
"2006-2010",4,"Les Corts",21,"Pedralbes",212
"2006-2010",5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",114
"2006-2010",5,"Sarrià-Sant Gervasi",23,"Sarrià",453
"2006-2010",5,"Sarrià-Sant Gervasi",24,"les Tres Torres",249
"2006-2010",5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",573
"2006-2010",5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",1068
"2006-2010",5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",538
"2006-2010",6,"Gràcia",28,"Vallcarca i els Penitents",358
"2006-2010",6,"Gràcia",29,"el Coll",100
"2006-2010",6,"Gràcia",30,"la Salut",343
"2006-2010",6,"Gràcia",31,"la Vila de Gràcia",1340
"2006-2010",6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",691
"2006-2010",7,"Horta-Guinardó",33,"el Baix Guinardó",532
"2006-2010",7,"Horta-Guinardó",34,"Can Baró",187
"2006-2010",7,"Horta-Guinardó",35,"el Guinardó",677
"2006-2010",7,"Horta-Guinardó",36,"la Font d'en Fargues",210
"2006-2010",7,"Horta-Guinardó",37,"el Carmel",482
"2006-2010",7,"Horta-Guinardó",38,"la Teixonera",201
"2006-2010",7,"Horta-Guinardó",39,"Sant Genís dels Agudells",146
"2006-2010",7,"Horta-Guinardó",40,"Montbau",251
"2006-2010",7,"Horta-Guinardó",41,"la Vall d'Hebron",97
"2006-2010",7,"Horta-Guinardó",42,"la Clota",8
"2006-2010",7,"Horta-Guinardó",43,"Horta",629
"2006-2010",8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",499
"2006-2010",8,"Nou Barris",45,"Porta",460
"2006-2010",8,"Nou Barris",46,"el Turó de la Peira",322
"2006-2010",8,"Nou Barris",47,"Can Peguera",60
"2006-2010",8,"Nou Barris",48,"la Guineueta",305
"2006-2010",8,"Nou Barris",49,"Canyelles",104
"2006-2010",8,"Nou Barris",50,"les Roquetes",213
"2006-2010",8,"Nou Barris",51,"Verdun",234
"2006-2010",8,"Nou Barris",52,"la Prosperitat",394
"2006-2010",8,"Nou Barris",53,"la Trinitat Nova",202
"2006-2010",8,"Nou Barris",54,"Torre Baró",35
"2006-2010",8,"Nou Barris",55,"Ciutat Meridiana",117
"2006-2010",8,"Nou Barris",56,"Vallbona",31
"2006-2010",9,"Sant Andreu",57,"la Trinitat Vella",117
"2006-2010",9,"Sant Andreu",58,"Baró de Viver",56
"2006-2010",9,"Sant Andreu",59,"el Bon Pastor",191
"2006-2010",9,"Sant Andreu",60,"Sant Andreu",933
"2006-2010",9,"Sant Andreu",61,"la Sagrera",459
"2006-2010",9,"Sant Andreu",62,"el Congrés i els Indians",324
"2006-2010",9,"Sant Andreu",63,"Navas",380
"2006-2010",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",737
"2006-2010",10,"Sant Martí",65,"el Clot",422
"2006-2010",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",235
"2006-2010",10,"Sant Martí",67,"la Vila Olímpica del Poblenou",65
"2006-2010",10,"Sant Martí",68,"el Poblenou",591
"2006-2010",10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",129
"2006-2010",10,"Sant Martí",70,"el Besòs i el Maresme",390
"2006-2010",10,"Sant Martí",71,"Provençals del Poblenou",298
"2006-2010",10,"Sant Martí",72,"Sant Martí de Provençals",536
"2006-2010",10,"Sant Martí",73,"la Verneda i la Pau",580
"2006-2010",99,"No consta",99,"No consta",8407
"2007-2011",1,"Ciutat Vella",1,"el Raval",928
"2007-2011",1,"Ciutat Vella",2,"el Barri Gòtic",443
"2007-2011",1,"Ciutat Vella",3,"la Barceloneta",459
"2007-2011",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",530
"2007-2011",2,"Eixample",5,"el Fort Pienc",823
