"Anys_Periode","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Nombre"
"2003-2007",1,"Ciutat Vella",1,"el Raval",508
"2003-2007",1,"Ciutat Vella",2,"el Barri Gòtic",206
"2003-2007",1,"Ciutat Vella",3,"la Barceloneta",130
"2003-2007",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",286
"2003-2007",2,"Eixample",5,"el Fort Pienc",390
"2003-2007",2,"Eixample",6,"la Sagrada Família",657
"2003-2007",2,"Eixample",7,"la Dreta de l'Eixample",640
"2003-2007",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",649
"2003-2007",2,"Eixample",9,"la Nova Esquerra de l'Eixample",813
"2003-2007",2,"Eixample",10,"Sant Antoni",502
"2003-2007",3,"Sants-Montjuïc",11,"el Poble Sec",427
"2003-2007",3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",17
"2003-2007",3,"Sants-Montjuïc",13,"la Marina de Port",329
"2003-2007",3,"Sants-Montjuïc",14,"la Font de la Guatlla",116
"2003-2007",3,"Sants-Montjuïc",15,"Hostafrancs",185
"2003-2007",3,"Sants-Montjuïc",16,"la Bordeta",220
"2003-2007",3,"Sants-Montjuïc",17,"Sants - Badal",231
"2003-2007",3,"Sants-Montjuïc",18,"Sants",503
"2003-2007",4,"Les Corts",19,"les Corts",563
"2003-2007",4,"Les Corts",20,"la Maternitat i Sant Ramon",247
"2003-2007",4,"Les Corts",21,"Pedralbes",137
"2003-2007",5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",79
"2003-2007",5,"Sarrià-Sant Gervasi",23,"Sarrià",393
"2003-2007",5,"Sarrià-Sant Gervasi",24,"les Tres Torres",325
"2003-2007",5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",398
"2003-2007",5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",826
"2003-2007",5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",463
"2003-2007",6,"Gràcia",28,"Vallcarca i els Penitents",224
"2003-2007",6,"Gràcia",29,"el Coll",103
"2003-2007",6,"Gràcia",30,"la Salut",195
"2003-2007",6,"Gràcia",31,"la Vila de Gràcia",732
"2003-2007",6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",504
"2003-2007",7,"Horta-Guinardó",33,"el Baix Guinardó",282
"2003-2007",7,"Horta-Guinardó",34,"Can Baró",108
"2003-2007",7,"Horta-Guinardó",35,"el Guinardó",467
"2003-2007",7,"Horta-Guinardó",36,"la Font d'en Fargues",134
"2003-2007",7,"Horta-Guinardó",37,"el Carmel",299
"2003-2007",7,"Horta-Guinardó",38,"la Teixonera",110
"2003-2007",7,"Horta-Guinardó",39,"Sant Genís dels Agudells",60
"2003-2007",7,"Horta-Guinardó",40,"Montbau",77
"2003-2007",7,"Horta-Guinardó",41,"la Vall d'Hebron",89
"2003-2007",7,"Horta-Guinardó",42,"la Clota",7
"2003-2007",7,"Horta-Guinardó",43,"Horta",317
"2003-2007",8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",312
"2003-2007",8,"Nou Barris",45,"Porta",224
"2003-2007",8,"Nou Barris",46,"el Turó de la Peira",134
"2003-2007",8,"Nou Barris",47,"Can Peguera",13
"2003-2007",8,"Nou Barris",48,"la Guineueta",168
"2003-2007",8,"Nou Barris",49,"Canyelles",66
"2003-2007",8,"Nou Barris",50,"les Roquetes",129
"2003-2007",8,"Nou Barris",51,"Verdun",108
"2003-2007",8,"Nou Barris",52,"la Prosperitat",228
"2003-2007",8,"Nou Barris",53,"la Trinitat Nova",76
"2003-2007",8,"Nou Barris",54,"Torre Baró",13
"2003-2007",8,"Nou Barris",55,"Ciutat Meridiana",84
"2003-2007",8,"Nou Barris",56,"Vallbona",13
"2003-2007",9,"Sant Andreu",57,"la Trinitat Vella",106
"2003-2007",9,"Sant Andreu",58,"Baró de Viver",19
"2003-2007",9,"Sant Andreu",59,"el Bon Pastor",140
"2003-2007",9,"Sant Andreu",60,"Sant Andreu",688
"2003-2007",9,"Sant Andreu",61,"la Sagrera",283
"2003-2007",9,"Sant Andreu",62,"el Congrés i els Indians",138
"2003-2007",9,"Sant Andreu",63,"Navas",269
"2003-2007",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",448
"2003-2007",10,"Sant Martí",65,"el Clot",409
"2003-2007",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",174
"2003-2007",10,"Sant Martí",67,"la Vila Olímpica del Poblenou",237
"2003-2007",10,"Sant Martí",68,"el Poblenou",562
"2003-2007",10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",230
"2003-2007",10,"Sant Martí",70,"el Besòs i el Maresme",178
"2003-2007",10,"Sant Martí",71,"Provençals del Poblenou",220
"2003-2007",10,"Sant Martí",72,"Sant Martí de Provençals",282
"2003-2007",10,"Sant Martí",73,"la Verneda i la Pau",246
"2003-2007",99,"No consta",99,"No consta",2661
"2004-2008",1,"Ciutat Vella",1,"el Raval",558
"2004-2008",1,"Ciutat Vella",2,"el Barri Gòtic",201
"2004-2008",1,"Ciutat Vella",3,"la Barceloneta",143
"2004-2008",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",311
"2004-2008",2,"Eixample",5,"el Fort Pienc",410
"2004-2008",2,"Eixample",6,"la Sagrada Família",684
"2004-2008",2,"Eixample",7,"la Dreta de l'Eixample",672
"2004-2008",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",666
"2004-2008",2,"Eixample",9,"la Nova Esquerra de l'Eixample",822
"2004-2008",2,"Eixample",10,"Sant Antoni",486
"2004-2008",3,"Sants-Montjuïc",11,"el Poble Sec",455
"2004-2008",3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",11
"2004-2008",3,"Sants-Montjuïc",13,"la Marina de Port",372
"2004-2008",3,"Sants-Montjuïc",14,"la Font de la Guatlla",119
"2004-2008",3,"Sants-Montjuïc",15,"Hostafrancs",175
"2004-2008",3,"Sants-Montjuïc",16,"la Bordeta",231
"2004-2008",3,"Sants-Montjuïc",17,"Sants - Badal",251
"2004-2008",3,"Sants-Montjuïc",18,"Sants",526
"2004-2008",4,"Les Corts",19,"les Corts",591
"2004-2008",4,"Les Corts",20,"la Maternitat i Sant Ramon",258
"2004-2008",4,"Les Corts",21,"Pedralbes",148
"2004-2008",5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",85
"2004-2008",5,"Sarrià-Sant Gervasi",23,"Sarrià",392
"2004-2008",5,"Sarrià-Sant Gervasi",24,"les Tres Torres",325
"2004-2008",5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",413
"2004-2008",5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",856
"2004-2008",5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",460
"2004-2008",6,"Gràcia",28,"Vallcarca i els Penitents",246
"2004-2008",6,"Gràcia",29,"el Coll",112
"2004-2008",6,"Gràcia",30,"la Salut",214
"2004-2008",6,"Gràcia",31,"la Vila de Gràcia",791
"2004-2008",6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",532
"2004-2008",7,"Horta-Guinardó",33,"el Baix Guinardó",286
"2004-2008",7,"Horta-Guinardó",34,"Can Baró",129
