"﻿""Any""","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Lloc_de_destinacio","Nombre"
2019,1,"Ciutat Vella",1,"el Raval","Andalusia",69
2019,1,"Ciutat Vella",2,"el Barri Gòtic","Andalusia",61
2019,1,"Ciutat Vella",3,"la Barceloneta","Andalusia",41
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Andalusia",37
2019,2,"Eixample",5,"el Fort Pienc","Andalusia",64
2019,2,"Eixample",6,"la Sagrada Família","Andalusia",81
2019,2,"Eixample",7,"la Dreta de l'Eixample","Andalusia",56
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Andalusia",68
2019,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Andalusia",52
2019,2,"Eixample",10,"Sant Antoni","Andalusia",59
2019,3,"Sants-Montjuïc",11,"el Poble Sec","Andalusia",63
2019,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Andalusia",0
2019,3,"Sants-Montjuïc",13,"la Marina de Port","Andalusia",35
2019,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Andalusia",14
2019,3,"Sants-Montjuïc",15,"Hostafrancs","Andalusia",22
2019,3,"Sants-Montjuïc",16,"la Bordeta","Andalusia",24
2019,3,"Sants-Montjuïc",17,"Sants - Badal","Andalusia",26
2019,3,"Sants-Montjuïc",18,"Sants","Andalusia",76
2019,4,"Les Corts",19,"les Corts","Andalusia",53
2019,4,"Les Corts",20,"la Maternitat i Sant Ramon","Andalusia",30
2019,4,"Les Corts",21,"Pedralbes","Andalusia",21
2019,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Andalusia",3
2019,5,"Sarrià-Sant Gervasi",23,"Sarrià","Andalusia",25
2019,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Andalusia",6
2019,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Andalusia",15
2019,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Andalusia",27
2019,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Andalusia",22
2019,6,"Gràcia",28,"Vallcarca i els Penitents","Andalusia",18
2019,6,"Gràcia",29,"el Coll","Andalusia",15
2019,6,"Gràcia",30,"la Salut","Andalusia",16
2019,6,"Gràcia",31,"la Vila de Gràcia","Andalusia",60
2019,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Andalusia",30
2019,7,"Horta-Guinardó",33,"el Baix Guinardó","Andalusia",29
2019,7,"Horta-Guinardó",34,"Can Baró","Andalusia",12
2019,7,"Horta-Guinardó",35,"el Guinardó","Andalusia",31
2019,7,"Horta-Guinardó",36,"la Font d'en Fargues","Andalusia",9
2019,7,"Horta-Guinardó",37,"el Carmel","Andalusia",54
2019,7,"Horta-Guinardó",38,"la Teixonera","Andalusia",12
2019,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Andalusia",11
2019,7,"Horta-Guinardó",40,"Montbau","Andalusia",5
2019,7,"Horta-Guinardó",41,"la Vall d'Hebron","Andalusia",11
2019,7,"Horta-Guinardó",42,"la Clota","Andalusia",4
2019,7,"Horta-Guinardó",43,"Horta","Andalusia",44
2019,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Andalusia",22
2019,8,"Nou Barris",45,"Porta","Andalusia",28
2019,8,"Nou Barris",46,"el Turó de la Peira","Andalusia",25
2019,8,"Nou Barris",47,"Can Peguera","Andalusia",4
2019,8,"Nou Barris",48,"la Guineueta","Andalusia",22
2019,8,"Nou Barris",49,"Canyelles","Andalusia",14
2019,8,"Nou Barris",50,"les Roquetes","Andalusia",18
2019,8,"Nou Barris",51,"Verdun","Andalusia",31
2019,8,"Nou Barris",52,"la Prosperitat","Andalusia",23
2019,8,"Nou Barris",53,"la Trinitat Nova","Andalusia",4
2019,8,"Nou Barris",54,"Torre Baró","Andalusia",1
2019,8,"Nou Barris",55,"Ciutat Meridiana","Andalusia",12
2019,8,"Nou Barris",56,"Vallbona","Andalusia",1
2019,9,"Sant Andreu",57,"la Trinitat Vella","Andalusia",16
2019,9,"Sant Andreu",58,"Baró de Viver","Andalusia",3
2019,9,"Sant Andreu",59,"el Bon Pastor","Andalusia",14
2019,9,"Sant Andreu",60,"Sant Andreu","Andalusia",57
2019,9,"Sant Andreu",61,"la Sagrera","Andalusia",35
2019,9,"Sant Andreu",62,"el Congrés i els Indians","Andalusia",15
2019,9,"Sant Andreu",63,"Navas","Andalusia",19
2019,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Andalusia",42
2019,10,"Sant Martí",65,"el Clot","Andalusia",34
2019,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Andalusia",25
2019,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Andalusia",2
2019,10,"Sant Martí",68,"el Poblenou","Andalusia",43
2019,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Andalusia",19
2019,10,"Sant Martí",70,"el Besòs i el Maresme","Andalusia",36
2019,10,"Sant Martí",71,"Provençals del Poblenou","Andalusia",24
2019,10,"Sant Martí",72,"Sant Martí de Provençals","Andalusia",32
2019,10,"Sant Martí",73,"la Verneda i la Pau","Andalusia",39
2019,1,"Ciutat Vella",1,"el Raval","Aragó",31
2019,1,"Ciutat Vella",2,"el Barri Gòtic","Aragó",28
2019,1,"Ciutat Vella",3,"la Barceloneta","Aragó",15
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Aragó",13
2019,2,"Eixample",5,"el Fort Pienc","Aragó",18
2019,2,"Eixample",6,"la Sagrada Família","Aragó",20
2019,2,"Eixample",7,"la Dreta de l'Eixample","Aragó",25
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Aragó",27
2019,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Aragó",28
2019,2,"Eixample",10,"Sant Antoni","Aragó",22
2019,3,"Sants-Montjuïc",11,"el Poble Sec","Aragó",24
2019,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Aragó",1
2019,3,"Sants-Montjuïc",13,"la Marina de Port","Aragó",13
2019,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Aragó",9
2019,3,"Sants-Montjuïc",15,"Hostafrancs","Aragó",17
2019,3,"Sants-Montjuïc",16,"la Bordeta","Aragó",11
2019,3,"Sants-Montjuïc",17,"Sants - Badal","Aragó",21
2019,3,"Sants-Montjuïc",18,"Sants","Aragó",49
2019,4,"Les Corts",19,"les Corts","Aragó",21
2019,4,"Les Corts",20,"la Maternitat i Sant Ramon","Aragó",4
2019,4,"Les Corts",21,"Pedralbes","Aragó",10
2019,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Aragó",2
2019,5,"Sarrià-Sant Gervasi",23,"Sarrià","Aragó",11
2019,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Aragó",5
2019,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Aragó",9
2019,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Aragó",14
2019,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Aragó",12
2019,6,"Gràcia",28,"Vallcarca i els Penitents","Aragó",4
2019,6,"Gràcia",29,"el Coll","Aragó",4
2019,6,"Gràcia",30,"la Salut","Aragó",8
2019,6,"Gràcia",31,"la Vila de Gràcia","Aragó",31
2019,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Aragó",17
2019,7,"Horta-Guinardó",33,"el Baix Guinardó","Aragó",8
2019,7,"Horta-Guinardó",34,"Can Baró","Aragó",5
2019,7,"Horta-Guinardó",35,"el Guinardó","Aragó",14
2019,7,"Horta-Guinardó",36,"la Font d'en Fargues","Aragó",3
2019,7,"Horta-Guinardó",37,"el Carmel","Aragó",24
2019,7,"Horta-Guinardó",38,"la Teixonera","Aragó",4
2019,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Aragó",2
2019,7,"Horta-Guinardó",40,"Montbau","Aragó",5
2019,7,"Horta-Guinardó",41,"la Vall d'Hebron","Aragó",5
2019,7,"Horta-Guinardó",42,"la Clota","Aragó",0
2019,7,"Horta-Guinardó",43,"Horta","Aragó",23
2019,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Aragó",5
2019,8,"Nou Barris",45,"Porta","Aragó",19
2019,8,"Nou Barris",46,"el Turó de la Peira","Aragó",7
2019,8,"Nou Barris",47,"Can Peguera","Aragó",0
2019,8,"Nou Barris",48,"la Guineueta","Aragó",9
2019,8,"Nou Barris",49,"Canyelles","Aragó",0
2019,8,"Nou Barris",50,"les Roquetes","Aragó",11
2019,8,"Nou Barris",51,"Verdun","Aragó",4
2019,8,"Nou Barris",52,"la Prosperitat","Aragó",8
2019,8,"Nou Barris",53,"la Trinitat Nova","Aragó",4
2019,8,"Nou Barris",54,"Torre Baró","Aragó",1
2019,8,"Nou Barris",55,"Ciutat Meridiana","Aragó",6
