"﻿""Any""","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Nacionalitats","Nombre"
2019,1,"Ciutat Vella",1,"el Raval","Espanyola",919
2019,1,"Ciutat Vella",2,"el Barri Gòtic","Espanyola",428
2019,1,"Ciutat Vella",3,"la Barceloneta","Espanyola",395
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Espanyola",598
2019,2,"Eixample",5,"el Fort Pienc","Espanyola",695
2019,2,"Eixample",6,"la Sagrada Família","Espanyola",1214
2019,2,"Eixample",7,"la Dreta de l'Eixample","Espanyola",1063
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Espanyola",1111
2019,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Espanyola",1569
2019,2,"Eixample",10,"Sant Antoni","Espanyola",1020
2019,3,"Sants-Montjuïc",11,"el Poble Sec","Espanyola",1028
2019,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Espanyola",34
2019,3,"Sants-Montjuïc",13,"la Marina de Port","Espanyola",703
2019,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Espanyola",286
2019,3,"Sants-Montjuïc",15,"Hostafrancs","Espanyola",475
2019,3,"Sants-Montjuïc",16,"la Bordeta","Espanyola",555
2019,3,"Sants-Montjuïc",17,"Sants - Badal","Espanyola",730
2019,3,"Sants-Montjuïc",18,"Sants","Espanyola",1225
2019,4,"Les Corts",19,"les Corts","Espanyola",1123
2019,4,"Les Corts",20,"la Maternitat i Sant Ramon","Espanyola",753
2019,4,"Les Corts",21,"Pedralbes","Espanyola",340
2019,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Espanyola",164
2019,5,"Sarrià-Sant Gervasi",23,"Sarrià","Espanyola",609
2019,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Espanyola",422
2019,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Espanyola",629
2019,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Espanyola",1126
2019,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Espanyola",745
2019,6,"Gràcia",28,"Vallcarca i els Penitents","Espanyola",367
2019,6,"Gràcia",29,"el Coll","Espanyola",188
2019,6,"Gràcia",30,"la Salut","Espanyola",303
2019,6,"Gràcia",31,"la Vila de Gràcia","Espanyola",1255
2019,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Espanyola",685
2019,7,"Horta-Guinardó",33,"el Baix Guinardó","Espanyola",552
2019,7,"Horta-Guinardó",34,"Can Baró","Espanyola",248
2019,7,"Horta-Guinardó",35,"el Guinardó","Espanyola",794
2019,7,"Horta-Guinardó",36,"la Font d'en Fargues","Espanyola",212
