"﻿""Any""","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Nombre"
2019,1,"Ciutat Vella",1,"el Raval","Dones",166
2019,1,"Ciutat Vella",2,"el Barri Gòtic","Dones",48
2019,1,"Ciutat Vella",3,"la Barceloneta","Dones",24
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dones",63
2019,2,"Eixample",5,"el Fort Pienc","Dones",78
2019,2,"Eixample",6,"la Sagrada Família","Dones",144
2019,2,"Eixample",7,"la Dreta de l'Eixample","Dones",76
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dones",77
2019,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Dones",128
2019,2,"Eixample",10,"Sant Antoni","Dones",101
2019,3,"Sants-Montjuïc",11,"el Poble Sec","Dones",130
2019,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Dones",2
2019,3,"Sants-Montjuïc",13,"la Marina de Port","Dones",64
2019,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Dones",30
2019,3,"Sants-Montjuïc",15,"Hostafrancs","Dones",47
2019,3,"Sants-Montjuïc",16,"la Bordeta","Dones",47
2019,3,"Sants-Montjuïc",17,"Sants - Badal","Dones",82
2019,3,"Sants-Montjuïc",18,"Sants","Dones",100
2019,4,"Les Corts",19,"les Corts","Dones",70
2019,4,"Les Corts",20,"la Maternitat i Sant Ramon","Dones",44
2019,4,"Les Corts",21,"Pedralbes","Dones",21
2019,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Dones",8
2019,5,"Sarrià-Sant Gervasi",23,"Sarrià","Dones",35
2019,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Dones",15
2019,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Dones",37
2019,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Dones",77
2019,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Dones",47
2019,6,"Gràcia",28,"Vallcarca i els Penitents","Dones",24
2019,6,"Gràcia",29,"el Coll","Dones",15
