"﻿""Any""","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Moviment","Sexe","Edat_mitjana"
2019,1,"Ciutat Vella",1,"el Raval","Alta","Dona",31.2
2019,1,"Ciutat Vella",2,"el Barri Gòtic","Alta","Dona",32.9
2019,1,"Ciutat Vella",3,"la Barceloneta","Alta","Dona",34.2
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Alta","Dona",33.0
2019,2,"Eixample",5,"el Fort Pienc","Alta","Dona",34.8
2019,2,"Eixample",6,"la Sagrada Família","Alta","Dona",35.2
2019,2,"Eixample",7,"la Dreta de l'Eixample","Alta","Dona",37.0
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Alta","Dona",35.8
2019,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Alta","Dona",34.2
2019,2,"Eixample",10,"Sant Antoni","Alta","Dona",34.2
2019,3,"Sants-Montjuïc",11,"el Poble Sec","Alta","Dona",33.1
2019,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Alta","Dona",41.3
2019,3,"Sants-Montjuïc",13,"la Marina de Port","Alta","Dona",34.6
2019,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Alta","Dona",37.5
2019,3,"Sants-Montjuïc",15,"Hostafrancs","Alta","Dona",34.5
2019,3,"Sants-Montjuïc",16,"la Bordeta","Alta","Dona",37.8
2019,3,"Sants-Montjuïc",17,"Sants - Badal","Alta","Dona",33.6
2019,3,"Sants-Montjuïc",18,"Sants","Alta","Dona",34.1
2019,4,"Les Corts",19,"les Corts","Alta","Dona",34.5
2019,4,"Les Corts",20,"la Maternitat i Sant Ramon","Alta","Dona",34.5
2019,4,"Les Corts",21,"Pedralbes","Alta","Dona",35.2
2019,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Alta","Dona",35.1
2019,5,"Sarrià-Sant Gervasi",23,"Sarrià","Alta","Dona",37.8
2019,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Alta","Dona",34.4
2019,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Alta","Dona",36.3
2019,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Alta","Dona",35.5
2019,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Alta","Dona",34.3
2019,6,"Gràcia",28,"Vallcarca i els Penitents","Alta","Dona",36.1
2019,6,"Gràcia",29,"el Coll","Alta","Dona",34.4
2019,6,"Gràcia",30,"la Salut","Alta","Dona",36.4
2019,6,"Gràcia",31,"la Vila de Gràcia","Alta","Dona",34.6
2019,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Alta","Dona",34.5
2019,7,"Horta-Guinardó",33,"el Baix Guinardó","Alta","Dona",39.7
2019,7,"Horta-Guinardó",34,"Can Baró","Alta","Dona",34.5
2019,7,"Horta-Guinardó",35,"el Guinardó","Alta","Dona",34.5
2019,7,"Horta-Guinardó",36,"la Font d'en Fargues","Alta","Dona",35.2
2019,7,"Horta-Guinardó",37,"el Carmel","Alta","Dona",33.0
2019,7,"Horta-Guinardó",38,"la Teixonera","Alta","Dona",34.6
2019,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Alta","Dona",35.8
2019,7,"Horta-Guinardó",40,"Montbau","Alta","Dona",41.1
2019,7,"Horta-Guinardó",41,"la Vall d'Hebron","Alta","Dona",45.9
2019,7,"Horta-Guinardó",42,"la Clota","Alta","Dona",40.3
2019,7,"Horta-Guinardó",43,"Horta","Alta","Dona",36.0
2019,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Alta","Dona",34.7
2019,8,"Nou Barris",45,"Porta","Alta","Dona",34.3
2019,8,"Nou Barris",46,"el Turó de la Peira","Alta","Dona",32.3
2019,8,"Nou Barris",47,"Can Peguera","Alta","Dona",40.4
2019,8,"Nou Barris",48,"la Guineueta","Alta","Dona",34.6
2019,8,"Nou Barris",49,"Canyelles","Alta","Dona",37.0
2019,8,"Nou Barris",50,"les Roquetes","Alta","Dona",30.4
2019,8,"Nou Barris",51,"Verdun","Alta","Dona",32.9
