"﻿""Any""","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Sexe","Nombre"
2020,1,"Ciutat Vella",1,"el Raval","Cap dona",4471
2020,1,"Ciutat Vella",2,"el Barri Gòtic","Cap dona",1713
2020,1,"Ciutat Vella",3,"la Barceloneta","Cap dona",1616
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Cap dona",2494
2020,2,"Eixample",5,"el Fort Pienc","Cap dona",1892
2020,2,"Eixample",6,"la Sagrada Família","Cap dona",3223
2020,2,"Eixample",7,"la Dreta de l'Eixample","Cap dona",3244
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Cap dona",3239
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Cap dona",3944
2020,2,"Eixample",10,"Sant Antoni","Cap dona",2826
2020,3,"Sants-Montjuïc",11,"el Poble Sec","Cap dona",2947
2020,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Cap dona",118
2020,3,"Sants-Montjuïc",13,"la Marina de Port","Cap dona",1674
2020,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Cap dona",677
2020,3,"Sants-Montjuïc",15,"Hostafrancs","Cap dona",1088
2020,3,"Sants-Montjuïc",16,"la Bordeta","Cap dona",1049
2020,3,"Sants-Montjuïc",17,"Sants - Badal","Cap dona",1364
2020,3,"Sants-Montjuïc",18,"Sants","Cap dona",2625
2020,4,"Les Corts",19,"les Corts","Cap dona",2436
2020,4,"Les Corts",20,"la Maternitat i Sant Ramon","Cap dona",1194
2020,4,"Les Corts",21,"Pedralbes","Cap dona",493
2020,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Cap dona",218
2020,5,"Sarrià-Sant Gervasi",23,"Sarrià","Cap dona",1096
2020,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Cap dona",597
2020,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Cap dona",1172
2020,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Cap dona",2433
2020,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Cap dona",1691
2020,6,"Gràcia",28,"Vallcarca i els Penitents","Cap dona",985
2020,6,"Gràcia",29,"el Coll","Cap dona",453
2020,6,"Gràcia",30,"la Salut","Cap dona",751
2020,6,"Gràcia",31,"la Vila de Gràcia","Cap dona",4001
2020,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Cap dona",2061
2020,7,"Horta-Guinardó",33,"el Baix Guinardó","Cap dona",1474
2020,7,"Horta-Guinardó",34,"Can Baró","Cap dona",584
2020,7,"Horta-Guinardó",35,"el Guinardó","Cap dona",2264
2020,7,"Horta-Guinardó",36,"la Font d'en Fargues","Cap dona",472
2020,7,"Horta-Guinardó",37,"el Carmel","Cap dona",1690
2020,7,"Horta-Guinardó",38,"la Teixonera","Cap dona",680
2020,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Cap dona",401
2020,7,"Horta-Guinardó",40,"Montbau","Cap dona",335
2020,7,"Horta-Guinardó",41,"la Vall d'Hebron","Cap dona",280
2020,7,"Horta-Guinardó",42,"la Clota","Cap dona",46
2020,7,"Horta-Guinardó",43,"Horta","Cap dona",1305
2020,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Cap dona",1254
2020,8,"Nou Barris",45,"Porta","Cap dona",1292
2020,8,"Nou Barris",46,"el Turó de la Peira","Cap dona",895
2020,8,"Nou Barris",47,"Can Peguera","Cap dona",139
2020,8,"Nou Barris",48,"la Guineueta","Cap dona",699
2020,8,"Nou Barris",49,"Canyelles","Cap dona",295
2020,8,"Nou Barris",50,"les Roquetes","Cap dona",807
2020,8,"Nou Barris",51,"Verdun","Cap dona",727
2020,8,"Nou Barris",52,"la Prosperitat","Cap dona",1371
2020,8,"Nou Barris",53,"la Trinitat Nova","Cap dona",474
2020,8,"Nou Barris",54,"Torre Baró","Cap dona",146
2020,8,"Nou Barris",55,"Ciutat Meridiana","Cap dona",427
2020,8,"Nou Barris",56,"Vallbona","Cap dona",89
2020,9,"Sant Andreu",57,"la Trinitat Vella","Cap dona",538
2020,9,"Sant Andreu",58,"Baró de Viver","Cap dona",170
2020,9,"Sant Andreu",59,"el Bon Pastor","Cap dona",579
2020,9,"Sant Andreu",60,"Sant Andreu","Cap dona",3021
2020,9,"Sant Andreu",61,"la Sagrera","Cap dona",1442
2020,9,"Sant Andreu",62,"el Congrés i els Indians","Cap dona",842
2020,9,"Sant Andreu",63,"Navas","Cap dona",1127
2020,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Cap dona",2454
2020,10,"Sant Martí",65,"el Clot","Cap dona",1428
2020,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Cap dona",1061
2020,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Cap dona",541
2020,10,"Sant Martí",68,"el Poblenou","Cap dona",2139
2020,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Cap dona",842
2020,10,"Sant Martí",70,"el Besòs i el Maresme","Cap dona",1252
2020,10,"Sant Martí",71,"Provençals del Poblenou","Cap dona",1143
2020,10,"Sant Martí",72,"Sant Martí de Provençals","Cap dona",1289
2020,10,"Sant Martí",73,"la Verneda i la Pau","Cap dona",1359
2020,1,"Ciutat Vella",1,"el Raval","1 dona",7598
2020,1,"Ciutat Vella",2,"el Barri Gòtic","1 dona",3153
2020,1,"Ciutat Vella",3,"la Barceloneta","1 dona",3809
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","1 dona",5220
2020,2,"Eixample",5,"el Fort Pienc","1 dona",6828
2020,2,"Eixample",6,"la Sagrada Família","1 dona",12097
2020,2,"Eixample",7,"la Dreta de l'Eixample","1 dona",9642
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","1 dona",9534
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample","1 dona",13375
2020,2,"Eixample",10,"Sant Antoni","1 dona",8771
2020,3,"Sants-Montjuïc",11,"el Poble Sec","1 dona",8259
2020,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","1 dona",235
2020,3,"Sants-Montjuïc",13,"la Marina de Port","1 dona",6304
