"﻿""Any""","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Persones","Nombre"
2020,1,"Ciutat Vella",1,"el Raval","Cap menor de 18 anys",13488
2020,1,"Ciutat Vella",2,"el Barri Gòtic","Cap menor de 18 anys",5730
2020,1,"Ciutat Vella",3,"la Barceloneta","Cap menor de 18 anys",6081
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Cap menor de 18 anys",8618
2020,2,"Eixample",5,"el Fort Pienc","Cap menor de 18 anys",10101
2020,2,"Eixample",6,"la Sagrada Família","Cap menor de 18 anys",17717
2020,2,"Eixample",7,"la Dreta de l'Eixample","Cap menor de 18 anys",14678
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Cap menor de 18 anys",14759
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Cap menor de 18 anys",19984
2020,2,"Eixample",10,"Sant Antoni","Cap menor de 18 anys",13190
2020,3,"Sants-Montjuïc",11,"el Poble Sec","Cap menor de 18 anys",12618
2020,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Cap menor de 18 anys",378
2020,3,"Sants-Montjuïc",13,"la Marina de Port","Cap menor de 18 anys",8832
2020,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Cap menor de 18 anys",3447
2020,3,"Sants-Montjuïc",15,"Hostafrancs","Cap menor de 18 anys",5335
2020,3,"Sants-Montjuïc",16,"la Bordeta","Cap menor de 18 anys",6051
2020,3,"Sants-Montjuïc",17,"Sants - Badal","Cap menor de 18 anys",7912
2020,3,"Sants-Montjuïc",18,"Sants","Cap menor de 18 anys",13576
2020,4,"Les Corts",19,"les Corts","Cap menor de 18 anys",14938
2020,4,"Les Corts",20,"la Maternitat i Sant Ramon","Cap menor de 18 anys",7521
2020,4,"Les Corts",21,"Pedralbes","Cap menor de 18 anys",2985
2020,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Cap menor de 18 anys",1019
2020,5,"Sarrià-Sant Gervasi",23,"Sarrià","Cap menor de 18 anys",5990
2020,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Cap menor de 18 anys",3823
2020,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Cap menor de 18 anys",6786
2020,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Cap menor de 18 anys",13951
2020,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Cap menor de 18 anys",9309
2020,6,"Gràcia",28,"Vallcarca i els Penitents","Cap menor de 18 anys",4979
2020,6,"Gràcia",29,"el Coll","Cap menor de 18 anys",2407
2020,6,"Gràcia",30,"la Salut","Cap menor de 18 anys",4262
2020,6,"Gràcia",31,"la Vila de Gràcia","Cap menor de 18 anys",18373
2020,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Cap menor de 18 anys",11908
2020,7,"Horta-Guinardó",33,"el Baix Guinardó","Cap menor de 18 anys",8663
2020,7,"Horta-Guinardó",34,"Can Baró","Cap menor de 18 anys",3026
2020,7,"Horta-Guinardó",35,"el Guinardó","Cap menor de 18 anys",11956
2020,7,"Horta-Guinardó",36,"la Font d'en Fargues","Cap menor de 18 anys",2759
2020,7,"Horta-Guinardó",37,"el Carmel","Cap menor de 18 anys",9680
2020,7,"Horta-Guinardó",38,"la Teixonera","Cap menor de 18 anys",3697
2020,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Cap menor de 18 anys",2314
2020,7,"Horta-Guinardó",40,"Montbau","Cap menor de 18 anys",1658
2020,7,"Horta-Guinardó",41,"la Vall d'Hebron","Cap menor de 18 anys",1806
2020,7,"Horta-Guinardó",42,"la Clota","Cap menor de 18 anys",189
2020,7,"Horta-Guinardó",43,"Horta","Cap menor de 18 anys",8118
2020,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Cap menor de 18 anys",8073
2020,8,"Nou Barris",45,"Porta","Cap menor de 18 anys",7849
2020,8,"Nou Barris",46,"el Turó de la Peira","Cap menor de 18 anys",4674
2020,8,"Nou Barris",47,"Can Peguera","Cap menor de 18 anys",722
2020,8,"Nou Barris",48,"la Guineueta","Cap menor de 18 anys",4753
2020,8,"Nou Barris",49,"Canyelles","Cap menor de 18 anys",2196
2020,8,"Nou Barris",50,"les Roquetes","Cap menor de 18 anys",4183
2020,8,"Nou Barris",51,"Verdun","Cap menor de 18 anys",3826
2020,8,"Nou Barris",52,"la Prosperitat","Cap menor de 18 anys",8141
2020,8,"Nou Barris",53,"la Trinitat Nova","Cap menor de 18 anys",2140
2020,8,"Nou Barris",54,"Torre Baró","Cap menor de 18 anys",620
2020,8,"Nou Barris",55,"Ciutat Meridiana","Cap menor de 18 anys",2461
2020,8,"Nou Barris",56,"Vallbona","Cap menor de 18 anys",320
2020,9,"Sant Andreu",57,"la Trinitat Vella","Cap menor de 18 anys",2357
2020,9,"Sant Andreu",58,"Baró de Viver","Cap menor de 18 anys",699
2020,9,"Sant Andreu",59,"el Bon Pastor","Cap menor de 18 anys",2993
2020,9,"Sant Andreu",60,"Sant Andreu","Cap menor de 18 anys",17875
2020,9,"Sant Andreu",61,"la Sagrera","Cap menor de 18 anys",9135
2020,9,"Sant Andreu",62,"el Congrés i els Indians","Cap menor de 18 anys",4560
2020,9,"Sant Andreu",63,"Navas","Cap menor de 18 anys",6997
2020,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Cap menor de 18 anys",13148
2020,10,"Sant Martí",65,"el Clot","Cap menor de 18 anys",8230
2020,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Cap menor de 18 anys",4963
2020,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Cap menor de 18 anys",2497
2020,10,"Sant Martí",68,"el Poblenou","Cap menor de 18 anys",9764
2020,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Cap menor de 18 anys",3544
2020,10,"Sant Martí",70,"el Besòs i el Maresme","Cap menor de 18 anys",6093
2020,10,"Sant Martí",71,"Provençals del Poblenou","Cap menor de 18 anys",6063
2020,10,"Sant Martí",72,"Sant Martí de Provençals","Cap menor de 18 anys",8177
2020,10,"Sant Martí",73,"la Verneda i la Pau","Cap menor de 18 anys",8800
2020,1,"Ciutat Vella",1,"el Raval","1 menor",1969
2020,1,"Ciutat Vella",2,"el Barri Gòtic","1 menor",516
2020,1,"Ciutat Vella",3,"la Barceloneta","1 menor",561
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","1 menor",931
2020,2,"Eixample",5,"el Fort Pienc","1 menor",1513
2020,2,"Eixample",6,"la Sagrada Família","1 menor",2473
2020,2,"Eixample",7,"la Dreta de l'Eixample","1 menor",2053
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","1 menor",1872
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample","1 menor",2651
2020,2,"Eixample",10,"Sant Antoni","1 menor",1797
2020,3,"Sants-Montjuïc",11,"el Poble Sec","1 menor",1921
2020,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","1 menor",62
2020,3,"Sants-Montjuïc",13,"la Marina de Port","1 menor",1779
2020,3,"Sants-Montjuïc",14,"la Font de la Guatlla","1 menor",496
2020,3,"Sants-Montjuïc",15,"Hostafrancs","1 menor",765
2020,3,"Sants-Montjuïc",16,"la Bordeta","1 menor",1068
2020,3,"Sants-Montjuïc",17,"Sants - Badal","1 menor",1252
2020,3,"Sants-Montjuïc",18,"Sants","1 menor",2124
2020,4,"Les Corts",19,"les Corts","1 menor",2151
2020,4,"Les Corts",20,"la Maternitat i Sant Ramon","1 menor",1126
2020,4,"Les Corts",21,"Pedralbes","1 menor",487
2020,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","1 menor",260
2020,5,"Sarrià-Sant Gervasi",23,"Sarrià","1 menor",1138
2020,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","1 menor",633
2020,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","1 menor",1112
2020,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","1 menor",2208
2020,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","1 menor",1533
2020,6,"Gràcia",28,"Vallcarca i els Penitents","1 menor",829
2020,6,"Gràcia",29,"el Coll","1 menor",420
2020,6,"Gràcia",30,"la Salut","1 menor",635
2020,6,"Gràcia",31,"la Vila de Gràcia","1 menor",2559
2020,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","1 menor",1710
2020,7,"Horta-Guinardó",33,"el Baix Guinardó","1 menor",1252
2020,7,"Horta-Guinardó",34,"Can Baró","1 menor",494
2020,7,"Horta-Guinardó",35,"el Guinardó","1 menor",2069
2020,7,"Horta-Guinardó",36,"la Font d'en Fargues","1 menor",541
2020,7,"Horta-Guinardó",37,"el Carmel","1 menor",1865
2020,7,"Horta-Guinardó",38,"la Teixonera","1 menor",720
2020,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","1 menor",382
2020,7,"Horta-Guinardó",40,"Montbau","1 menor",295
2020,7,"Horta-Guinardó",41,"la Vall d'Hebron","1 menor",317
2020,7,"Horta-Guinardó",42,"la Clota","1 menor",60
2020,7,"Horta-Guinardó",43,"Horta","1 menor",1436
2020,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","1 menor",1430
2020,8,"Nou Barris",45,"Porta","1 menor",1416
2020,8,"Nou Barris",46,"el Turó de la Peira","1 menor",907
2020,8,"Nou Barris",47,"Can Peguera","1 menor",99
2020,8,"Nou Barris",48,"la Guineueta","1 menor",860
2020,8,"Nou Barris",49,"Canyelles","1 menor",337
2020,8,"Nou Barris",50,"les Roquetes","1 menor",995
2020,8,"Nou Barris",51,"Verdun","1 menor",771
2020,8,"Nou Barris",52,"la Prosperitat","1 menor",1604
2020,8,"Nou Barris",53,"la Trinitat Nova","1 menor",433
2020,8,"Nou Barris",54,"Torre Baró","1 menor",163
2020,8,"Nou Barris",55,"Ciutat Meridiana","1 menor",638
2020,8,"Nou Barris",56,"Vallbona","1 menor",77
2020,9,"Sant Andreu",57,"la Trinitat Vella","1 menor",598
2020,9,"Sant Andreu",58,"Baró de Viver","1 menor",149
