"﻿""Any""","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Nacionalitat","Nombre"
2020,1,"Ciutat Vella",1,"el Raval","Tots espanyols",7828
2020,1,"Ciutat Vella",2,"el Barri Gòtic","Tots espanyols",3016
2020,1,"Ciutat Vella",3,"la Barceloneta","Tots espanyols",3829
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Tots espanyols",5136
2020,2,"Eixample",5,"el Fort Pienc","Tots espanyols",9349
2020,2,"Eixample",6,"la Sagrada Família","Tots espanyols",16337
2020,2,"Eixample",7,"la Dreta de l'Eixample","Tots espanyols",12853
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Tots espanyols",12935
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Tots espanyols",18885
2020,2,"Eixample",10,"Sant Antoni","Tots espanyols",11896
2020,3,"Sants-Montjuïc",11,"el Poble Sec","Tots espanyols",10091
2020,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Tots espanyols",418
2020,3,"Sants-Montjuïc",13,"la Marina de Port","Tots espanyols",9772
2020,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Tots espanyols",3277
2020,3,"Sants-Montjuïc",15,"Hostafrancs","Tots espanyols",4817
2020,3,"Sants-Montjuïc",16,"la Bordeta","Tots espanyols",6520
2020,3,"Sants-Montjuïc",17,"Sants - Badal","Tots espanyols",7862
2020,3,"Sants-Montjuïc",18,"Sants","Tots espanyols",13515
2020,4,"Les Corts",19,"les Corts","Tots espanyols",16043
2020,4,"Les Corts",20,"la Maternitat i Sant Ramon","Tots espanyols",8146
2020,4,"Les Corts",21,"Pedralbes","Tots espanyols",3272
2020,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Tots espanyols",1232
2020,5,"Sarrià-Sant Gervasi",23,"Sarrià","Tots espanyols",7172
2020,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Tots espanyols",4744
2020,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Tots espanyols",7829
2020,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Tots espanyols",15135
2020,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Tots espanyols",9797
2020,6,"Gràcia",28,"Vallcarca i els Penitents","Tots espanyols",5274
2020,6,"Gràcia",29,"el Coll","Tots espanyols",2497
2020,6,"Gràcia",30,"la Salut","Tots espanyols",4444
2020,6,"Gràcia",31,"la Vila de Gràcia","Tots espanyols",16478
2020,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Tots espanyols",12114
2020,7,"Horta-Guinardó",33,"el Baix Guinardó","Tots espanyols",8857
2020,7,"Horta-Guinardó",34,"Can Baró","Tots espanyols",3089
2020,7,"Horta-Guinardó",35,"el Guinardó","Tots espanyols",12531
2020,7,"Horta-Guinardó",36,"la Font d'en Fargues","Tots espanyols",3373
2020,7,"Horta-Guinardó",37,"el Carmel","Tots espanyols",10419
2020,7,"Horta-Guinardó",38,"la Teixonera","Tots espanyols",3941
2020,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Tots espanyols",2436
2020,7,"Horta-Guinardó",40,"Montbau","Tots espanyols",1793
2020,7,"Horta-Guinardó",41,"la Vall d'Hebron","Tots espanyols",2100
2020,7,"Horta-Guinardó",42,"la Clota","Tots espanyols",240
2020,7,"Horta-Guinardó",43,"Horta","Tots espanyols",9310
2020,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Tots espanyols",8837
2020,8,"Nou Barris",45,"Porta","Tots espanyols",8485
2020,8,"Nou Barris",46,"el Turó de la Peira","Tots espanyols",4809
2020,8,"Nou Barris",47,"Can Peguera","Tots espanyols",808
2020,8,"Nou Barris",48,"la Guineueta","Tots espanyols",5600
2020,8,"Nou Barris",49,"Canyelles","Tots espanyols",2607
2020,8,"Nou Barris",50,"les Roquetes","Tots espanyols",4555
2020,8,"Nou Barris",51,"Verdun","Tots espanyols",4023
2020,8,"Nou Barris",52,"la Prosperitat","Tots espanyols",9025
2020,8,"Nou Barris",53,"la Trinitat Nova","Tots espanyols",2283
2020,8,"Nou Barris",54,"Torre Baró","Tots espanyols",750
2020,8,"Nou Barris",55,"Ciutat Meridiana","Tots espanyols",2505
2020,8,"Nou Barris",56,"Vallbona","Tots espanyols",382
2020,9,"Sant Andreu",57,"la Trinitat Vella","Tots espanyols",2399
2020,9,"Sant Andreu",58,"Baró de Viver","Tots espanyols",807
2020,9,"Sant Andreu",59,"el Bon Pastor","Tots espanyols",3755
2020,9,"Sant Andreu",60,"Sant Andreu","Tots espanyols",21362
2020,9,"Sant Andreu",61,"la Sagrera","Tots espanyols",9899
2020,9,"Sant Andreu",62,"el Congrés i els Indians","Tots espanyols",4924
2020,9,"Sant Andreu",63,"Navas","Tots espanyols",7437
2020,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Tots espanyols",12766
2020,10,"Sant Martí",65,"el Clot","Tots espanyols",8665
2020,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Tots espanyols",4789
2020,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Tots espanyols",2620
2020,10,"Sant Martí",68,"el Poblenou","Tots espanyols",10220
2020,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Tots espanyols",4051
2020,10,"Sant Martí",70,"el Besòs i el Maresme","Tots espanyols",6061
2020,10,"Sant Martí",71,"Provençals del Poblenou","Tots espanyols",6768
2020,10,"Sant Martí",72,"Sant Martí de Provençals","Tots espanyols",9036
2020,10,"Sant Martí",73,"la Verneda i la Pau","Tots espanyols",9821
2020,1,"Ciutat Vella",1,"el Raval","Tots estrangers",5854
