"﻿""Any""","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Any_alta_padro","Nombre"
2020,1,"Ciutat Vella",1,"el Raval","Dona","Menys d'1 any",2857
2020,1,"Ciutat Vella",2,"el Barri Gòtic","Dona","Menys d'1 any",1689
2020,1,"Ciutat Vella",3,"la Barceloneta","Dona","Menys d'1 any",1052
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dona","Menys d'1 any",1607
2020,2,"Eixample",5,"el Fort Pienc","Dona","Menys d'1 any",1666
2020,2,"Eixample",6,"la Sagrada Família","Dona","Menys d'1 any",2438
2020,2,"Eixample",7,"la Dreta de l'Eixample","Dona","Menys d'1 any",2291
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dona","Menys d'1 any",2233
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Dona","Menys d'1 any",2622
2020,2,"Eixample",10,"Sant Antoni","Dona","Menys d'1 any",1718
2020,3,"Sants-Montjuïc",11,"el Poble Sec","Dona","Menys d'1 any",1962
2020,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Dona","Menys d'1 any",31
2020,3,"Sants-Montjuïc",13,"la Marina de Port","Dona","Menys d'1 any",1001
2020,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Dona","Menys d'1 any",436
2020,3,"Sants-Montjuïc",15,"Hostafrancs","Dona","Menys d'1 any",795
2020,3,"Sants-Montjuïc",16,"la Bordeta","Dona","Menys d'1 any",650
2020,3,"Sants-Montjuïc",17,"Sants - Badal","Dona","Menys d'1 any",1142
2020,3,"Sants-Montjuïc",18,"Sants","Dona","Menys d'1 any",2167
2020,4,"Les Corts",19,"les Corts","Dona","Menys d'1 any",1518
2020,4,"Les Corts",20,"la Maternitat i Sant Ramon","Dona","Menys d'1 any",853
2020,4,"Les Corts",21,"Pedralbes","Dona","Menys d'1 any",441
2020,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Dona","Menys d'1 any",139
2020,5,"Sarrià-Sant Gervasi",23,"Sarrià","Dona","Menys d'1 any",805
2020,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Dona","Menys d'1 any",477
2020,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Dona","Menys d'1 any",930
2020,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Dona","Menys d'1 any",1667
2020,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Dona","Menys d'1 any",1149
2020,6,"Gràcia",28,"Vallcarca i els Penitents","Dona","Menys d'1 any",564
2020,6,"Gràcia",29,"el Coll","Dona","Menys d'1 any",267
2020,6,"Gràcia",30,"la Salut","Dona","Menys d'1 any",424
2020,6,"Gràcia",31,"la Vila de Gràcia","Dona","Menys d'1 any",2495
2020,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Dona","Menys d'1 any",1320
2020,7,"Horta-Guinardó",33,"el Baix Guinardó","Dona","Menys d'1 any",833
2020,7,"Horta-Guinardó",34,"Can Baró","Dona","Menys d'1 any",312
2020,7,"Horta-Guinardó",35,"el Guinardó","Dona","Menys d'1 any",1286
2020,7,"Horta-Guinardó",36,"la Font d'en Fargues","Dona","Menys d'1 any",224
2020,7,"Horta-Guinardó",37,"el Carmel","Dona","Menys d'1 any",1025
2020,7,"Horta-Guinardó",38,"la Teixonera","Dona","Menys d'1 any",432
2020,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Dona","Menys d'1 any",245
2020,7,"Horta-Guinardó",40,"Montbau","Dona","Menys d'1 any",217
2020,7,"Horta-Guinardó",41,"la Vall d'Hebron","Dona","Menys d'1 any",157
2020,7,"Horta-Guinardó",42,"la Clota","Dona","Menys d'1 any",23
2020,7,"Horta-Guinardó",43,"Horta","Dona","Menys d'1 any",1058
2020,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Dona","Menys d'1 any",806
2020,8,"Nou Barris",45,"Porta","Dona","Menys d'1 any",1320
2020,8,"Nou Barris",46,"el Turó de la Peira","Dona","Menys d'1 any",708
2020,8,"Nou Barris",47,"Can Peguera","Dona","Menys d'1 any",43
2020,8,"Nou Barris",48,"la Guineueta","Dona","Menys d'1 any",344
2020,8,"Nou Barris",49,"Canyelles","Dona","Menys d'1 any",115
2020,8,"Nou Barris",50,"les Roquetes","Dona","Menys d'1 any",597
2020,8,"Nou Barris",51,"Verdun","Dona","Menys d'1 any",511
2020,8,"Nou Barris",52,"la Prosperitat","Dona","Menys d'1 any",898
2020,8,"Nou Barris",53,"la Trinitat Nova","Dona","Menys d'1 any",306
2020,8,"Nou Barris",54,"Torre Baró","Dona","Menys d'1 any",96
2020,8,"Nou Barris",55,"Ciutat Meridiana","Dona","Menys d'1 any",509
2020,8,"Nou Barris",56,"Vallbona","Dona","Menys d'1 any",54
2020,9,"Sant Andreu",57,"la Trinitat Vella","Dona","Menys d'1 any",411
2020,9,"Sant Andreu",58,"Baró de Viver","Dona","Menys d'1 any",79
2020,9,"Sant Andreu",59,"el Bon Pastor","Dona","Menys d'1 any",526
2020,9,"Sant Andreu",60,"Sant Andreu","Dona","Menys d'1 any",1428
2020,9,"Sant Andreu",61,"la Sagrera","Dona","Menys d'1 any",908
2020,9,"Sant Andreu",62,"el Congrés i els Indians","Dona","Menys d'1 any",472
2020,9,"Sant Andreu",63,"Navas","Dona","Menys d'1 any",713
2020,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Dona","Menys d'1 any",1494
2020,10,"Sant Martí",65,"el Clot","Dona","Menys d'1 any",862
