"﻿""Any""","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Edat_quinquennal","Nombre"
2020,1,"Ciutat Vella",1,"el Raval","Dona","< 25 anys",109
2020,1,"Ciutat Vella",2,"el Barri Gòtic","Dona","< 25 anys",53
2020,1,"Ciutat Vella",3,"la Barceloneta","Dona","< 25 anys",65
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dona","< 25 anys",58
2020,2,"Eixample",5,"el Fort Pienc","Dona","< 25 anys",31
2020,2,"Eixample",6,"la Sagrada Família","Dona","< 25 anys",61
2020,2,"Eixample",7,"la Dreta de l'Eixample","Dona","< 25 anys",92
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dona","< 25 anys",95
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Dona","< 25 anys",73
2020,2,"Eixample",10,"Sant Antoni","Dona","< 25 anys",49
2020,3,"Sants-Montjuïc",11,"el Poble Sec","Dona","< 25 anys",49
2020,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Dona","< 25 anys",1
2020,3,"Sants-Montjuïc",13,"la Marina de Port","Dona","< 25 anys",18
2020,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Dona","< 25 anys",10
2020,3,"Sants-Montjuïc",15,"Hostafrancs","Dona","< 25 anys",21
2020,3,"Sants-Montjuïc",16,"la Bordeta","Dona","< 25 anys",14
2020,3,"Sants-Montjuïc",17,"Sants - Badal","Dona","< 25 anys",25
2020,3,"Sants-Montjuïc",18,"Sants","Dona","< 25 anys",43
2020,4,"Les Corts",19,"les Corts","Dona","< 25 anys",49
2020,4,"Les Corts",20,"la Maternitat i Sant Ramon","Dona","< 25 anys",23
2020,4,"Les Corts",21,"Pedralbes","Dona","< 25 anys",13
2020,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Dona","< 25 anys",0
2020,5,"Sarrià-Sant Gervasi",23,"Sarrià","Dona","< 25 anys",20
2020,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Dona","< 25 anys",7
2020,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Dona","< 25 anys",31
2020,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Dona","< 25 anys",74
2020,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Dona","< 25 anys",30
2020,6,"Gràcia",28,"Vallcarca i els Penitents","Dona","< 25 anys",15
2020,6,"Gràcia",29,"el Coll","Dona","< 25 anys",8
2020,6,"Gràcia",30,"la Salut","Dona","< 25 anys",11
2020,6,"Gràcia",31,"la Vila de Gràcia","Dona","< 25 anys",98
2020,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Dona","< 25 anys",38
2020,7,"Horta-Guinardó",33,"el Baix Guinardó","Dona","< 25 anys",26
2020,7,"Horta-Guinardó",34,"Can Baró","Dona","< 25 anys",7
2020,7,"Horta-Guinardó",35,"el Guinardó","Dona","< 25 anys",22
2020,7,"Horta-Guinardó",36,"la Font d'en Fargues","Dona","< 25 anys",5
