"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Grau_Discapacitat","Nombre"
2016,1,"Ciutat Vella",1,"el Raval","33-64%",1782
2016,1,"Ciutat Vella",2,"el Barri Gòtic","33-64%",626
2016,1,"Ciutat Vella",3,"la Barceloneta","33-64%",668
2016,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","33-64%",799
2016,2,"Eixample",5,"el Fort Pienc","33-64%",1103
2016,2,"Eixample",6,"la Sagrada Família","33-64%",1998
2016,2,"Eixample",7,"la Dreta de l'Eixample","33-64%",1420
2016,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","33-64%",1452
2016,2,"Eixample",9,"la Nova Esquerra de l'Eixample","33-64%",2389
2016,2,"Eixample",10,"Sant Antoni","33-64%",1570
2016,3,"Sants-Montjuïc",11,"el Poble Sec","33-64%",1665
2016,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","33-64%",91
2016,3,"Sants-Montjuïc",13,"la Marina de Port","33-64%",1913
2016,3,"Sants-Montjuïc",14,"la Font de la Guatlla","33-64%",516
2016,3,"Sants-Montjuïc",15,"Hostafrancs","33-64%",651
2016,3,"Sants-Montjuïc",16,"la Bordeta","33-64%",869
2016,3,"Sants-Montjuïc",17,"Sants - Badal","33-64%",1036
2016,3,"Sants-Montjuïc",18,"Sants","33-64%",1728
2016,4,"Les Corts",19,"les Corts","33-64%",1782
2016,4,"Les Corts",20,"la Maternitat i Sant Ramon","33-64%",1001
2016,4,"Les Corts",21,"Pedralbes","33-64%",338
2016,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","33-64%",118
2016,5,"Sarrià-Sant Gervasi",23,"Sarrià","33-64%",614
2016,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","33-64%",383
2016,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","33-64%",663
2016,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","33-64%",1248
2016,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","33-64%",840
2016,6,"Gràcia",28,"Vallcarca i els Penitents","33-64%",577
2016,6,"Gràcia",29,"el Coll","33-64%",346
2016,6,"Gràcia",30,"la Salut","33-64%",478
2016,6,"Gràcia",31,"la Vila de Gràcia","33-64%",1758
2016,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","33-64%",1327
2016,7,"Horta-Guinardó",33,"el Baix Guinardó","33-64%",986
2016,7,"Horta-Guinardó",34,"Can Baró","33-64%",389
2016,7,"Horta-Guinardó",35,"el Guinardó","33-64%",1477
2016,7,"Horta-Guinardó",36,"la Font d'en Fargues","33-64%",374
2016,7,"Horta-Guinardó",37,"el Carmel","33-64%",1739
2016,7,"Horta-Guinardó",38,"la Teixonera","33-64%",563
2016,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","33-64%",332
2016,7,"Horta-Guinardó",40,"Montbau","33-64%",230
