"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Nombre"
2016,1,"Ciutat Vella",1,"el Raval","Home",1994
2016,1,"Ciutat Vella",2,"el Barri Gòtic","Home",680
2016,1,"Ciutat Vella",3,"la Barceloneta","Home",712
2016,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Home",815
2016,2,"Eixample",5,"el Fort Pienc","Home",950
2016,2,"Eixample",6,"la Sagrada Família","Home",1738
2016,2,"Eixample",7,"la Dreta de l'Eixample","Home",1242
2016,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Home",1201
2016,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Home",1974
2016,2,"Eixample",10,"Sant Antoni","Home",1364
2016,3,"Sants-Montjuïc",11,"el Poble Sec","Home",1567
2016,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Home",113
2016,3,"Sants-Montjuïc",13,"la Marina de Port","Home",1655
2016,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Home",526
2016,3,"Sants-Montjuïc",15,"Hostafrancs","Home",637
2016,3,"Sants-Montjuïc",16,"la Bordeta","Home",759
2016,3,"Sants-Montjuïc",17,"Sants - Badal","Home",914
2016,3,"Sants-Montjuïc",18,"Sants","Home",1485
2016,4,"Les Corts",19,"les Corts","Home",1471
2016,4,"Les Corts",20,"la Maternitat i Sant Ramon","Home",860
2016,4,"Les Corts",21,"Pedralbes","Home",294
2016,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Home",105
2016,5,"Sarrià-Sant Gervasi",23,"Sarrià","Home",611
2016,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Home",353
2016,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Home",666
2016,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Home",1101
2016,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Home",746
2016,6,"Gràcia",28,"Vallcarca i els Penitents","Home",514
2016,6,"Gràcia",29,"el Coll","Home",293
2016,6,"Gràcia",30,"la Salut","Home",504
2016,6,"Gràcia",31,"la Vila de Gràcia","Home",1596
2016,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Home",1113
2016,7,"Horta-Guinardó",33,"el Baix Guinardó","Home",854
2016,7,"Horta-Guinardó",34,"Can Baró","Home",374
