"Anys_Periode","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Nombre"
"2006-2010",1,"Ciutat Vella",1,"el Raval",701.5
"2006-2010",1,"Ciutat Vella",2,"el Barri Gòtic",637.3
"2006-2010",1,"Ciutat Vella",3,"la Barceloneta",936.9
"2006-2010",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",766.4
"2006-2010",2,"Eixample",5,"el Fort Pienc",776.5
"2006-2010",2,"Eixample",6,"la Sagrada Família",873.5
"2006-2010",2,"Eixample",7,"la Dreta de l'Eixample",1231.6
"2006-2010",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",936.4
"2006-2010",2,"Eixample",9,"la Nova Esquerra de l'Eixample",743.7
"2006-2010",2,"Eixample",10,"Sant Antoni",884.4
"2006-2010",3,"Sants-Montjuïc",11,"el Poble Sec",760.6
"2006-2010",3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",3059.5
"2006-2010",3,"Sants-Montjuïc",13,"la Marina de Port",534.7
"2006-2010",3,"Sants-Montjuïc",14,"la Font de la Guatlla",710.6
"2006-2010",3,"Sants-Montjuïc",15,"Hostafrancs",797.3
"2006-2010",3,"Sants-Montjuïc",16,"la Bordeta",671.1
"2006-2010",3,"Sants-Montjuïc",17,"Sants - Badal",684.8
"2006-2010",3,"Sants-Montjuïc",18,"Sants",765.6
"2006-2010",4,"Les Corts",19,"les Corts",706.8
"2006-2010",4,"Les Corts",20,"la Maternitat i Sant Ramon",616.4
"2006-2010",4,"Les Corts",21,"Pedralbes",684.0
"2006-2010",5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",1061.7
"2006-2010",5,"Sarrià-Sant Gervasi",23,"Sarrià",715.9
"2006-2010",5,"Sarrià-Sant Gervasi",24,"les Tres Torres",600.3
"2006-2010",5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",874.8
"2006-2010",5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",833.3
"2006-2010",5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",676.4
"2006-2010",6,"Gràcia",28,"Vallcarca i els Penitents",857.6
"2006-2010",6,"Gràcia",29,"el Coll",527.5
"2006-2010",6,"Gràcia",30,"la Salut",959.2
"2006-2010",6,"Gràcia",31,"la Vila de Gràcia",960.2
"2006-2010",6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",733.1
"2006-2010",7,"Horta-Guinardó",33,"el Baix Guinardó",759.5
"2006-2010",7,"Horta-Guinardó",34,"Can Baró",780.6
"2006-2010",7,"Horta-Guinardó",35,"el Guinardó",713.5
"2006-2010",7,"Horta-Guinardó",36,"la Font d'en Fargues",839.9
"2006-2010",7,"Horta-Guinardó",37,"el Carmel",576.1
"2006-2010",7,"Horta-Guinardó",38,"la Teixonera",662.5
"2006-2010",7,"Horta-Guinardó",39,"Sant Genís dels Agudells",778.5
"2006-2010",7,"Horta-Guinardó",40,"Montbau",1737.9
"2006-2010",7,"Horta-Guinardó",41,"la Vall d'Hebron",667.9
"2006-2010",7,"Horta-Guinardó",42,"la Clota",720.7
"2006-2010",7,"Horta-Guinardó",43,"Horta",884.5
"2006-2010",8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",723.2
"2006-2010",8,"Nou Barris",45,"Porta",735.7
"2006-2010",8,"Nou Barris",46,"el Turó de la Peira",778.2
"2006-2010",8,"Nou Barris",47,"Can Peguera",1051.2
"2006-2010",8,"Nou Barris",48,"la Guineueta",748.9
"2006-2010",8,"Nou Barris",49,"Canyelles",537.2
"2006-2010",8,"Nou Barris",50,"les Roquetes",528.4
"2006-2010",8,"Nou Barris",51,"Verdun",725.0
"2006-2010",8,"Nou Barris",52,"la Prosperitat",570.1
"2006-2010",8,"Nou Barris",53,"la Trinitat Nova",970.3
"2006-2010",8,"Nou Barris",54,"Torre Baró",657.8
"2006-2010",8,"Nou Barris",55,"Ciutat Meridiana",440.1
"2006-2010",8,"Nou Barris",56,"Vallbona",938.0
"2006-2010",9,"Sant Andreu",57,"la Trinitat Vella",490.9
"2006-2010",9,"Sant Andreu",58,"Baró de Viver",882.6
"2006-2010",9,"Sant Andreu",59,"el Bon Pastor",616.0
"2006-2010",9,"Sant Andreu",60,"Sant Andreu",636.0
"2006-2010",9,"Sant Andreu",61,"la Sagrera",603.6
"2006-2010",9,"Sant Andreu",62,"el Congrés i els Indians",854.2
"2006-2010",9,"Sant Andreu",63,"Navas",656.7
"2006-2010",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",719.1
"2006-2010",10,"Sant Martí",65,"el Clot",597.2
"2006-2010",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",675.2
"2006-2010",10,"Sant Martí",67,"la Vila Olímpica del Poblenou",287.2
"2006-2010",10,"Sant Martí",68,"el Poblenou",753.5
"2006-2010",10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",490.7
"2006-2010",10,"Sant Martí",70,"el Besòs i el Maresme",698.8
"2006-2010",10,"Sant Martí",71,"Provençals del Poblenou",606.0
"2006-2010",10,"Sant Martí",72,"Sant Martí de Provençals",771.4
