"Anys_Periode","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Nombre"
"2006-2010",1,"Ciutat Vella",1,"el Raval",686.9
"2006-2010",1,"Ciutat Vella",2,"el Barri Gòtic",554.5
"2006-2010",1,"Ciutat Vella",3,"la Barceloneta",932.3
"2006-2010",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",718.7
"2006-2010",2,"Eixample",5,"el Fort Pienc",755.3
"2006-2010",2,"Eixample",6,"la Sagrada Família",843.8
"2006-2010",2,"Eixample",7,"la Dreta de l'Eixample",1096.4
"2006-2010",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",901.1
"2006-2010",2,"Eixample",9,"la Nova Esquerra de l'Eixample",774.6
"2006-2010",2,"Eixample",10,"Sant Antoni",885.2
"2006-2010",3,"Sants-Montjuïc",11,"el Poble Sec",765.3
"2006-2010",3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",3185.6
"2006-2010",3,"Sants-Montjuïc",13,"la Marina de Port",572.5
"2006-2010",3,"Sants-Montjuïc",14,"la Font de la Guatlla",724.1
"2006-2010",3,"Sants-Montjuïc",15,"Hostafrancs",785.8
"2006-2010",3,"Sants-Montjuïc",16,"la Bordeta",647.9
"2006-2010",3,"Sants-Montjuïc",17,"Sants - Badal",670.9
"2006-2010",3,"Sants-Montjuïc",18,"Sants",777.9
"2006-2010",4,"Les Corts",19,"les Corts",741.1
"2006-2010",4,"Les Corts",20,"la Maternitat i Sant Ramon",656.7
"2006-2010",4,"Les Corts",21,"Pedralbes",690.9
"2006-2010",5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",934.9
"2006-2010",5,"Sarrià-Sant Gervasi",23,"Sarrià",718.4
"2006-2010",5,"Sarrià-Sant Gervasi",24,"les Tres Torres",615.4
"2006-2010",5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",849.7
"2006-2010",5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",817.3
"2006-2010",5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",665.5
"2006-2010",6,"Gràcia",28,"Vallcarca i els Penitents",801.4
"2006-2010",6,"Gràcia",29,"el Coll",624.5
"2006-2010",6,"Gràcia",30,"la Salut",920.4
"2006-2010",6,"Gràcia",31,"la Vila de Gràcia",894.6
"2006-2010",6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",780.7
"2006-2010",7,"Horta-Guinardó",33,"el Baix Guinardó",768.0
"2006-2010",7,"Horta-Guinardó",34,"Can Baró",797.0
"2006-2010",7,"Horta-Guinardó",35,"el Guinardó",779.0
"2006-2010",7,"Horta-Guinardó",36,"la Font d'en Fargues",801.9
"2006-2010",7,"Horta-Guinardó",37,"el Carmel",655.9
"2006-2010",7,"Horta-Guinardó",38,"la Teixonera",681.9
"2006-2010",7,"Horta-Guinardó",39,"Sant Genís dels Agudells",805.4
"2006-2010",7,"Horta-Guinardó",40,"Montbau",1698.0
"2006-2010",7,"Horta-Guinardó",41,"la Vall d'Hebron",628.4
"2006-2010",7,"Horta-Guinardó",42,"la Clota",821.1
"2006-2010",7,"Horta-Guinardó",43,"Horta",894.7
"2006-2010",8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",791.6
"2006-2010",8,"Nou Barris",45,"Porta",819.4
"2006-2010",8,"Nou Barris",46,"el Turó de la Peira",946.2
"2006-2010",8,"Nou Barris",47,"Can Peguera",1200.9
"2006-2010",8,"Nou Barris",48,"la Guineueta",841.8
"2006-2010",8,"Nou Barris",49,"Canyelles",602.1
"2006-2010",8,"Nou Barris",50,"les Roquetes",655.1
"2006-2010",8,"Nou Barris",51,"Verdun",817.8
"2006-2010",8,"Nou Barris",52,"la Prosperitat",670.8
"2006-2010",8,"Nou Barris",53,"la Trinitat Nova",979.6
"2006-2010",8,"Nou Barris",54,"Torre Baró",856.3
"2006-2010",8,"Nou Barris",55,"Ciutat Meridiana",490.2
"2006-2010",8,"Nou Barris",56,"Vallbona",787.8
"2006-2010",9,"Sant Andreu",57,"la Trinitat Vella",485.1
"2006-2010",9,"Sant Andreu",58,"Baró de Viver",947.4
"2006-2010",9,"Sant Andreu",59,"el Bon Pastor",628.3
"2006-2010",9,"Sant Andreu",60,"Sant Andreu",674.6
"2006-2010",9,"Sant Andreu",61,"la Sagrera",636.0
"2006-2010",9,"Sant Andreu",62,"el Congrés i els Indians",954.9
"2006-2010",9,"Sant Andreu",63,"Navas",716.9
"2006-2010",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",731.7
"2006-2010",10,"Sant Martí",65,"el Clot",624.3
"2006-2010",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",693.9
"2006-2010",10,"Sant Martí",67,"la Vila Olímpica del Poblenou",274.6
"2006-2010",10,"Sant Martí",68,"el Poblenou",727.7
"2006-2010",10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",520.2
"2006-2010",10,"Sant Martí",70,"el Besòs i el Maresme",744.0
"2006-2010",10,"Sant Martí",71,"Provençals del Poblenou",665.4
"2006-2010",10,"Sant Martí",72,"Sant Martí de Provençals",836.0
"2006-2010",10,"Sant Martí",73,"la Verneda i la Pau",786.0
"2007-2011",1,"Ciutat Vella",1,"el Raval",836.9
"2007-2011",1,"Ciutat Vella",2,"el Barri Gòtic",757.4
"2007-2011",1,"Ciutat Vella",3,"la Barceloneta",1155.1
"2007-2011",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",894.6
"2007-2011",2,"Eixample",5,"el Fort Pienc",935.1
"2007-2011",2,"Eixample",6,"la Sagrada Família",1055.1
"2007-2011",2,"Eixample",7,"la Dreta de l'Eixample",1345.1
"2007-2011",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",1113.3
"2007-2011",2,"Eixample",9,"la Nova Esquerra de l'Eixample",963.4
"2007-2011",2,"Eixample",10,"Sant Antoni",1098.0
"2007-2011",3,"Sants-Montjuïc",11,"el Poble Sec",943.7
"2007-2011",3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",3574.5
"2007-2011",3,"Sants-Montjuïc",13,"la Marina de Port",726.4
"2007-2011",3,"Sants-Montjuïc",14,"la Font de la Guatlla",967.5
"2007-2011",3,"Sants-Montjuïc",15,"Hostafrancs",973.8
"2007-2011",3,"Sants-Montjuïc",16,"la Bordeta",832.3
"2007-2011",3,"Sants-Montjuïc",17,"Sants - Badal",832.3
"2007-2011",3,"Sants-Montjuïc",18,"Sants",975.1
"2007-2011",4,"Les Corts",19,"les Corts",920.2
"2007-2011",4,"Les Corts",20,"la Maternitat i Sant Ramon",816.2
"2007-2011",4,"Les Corts",21,"Pedralbes",849.8
"2007-2011",5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",1118.2
"2007-2011",5,"Sarrià-Sant Gervasi",23,"Sarrià",941.4
"2007-2011",5,"Sarrià-Sant Gervasi",24,"les Tres Torres",745.8
"2007-2011",5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",1052.1
"2007-2011",5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",1016.0
"2007-2011",5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",823.4
"2007-2011",6,"Gràcia",28,"Vallcarca i els Penitents",1003.8
"2007-2011",6,"Gràcia",29,"el Coll",743.6
"2007-2011",6,"Gràcia",30,"la Salut",1119.4
"2007-2011",6,"Gràcia",31,"la Vila de Gràcia",1098.1
"2007-2011",6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",968.4
"2007-2011",7,"Horta-Guinardó",33,"el Baix Guinardó",1008.4
"2007-2011",7,"Horta-Guinardó",34,"Can Baró",972.9
"2007-2011",7,"Horta-Guinardó",35,"el Guinardó",974.9
"2007-2011",7,"Horta-Guinardó",36,"la Font d'en Fargues",977.1
"2007-2011",7,"Horta-Guinardó",37,"el Carmel",800.6
"2007-2011",7,"Horta-Guinardó",38,"la Teixonera",843.9
"2007-2011",7,"Horta-Guinardó",39,"Sant Genís dels Agudells",1006.5
"2007-2011",7,"Horta-Guinardó",40,"Montbau",2106.8
"2007-2011",7,"Horta-Guinardó",41,"la Vall d'Hebron",817.6
"2007-2011",7,"Horta-Guinardó",42,"la Clota",1085.1
"2007-2011",7,"Horta-Guinardó",43,"Horta",1108.6
"2007-2011",8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",1017.4
"2007-2011",8,"Nou Barris",45,"Porta",988.0
"2007-2011",8,"Nou Barris",46,"el Turó de la Peira",1173.9
"2007-2011",8,"Nou Barris",47,"Can Peguera",1397.9
"2007-2011",8,"Nou Barris",48,"la Guineueta",1070.8
"2007-2011",8,"Nou Barris",49,"Canyelles",795.9
"2007-2011",8,"Nou Barris",50,"les Roquetes",816.7
"2007-2011",8,"Nou Barris",51,"Verdun",982.9
"2007-2011",8,"Nou Barris",52,"la Prosperitat",850.7
"2007-2011",8,"Nou Barris",53,"la Trinitat Nova",1237.6
"2007-2011",8,"Nou Barris",54,"Torre Baró",1039.2
