"Anys_Periode","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Nombre"
"2006-2010",1,"Ciutat Vella",1,"el Raval",889.8
"2006-2010",1,"Ciutat Vella",2,"el Barri Gòtic",808.9
"2006-2010",1,"Ciutat Vella",3,"la Barceloneta",861.5
"2006-2010",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",761.5
"2006-2010",2,"Eixample",5,"el Fort Pienc",682.8
"2006-2010",2,"Eixample",6,"la Sagrada Família",690.5
"2006-2010",2,"Eixample",7,"la Dreta de l'Eixample",817.8
"2006-2010",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",705.7
"2006-2010",2,"Eixample",9,"la Nova Esquerra de l'Eixample",685.6
"2006-2010",2,"Eixample",10,"Sant Antoni",710.6
"2006-2010",3,"Sants-Montjuïc",11,"el Poble Sec",785.5
"2006-2010",3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",3144.7
"2006-2010",3,"Sants-Montjuïc",13,"la Marina de Port",717.0
"2006-2010",3,"Sants-Montjuïc",14,"la Font de la Guatlla",723.8
"2006-2010",3,"Sants-Montjuïc",15,"Hostafrancs",807.5
"2006-2010",3,"Sants-Montjuïc",16,"la Bordeta",683.6
"2006-2010",3,"Sants-Montjuïc",17,"Sants - Badal",704.6
"2006-2010",3,"Sants-Montjuïc",18,"Sants",714.5
"2006-2010",4,"Les Corts",19,"les Corts",686.0
"2006-2010",4,"Les Corts",20,"la Maternitat i Sant Ramon",650.5
"2006-2010",4,"Les Corts",21,"Pedralbes",630.6
"2006-2010",5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",1142.0
"2006-2010",5,"Sarrià-Sant Gervasi",23,"Sarrià",628.1
"2006-2010",5,"Sarrià-Sant Gervasi",24,"les Tres Torres",647.4
"2006-2010",5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",675.1
"2006-2010",5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",673.3
"2006-2010",5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",633.1
"2006-2010",6,"Gràcia",28,"Vallcarca i els Penitents",735.6
"2006-2010",6,"Gràcia",29,"el Coll",720.8
"2006-2010",6,"Gràcia",30,"la Salut",840.1
"2006-2010",6,"Gràcia",31,"la Vila de Gràcia",751.4
"2006-2010",6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",680.7
"2006-2010",7,"Horta-Guinardó",33,"el Baix Guinardó",644.1
"2006-2010",7,"Horta-Guinardó",34,"Can Baró",776.0
"2006-2010",7,"Horta-Guinardó",35,"el Guinardó",712.8
"2006-2010",7,"Horta-Guinardó",36,"la Font d'en Fargues",827.6
"2006-2010",7,"Horta-Guinardó",37,"el Carmel",768.8
"2006-2010",7,"Horta-Guinardó",38,"la Teixonera",813.4
"2006-2010",7,"Horta-Guinardó",39,"Sant Genís dels Agudells",780.5
"2006-2010",7,"Horta-Guinardó",40,"Montbau",963.7
"2006-2010",7,"Horta-Guinardó",41,"la Vall d'Hebron",738.3
"2006-2010",7,"Horta-Guinardó",42,"la Clota",708.4
"2006-2010",7,"Horta-Guinardó",43,"Horta",822.6
"2006-2010",8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",713.6
"2006-2010",8,"Nou Barris",45,"Porta",766.2
"2006-2010",8,"Nou Barris",46,"el Turó de la Peira",724.1
"2006-2010",8,"Nou Barris",47,"Can Peguera",1089.0
"2006-2010",8,"Nou Barris",48,"la Guineueta",767.8
"2006-2010",8,"Nou Barris",49,"Canyelles",725.1
"2006-2010",8,"Nou Barris",50,"les Roquetes",852.4
"2006-2010",8,"Nou Barris",51,"Verdun",802.3
"2006-2010",8,"Nou Barris",52,"la Prosperitat",708.1
"2006-2010",8,"Nou Barris",53,"la Trinitat Nova",858.3
"2006-2010",8,"Nou Barris",54,"Torre Baró",1181.8
"2006-2010",8,"Nou Barris",55,"Ciutat Meridiana",803.9
"2006-2010",8,"Nou Barris",56,"Vallbona",836.9
"2006-2010",9,"Sant Andreu",57,"la Trinitat Vella",794.5
"2006-2010",9,"Sant Andreu",58,"Baró de Viver",1118.9
"2006-2010",9,"Sant Andreu",59,"el Bon Pastor",872.5
"2006-2010",9,"Sant Andreu",60,"Sant Andreu",738.5
"2006-2010",9,"Sant Andreu",61,"la Sagrera",672.4
"2006-2010",9,"Sant Andreu",62,"el Congrés i els Indians",692.3
"2006-2010",9,"Sant Andreu",63,"Navas",683.4
