"Anys_Periode","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Nombre"
"2006-2010",1,"Ciutat Vella",1,"el Raval",1261.0
"2006-2010",1,"Ciutat Vella",2,"el Barri Gòtic",1059.8
"2006-2010",1,"Ciutat Vella",3,"la Barceloneta",1206.2
"2006-2010",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",1043.8
"2006-2010",2,"Eixample",5,"el Fort Pienc",925.1
"2006-2010",2,"Eixample",6,"la Sagrada Família",903.0
"2006-2010",2,"Eixample",7,"la Dreta de l'Eixample",1085.1
"2006-2010",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",962.0
"2006-2010",2,"Eixample",9,"la Nova Esquerra de l'Eixample",976.1
"2006-2010",2,"Eixample",10,"Sant Antoni",975.2
"2006-2010",3,"Sants-Montjuïc",11,"el Poble Sec",1127.2
"2006-2010",3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",4499.3
"2006-2010",3,"Sants-Montjuïc",13,"la Marina de Port",884.1
"2006-2010",3,"Sants-Montjuïc",14,"la Font de la Guatlla",951.1
"2006-2010",3,"Sants-Montjuïc",15,"Hostafrancs",1071.6
"2006-2010",3,"Sants-Montjuïc",16,"la Bordeta",824.0
"2006-2010",3,"Sants-Montjuïc",17,"Sants - Badal",877.1
"2006-2010",3,"Sants-Montjuïc",18,"Sants",965.3
"2006-2010",4,"Les Corts",19,"les Corts",924.8
"2006-2010",4,"Les Corts",20,"la Maternitat i Sant Ramon",858.1
"2006-2010",4,"Les Corts",21,"Pedralbes",772.2
"2006-2010",5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",1311.6
"2006-2010",5,"Sarrià-Sant Gervasi",23,"Sarrià",872.8
"2006-2010",5,"Sarrià-Sant Gervasi",24,"les Tres Torres",840.4
"2006-2010",5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",891.9
"2006-2010",5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",867.6
"2006-2010",5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",858.1
"2006-2010",6,"Gràcia",28,"Vallcarca i els Penitents",912.5
"2006-2010",6,"Gràcia",29,"el Coll",1041.5
"2006-2010",6,"Gràcia",30,"la Salut",1052.8
"2006-2010",6,"Gràcia",31,"la Vila de Gràcia",988.0
"2006-2010",6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",982.8
"2006-2010",7,"Horta-Guinardó",33,"el Baix Guinardó",851.9
"2006-2010",7,"Horta-Guinardó",34,"Can Baró",1032.7
"2006-2010",7,"Horta-Guinardó",35,"el Guinardó",1011.8
"2006-2010",7,"Horta-Guinardó",36,"la Font d'en Fargues",1082.4
"2006-2010",7,"Horta-Guinardó",37,"el Carmel",1067.5
"2006-2010",7,"Horta-Guinardó",38,"la Teixonera",1018.1
