"Anys_Periode","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Nombre"
"2003-2007",1,"Ciutat Vella",1,"el Raval",19.4
"2003-2007",1,"Ciutat Vella",2,"el Barri Gòtic",11.6
"2003-2007",1,"Ciutat Vella",3,"la Barceloneta",11.6
"2003-2007",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",14.6
"2003-2007",2,"Eixample",5,"el Fort Pienc",4.7
"2003-2007",2,"Eixample",6,"la Sagrada Família",5.8
"2003-2007",2,"Eixample",7,"la Dreta de l'Eixample",2.6
"2003-2007",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",3.5
"2003-2007",2,"Eixample",9,"la Nova Esquerra de l'Eixample",3.1
"2003-2007",2,"Eixample",10,"Sant Antoni",7.0
"2003-2007",3,"Sants-Montjuïc",11,"el Poble Sec",14.9
"2003-2007",3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",28.4
"2003-2007",3,"Sants-Montjuïc",13,"la Marina de Port",9.5
"2003-2007",3,"Sants-Montjuïc",14,"la Font de la Guatlla",4.0
"2003-2007",3,"Sants-Montjuïc",15,"Hostafrancs",13.8
"2003-2007",3,"Sants-Montjuïc",16,"la Bordeta",6.9
"2003-2007",3,"Sants-Montjuïc",17,"Sants - Badal",4.0
"2003-2007",3,"Sants-Montjuïc",18,"Sants",6.8
"2003-2007",4,"Les Corts",19,"les Corts",1.9
"2003-2007",4,"Les Corts",20,"la Maternitat i Sant Ramon",1.8
"2003-2007",4,"Les Corts",21,"Pedralbes",0.7
"2003-2007",5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",5.6
"2003-2007",5,"Sarrià-Sant Gervasi",23,"Sarrià",2.6
"2003-2007",5,"Sarrià-Sant Gervasi",24,"les Tres Torres",1.6
"2003-2007",5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",1.4
"2003-2007",5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",1.8
"2003-2007",5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",2.4
"2003-2007",6,"Gràcia",28,"Vallcarca i els Penitents",5.8
"2003-2007",6,"Gràcia",29,"el Coll",2.9
"2003-2007",6,"Gràcia",30,"la Salut",3.4
"2003-2007",6,"Gràcia",31,"la Vila de Gràcia",8.0
"2003-2007",6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",4.3
"2003-2007",7,"Horta-Guinardó",33,"el Baix Guinardó",4.2
"2003-2007",7,"Horta-Guinardó",34,"Can Baró",6.0
"2003-2007",7,"Horta-Guinardó",35,"el Guinardó",7.5
"2003-2007",7,"Horta-Guinardó",36,"la Font d'en Fargues",1.0
"2003-2007",7,"Horta-Guinardó",37,"el Carmel",7.1
"2003-2007",7,"Horta-Guinardó",38,"la Teixonera",12.6
"2003-2007",7,"Horta-Guinardó",39,"Sant Genís dels Agudells",8.5
"2003-2007",7,"Horta-Guinardó",40,"Montbau",6.7
"2003-2007",7,"Horta-Guinardó",41,"la Vall d'Hebron",3.0
"2003-2007",7,"Horta-Guinardó",42,"la Clota",19.2
"2003-2007",7,"Horta-Guinardó",43,"Horta",4.4
"2003-2007",8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",6.6
"2003-2007",8,"Nou Barris",45,"Porta",11.8
"2003-2007",8,"Nou Barris",46,"el Turó de la Peira",13.7
"2003-2007",8,"Nou Barris",47,"Can Peguera",27.2
"2003-2007",8,"Nou Barris",48,"la Guineueta",3.6
"2003-2007",8,"Nou Barris",49,"Canyelles",2.0
"2003-2007",8,"Nou Barris",50,"les Roquetes",17.9
"2003-2007",8,"Nou Barris",51,"Verdun",17.1
"2003-2007",8,"Nou Barris",52,"la Prosperitat",8.7
"2003-2007",8,"Nou Barris",53,"la Trinitat Nova",19.5
"2003-2007",8,"Nou Barris",54,"Torre Baró",49.2
"2003-2007",8,"Nou Barris",55,"Ciutat Meridiana",26.2
"2003-2007",8,"Nou Barris",56,"Vallbona",14.0
"2003-2007",9,"Sant Andreu",57,"la Trinitat Vella",13.9
"2003-2007",9,"Sant Andreu",58,"Baró de Viver",32.3
"2003-2007",9,"Sant Andreu",59,"el Bon Pastor",21.9
"2003-2007",9,"Sant Andreu",60,"Sant Andreu",3.8
"2003-2007",9,"Sant Andreu",61,"la Sagrera",6.9
"2003-2007",9,"Sant Andreu",62,"el Congrés i els Indians",2.5
"2003-2007",9,"Sant Andreu",63,"Navas",4.4
"2003-2007",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",6.9
"2003-2007",10,"Sant Martí",65,"el Clot",5.9
"2003-2007",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",5.2
"2003-2007",10,"Sant Martí",67,"la Vila Olímpica del Poblenou",1.1
"2003-2007",10,"Sant Martí",68,"el Poblenou",6.6
"2003-2007",10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",8.0
"2003-2007",10,"Sant Martí",70,"el Besòs i el Maresme",13.9
"2003-2007",10,"Sant Martí",71,"Provençals del Poblenou",6.8
"2003-2007",10,"Sant Martí",72,"Sant Martí de Provençals",8.4
"2003-2007",10,"Sant Martí",73,"la Verneda i la Pau",5.4
