"Anys_Periode","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Nombre"
"2003-2007",1,"Ciutat Vella",1,"el Raval",48.4
"2003-2007",1,"Ciutat Vella",2,"el Barri Gòtic",19.6
"2003-2007",1,"Ciutat Vella",3,"la Barceloneta",46.1
"2003-2007",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",35.7
"2003-2007",2,"Eixample",5,"el Fort Pienc",40.6
"2003-2007",2,"Eixample",6,"la Sagrada Família",39.6
"2003-2007",2,"Eixample",7,"la Dreta de l'Eixample",44.0
"2003-2007",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",44.1
"2003-2007",2,"Eixample",9,"la Nova Esquerra de l'Eixample",43.8
"2003-2007",2,"Eixample",10,"Sant Antoni",45.1
"2003-2007",3,"Sants-Montjuïc",11,"el Poble Sec",49.1
"2003-2007",3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",94.5
"2003-2007",3,"Sants-Montjuïc",13,"la Marina de Port",59.0
"2003-2007",3,"Sants-Montjuïc",14,"la Font de la Guatlla",39.4
"2003-2007",3,"Sants-Montjuïc",15,"Hostafrancs",48.4
"2003-2007",3,"Sants-Montjuïc",16,"la Bordeta",48.7
"2003-2007",3,"Sants-Montjuïc",17,"Sants - Badal",43.1
"2003-2007",3,"Sants-Montjuïc",18,"Sants",45.4
"2003-2007",4,"Les Corts",19,"les Corts",36.7
"2003-2007",4,"Les Corts",20,"la Maternitat i Sant Ramon",34.8
"2003-2007",4,"Les Corts",21,"Pedralbes",39.3
"2003-2007",5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",67.8
"2003-2007",5,"Sarrià-Sant Gervasi",23,"Sarrià",63.1
"2003-2007",5,"Sarrià-Sant Gervasi",24,"les Tres Torres",57.4
"2003-2007",5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",49.1
"2003-2007",5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",49.7
"2003-2007",5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",50.8
"2003-2007",6,"Gràcia",28,"Vallcarca i els Penitents",49.8
"2003-2007",6,"Gràcia",29,"el Coll",49.7
"2003-2007",6,"Gràcia",30,"la Salut",41.9
"2003-2007",6,"Gràcia",31,"la Vila de Gràcia",42.0
"2003-2007",6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",42.1
"2003-2007",7,"Horta-Guinardó",33,"el Baix Guinardó",40.9
"2003-2007",7,"Horta-Guinardó",34,"Can Baró",41.3
"2003-2007",7,"Horta-Guinardó",35,"el Guinardó",47.4
"2003-2007",7,"Horta-Guinardó",36,"la Font d'en Fargues",47.5
"2003-2007",7,"Horta-Guinardó",37,"el Carmel",52.1
"2003-2007",7,"Horta-Guinardó",38,"la Teixonera",53.6
"2003-2007",7,"Horta-Guinardó",39,"Sant Genís dels Agudells",50.5
"2003-2007",7,"Horta-Guinardó",40,"Montbau",71.7
"2003-2007",7,"Horta-Guinardó",41,"la Vall d'Hebron",45.5
"2003-2007",7,"Horta-Guinardó",42,"la Clota",60.5
"2003-2007",7,"Horta-Guinardó",43,"Horta",46.1
"2003-2007",8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",47.8
"2003-2007",8,"Nou Barris",45,"Porta",46.0
"2003-2007",8,"Nou Barris",46,"el Turó de la Peira",53.6
"2003-2007",8,"Nou Barris",47,"Can Peguera",54.3
"2003-2007",8,"Nou Barris",48,"la Guineueta",40.7
"2003-2007",8,"Nou Barris",49,"Canyelles",39.4
"2003-2007",8,"Nou Barris",50,"les Roquetes",63.4
"2003-2007",8,"Nou Barris",51,"Verdun",50.5
"2003-2007",8,"Nou Barris",52,"la Prosperitat",50.0
"2003-2007",8,"Nou Barris",53,"la Trinitat Nova",58.9
"2003-2007",8,"Nou Barris",54,"Torre Baró",73.4
"2003-2007",8,"Nou Barris",55,"Ciutat Meridiana",66.1
"2003-2007",8,"Nou Barris",56,"Vallbona",57.2
"2003-2007",9,"Sant Andreu",57,"la Trinitat Vella",52.8
"2003-2007",9,"Sant Andreu",58,"Baró de Viver",68.8
"2003-2007",9,"Sant Andreu",59,"el Bon Pastor",78.0
"2003-2007",9,"Sant Andreu",60,"Sant Andreu",49.0
"2003-2007",9,"Sant Andreu",61,"la Sagrera",42.6
"2003-2007",9,"Sant Andreu",62,"el Congrés i els Indians",49.4
"2003-2007",9,"Sant Andreu",63,"Navas",47.2
"2003-2007",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",42.3
"2003-2007",10,"Sant Martí",65,"el Clot",49.2
"2003-2007",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",52.5
"2003-2007",10,"Sant Martí",67,"la Vila Olímpica del Poblenou",66.4
"2003-2007",10,"Sant Martí",68,"el Poblenou",63.7
"2003-2007",10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",83.6
"2003-2007",10,"Sant Martí",70,"el Besòs i el Maresme",57.0
"2003-2007",10,"Sant Martí",71,"Provençals del Poblenou",54.9
"2003-2007",10,"Sant Martí",72,"Sant Martí de Provençals",50.0
"2003-2007",10,"Sant Martí",73,"la Verneda i la Pau",47.4
"2004-2008",1,"Ciutat Vella",1,"el Raval",48.4
"2004-2008",1,"Ciutat Vella",2,"el Barri Gòtic",17.7
"2004-2008",1,"Ciutat Vella",3,"la Barceloneta",45.6
"2004-2008",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",35.1
"2004-2008",2,"Eixample",5,"el Fort Pienc",41.2
"2004-2008",2,"Eixample",6,"la Sagrada Família",40.3
"2004-2008",2,"Eixample",7,"la Dreta de l'Eixample",43.0
"2004-2008",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",42.9
"2004-2008",2,"Eixample",9,"la Nova Esquerra de l'Eixample",41.4
"2004-2008",2,"Eixample",10,"Sant Antoni",41.6
"2004-2008",3,"Sants-Montjuïc",11,"el Poble Sec",49.5
"2004-2008",3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",71.0
"2004-2008",3,"Sants-Montjuïc",13,"la Marina de Port",60.9
"2004-2008",3,"Sants-Montjuïc",14,"la Font de la Guatlla",39.5
"2004-2008",3,"Sants-Montjuïc",15,"Hostafrancs",44.6
"2004-2008",3,"Sants-Montjuïc",16,"la Bordeta",46.6
"2004-2008",3,"Sants-Montjuïc",17,"Sants - Badal",42.9
"2004-2008",3,"Sants-Montjuïc",18,"Sants",45.0
"2004-2008",4,"Les Corts",19,"les Corts",36.2
"2004-2008",4,"Les Corts",20,"la Maternitat i Sant Ramon",34.7
"2004-2008",4,"Les Corts",21,"Pedralbes",37.2
"2004-2008",5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",66.2
"2004-2008",5,"Sarrià-Sant Gervasi",23,"Sarrià",60.8
"2004-2008",5,"Sarrià-Sant Gervasi",24,"les Tres Torres",52.5
"2004-2008",5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",47.7
"2004-2008",5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",50.0
"2004-2008",5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",47.7
"2004-2008",6,"Gràcia",28,"Vallcarca i els Penitents",49.0
"2004-2008",6,"Gràcia",29,"el Coll",48.7
"2004-2008",6,"Gràcia",30,"la Salut",42.8
"2004-2008",6,"Gràcia",31,"la Vila de Gràcia",41.2
"2004-2008",6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",41.8
"2004-2008",7,"Horta-Guinardó",33,"el Baix Guinardó",42.0
"2004-2008",7,"Horta-Guinardó",34,"Can Baró",46.8
"2004-2008",7,"Horta-Guinardó",35,"el Guinardó",47.0
"2004-2008",7,"Horta-Guinardó",36,"la Font d'en Fargues",47.2
"2004-2008",7,"Horta-Guinardó",37,"el Carmel",55.2
"2004-2008",7,"Horta-Guinardó",38,"la Teixonera",55.3
"2004-2008",7,"Horta-Guinardó",39,"Sant Genís dels Agudells",50.1
"2004-2008",7,"Horta-Guinardó",40,"Montbau",71.8
"2004-2008",7,"Horta-Guinardó",41,"la Vall d'Hebron",40.9
"2004-2008",7,"Horta-Guinardó",42,"la Clota",57.4
