"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","CCAA","Província naixement","Nombre"
2019,1,"Ciutat Vella",1,"el Raval","Dona","Andalusia","Almeria",48
2019,1,"Ciutat Vella",2,"el Barri Gòtic","Dona","Andalusia","Almeria",12
2019,1,"Ciutat Vella",3,"la Barceloneta","Dona","Andalusia","Almeria",60
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dona","Andalusia","Almeria",25
2019,2,"Eixample",5,"el Fort Pienc","Dona","Andalusia","Almeria",55
2019,2,"Eixample",6,"la Sagrada Família","Dona","Andalusia","Almeria",107
2019,2,"Eixample",7,"la Dreta de l'Eixample","Dona","Andalusia","Almeria",54
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dona","Andalusia","Almeria",59
2019,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Dona","Andalusia","Almeria",95
2019,2,"Eixample",10,"Sant Antoni","Dona","Andalusia","Almeria",71
2019,3,"Sants-Montjuïc",11,"el Poble Sec","Dona","Andalusia","Almeria",74
2019,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Dona","Andalusia","Almeria",6
2019,3,"Sants-Montjuïc",13,"la Marina de Port","Dona","Andalusia","Almeria",114
2019,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Dona","Andalusia","Almeria",33
2019,3,"Sants-Montjuïc",15,"Hostafrancs","Dona","Andalusia","Almeria",28
2019,3,"Sants-Montjuïc",16,"la Bordeta","Dona","Andalusia","Almeria",61
2019,3,"Sants-Montjuïc",17,"Sants - Badal","Dona","Andalusia","Almeria",87
2019,3,"Sants-Montjuïc",18,"Sants","Dona","Andalusia","Almeria",84
2019,4,"Les Corts",19,"les Corts","Dona","Andalusia","Almeria",98
2019,4,"Les Corts",20,"la Maternitat i Sant Ramon","Dona","Andalusia","Almeria",73
2019,4,"Les Corts",21,"Pedralbes","Dona","Andalusia","Almeria",25
2019,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Dona","Andalusia","Almeria",1
2019,5,"Sarrià-Sant Gervasi",23,"Sarrià","Dona","Andalusia","Almeria",23
2019,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Dona","Andalusia","Almeria",14
2019,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Dona","Andalusia","Almeria",29
2019,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Dona","Andalusia","Almeria",40
2019,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Dona","Andalusia","Almeria",40
2019,6,"Gràcia",28,"Vallcarca i els Penitents","Dona","Andalusia","Almeria",30
2019,6,"Gràcia",29,"el Coll","Dona","Andalusia","Almeria",14
2019,6,"Gràcia",30,"la Salut","Dona","Andalusia","Almeria",30
2019,6,"Gràcia",31,"la Vila de Gràcia","Dona","Andalusia","Almeria",68
2019,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Dona","Andalusia","Almeria",61
2019,7,"Horta-Guinardó",33,"el Baix Guinardó","Dona","Andalusia","Almeria",100
2019,7,"Horta-Guinardó",34,"Can Baró","Dona","Andalusia","Almeria",40
2019,7,"Horta-Guinardó",35,"el Guinardó","Dona","Andalusia","Almeria",93
2019,7,"Horta-Guinardó",36,"la Font d'en Fargues","Dona","Andalusia","Almeria",21
2019,7,"Horta-Guinardó",37,"el Carmel","Dona","Andalusia","Almeria",111
2019,7,"Horta-Guinardó",38,"la Teixonera","Dona","Andalusia","Almeria",29
2019,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Dona","Andalusia","Almeria",18
2019,7,"Horta-Guinardó",40,"Montbau","Dona","Andalusia","Almeria",22
2019,7,"Horta-Guinardó",41,"la Vall d'Hebron","Dona","Andalusia","Almeria",16
2019,7,"Horta-Guinardó",42,"la Clota","Dona","Andalusia","Almeria",0
2019,7,"Horta-Guinardó",43,"Horta","Dona","Andalusia","Almeria",89
2019,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Dona","Andalusia","Almeria",73
2019,8,"Nou Barris",45,"Porta","Dona","Andalusia","Almeria",97
2019,8,"Nou Barris",46,"el Turó de la Peira","Dona","Andalusia","Almeria",64
2019,8,"Nou Barris",47,"Can Peguera","Dona","Andalusia","Almeria",8
2019,8,"Nou Barris",48,"la Guineueta","Dona","Andalusia","Almeria",77
2019,8,"Nou Barris",49,"Canyelles","Dona","Andalusia","Almeria",37
2019,8,"Nou Barris",50,"les Roquetes","Dona","Andalusia","Almeria",51
2019,8,"Nou Barris",51,"Verdun","Dona","Andalusia","Almeria",62
2019,8,"Nou Barris",52,"la Prosperitat","Dona","Andalusia","Almeria",127
2019,8,"Nou Barris",53,"la Trinitat Nova","Dona","Andalusia","Almeria",40
2019,8,"Nou Barris",54,"Torre Baró","Dona","Andalusia","Almeria",5
2019,8,"Nou Barris",55,"Ciutat Meridiana","Dona","Andalusia","Almeria",33
2019,8,"Nou Barris",56,"Vallbona","Dona","Andalusia","Almeria",7
2019,9,"Sant Andreu",57,"la Trinitat Vella","Dona","Andalusia","Almeria",33
2019,9,"Sant Andreu",58,"Baró de Viver","Dona","Andalusia","Almeria",6
2019,9,"Sant Andreu",59,"el Bon Pastor","Dona","Andalusia","Almeria",51
2019,9,"Sant Andreu",60,"Sant Andreu","Dona","Andalusia","Almeria",159
2019,9,"Sant Andreu",61,"la Sagrera","Dona","Andalusia","Almeria",93
2019,9,"Sant Andreu",62,"el Congrés i els Indians","Dona","Andalusia","Almeria",35
2019,9,"Sant Andreu",63,"Navas","Dona","Andalusia","Almeria",56
2019,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Dona","Andalusia","Almeria",108
2019,10,"Sant Martí",65,"el Clot","Dona","Andalusia","Almeria",54
2019,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Dona","Andalusia","Almeria",41
2019,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Dona","Andalusia","Almeria",13
2019,10,"Sant Martí",68,"el Poblenou","Dona","Andalusia","Almeria",63
2019,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Dona","Andalusia","Almeria",36
2019,10,"Sant Martí",70,"el Besòs i el Maresme","Dona","Andalusia","Almeria",94
2019,10,"Sant Martí",71,"Provençals del Poblenou","Dona","Andalusia","Almeria",71
2019,10,"Sant Martí",72,"Sant Martí de Provençals","Dona","Andalusia","Almeria",106
2019,10,"Sant Martí",73,"la Verneda i la Pau","Dona","Andalusia","Almeria",126
2019,1,"Ciutat Vella",1,"el Raval","Dona","Andalusia","Cadis",77
2019,1,"Ciutat Vella",2,"el Barri Gòtic","Dona","Andalusia","Cadis",30
2019,1,"Ciutat Vella",3,"la Barceloneta","Dona","Andalusia","Cadis",35
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dona","Andalusia","Cadis",34
2019,2,"Eixample",5,"el Fort Pienc","Dona","Andalusia","Cadis",37
2019,2,"Eixample",6,"la Sagrada Família","Dona","Andalusia","Cadis",79
2019,2,"Eixample",7,"la Dreta de l'Eixample","Dona","Andalusia","Cadis",43
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dona","Andalusia","Cadis",62
2019,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Dona","Andalusia","Cadis",91
2019,2,"Eixample",10,"Sant Antoni","Dona","Andalusia","Cadis",46
2019,3,"Sants-Montjuïc",11,"el Poble Sec","Dona","Andalusia","Cadis",77
2019,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Dona","Andalusia","Cadis",1
2019,3,"Sants-Montjuïc",13,"la Marina de Port","Dona","Andalusia","Cadis",72
2019,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Dona","Andalusia","Cadis",15
2019,3,"Sants-Montjuïc",15,"Hostafrancs","Dona","Andalusia","Cadis",24
2019,3,"Sants-Montjuïc",16,"la Bordeta","Dona","Andalusia","Cadis",48
2019,3,"Sants-Montjuïc",17,"Sants - Badal","Dona","Andalusia","Cadis",35
2019,3,"Sants-Montjuïc",18,"Sants","Dona","Andalusia","Cadis",69
2019,4,"Les Corts",19,"les Corts","Dona","Andalusia","Cadis",63
2019,4,"Les Corts",20,"la Maternitat i Sant Ramon","Dona","Andalusia","Cadis",39
2019,4,"Les Corts",21,"Pedralbes","Dona","Andalusia","Cadis",13
2019,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Dona","Andalusia","Cadis",13
2019,5,"Sarrià-Sant Gervasi",23,"Sarrià","Dona","Andalusia","Cadis",23
