"Any","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Seccio_censal","Desc_tipus_propietari","Concepte","Valor"
2020,1,"Ciutat Vella",1,"el Raval",1,"Subjecte físic","Valor_cadastral",39942149.73
2020,1,"Ciutat Vella",1,"el Raval",1,"Subjecte jurídic","Valor_cadastral",112082432.15
2020,1,"Ciutat Vella",1,"el Raval",1,"Altres","Valor_cadastral",3822222.74
2020,1,"Ciutat Vella",1,"el Raval",2,"Subjecte físic","Valor_cadastral",37096632.26
2020,1,"Ciutat Vella",1,"el Raval",2,"Subjecte jurídic","Valor_cadastral",65643403.99
2020,1,"Ciutat Vella",1,"el Raval",2,"Comunitat de propietaris","Valor_cadastral",6650.8
2020,1,"Ciutat Vella",1,"el Raval",2,"Altres","Valor_cadastral",75823.96
2020,1,"Ciutat Vella",1,"el Raval",3,"Subjecte físic","Valor_cadastral",58598397.22
2020,1,"Ciutat Vella",1,"el Raval",3,"Subjecte jurídic","Valor_cadastral",69139764.07
2020,1,"Ciutat Vella",1,"el Raval",3,"Comunitat de propietaris","Valor_cadastral",5906.01
2020,1,"Ciutat Vella",1,"el Raval",3,"Altres","Valor_cadastral",342096.95
2020,1,"Ciutat Vella",1,"el Raval",4,"Subjecte físic","Valor_cadastral",64011493.76
2020,1,"Ciutat Vella",1,"el Raval",4,"Subjecte jurídic","Valor_cadastral",137436940.42
2020,1,"Ciutat Vella",1,"el Raval",4,"Comunitat de propietaris","Valor_cadastral",27324.36
2020,1,"Ciutat Vella",1,"el Raval",4,"Altres","Valor_cadastral",240700.72
2020,1,"Ciutat Vella",1,"el Raval",5,"Subjecte físic","Valor_cadastral",71600478.3
2020,1,"Ciutat Vella",1,"el Raval",5,"Subjecte jurídic","Valor_cadastral",166986343.82
2020,1,"Ciutat Vella",1,"el Raval",5,"Comunitat de propietaris","Valor_cadastral",7746.63
2020,1,"Ciutat Vella",1,"el Raval",5,"Altres","Valor_cadastral",23292576.14
2020,1,"Ciutat Vella",1,"el Raval",6,"Subjecte físic","Valor_cadastral",52409317.32
2020,1,"Ciutat Vella",1,"el Raval",6,"Subjecte jurídic","Valor_cadastral",64593235.29
2020,1,"Ciutat Vella",1,"el Raval",6,"Altres","Valor_cadastral",315806.26
2020,1,"Ciutat Vella",1,"el Raval",7,"Subjecte físic","Valor_cadastral",46126803.55
2020,1,"Ciutat Vella",1,"el Raval",7,"Subjecte jurídic","Valor_cadastral",59786566.26
2020,1,"Ciutat Vella",1,"el Raval",7,"Altres","Valor_cadastral",2485745.78
2020,1,"Ciutat Vella",1,"el Raval",8,"Subjecte físic","Valor_cadastral",41118744.21
2020,1,"Ciutat Vella",1,"el Raval",8,"Subjecte jurídic","Valor_cadastral",36747716.56
2020,1,"Ciutat Vella",1,"el Raval",8,"Altres","Valor_cadastral",738579.88
2020,1,"Ciutat Vella",1,"el Raval",9,"Subjecte físic","Valor_cadastral",49107228.13
2020,1,"Ciutat Vella",1,"el Raval",9,"Subjecte jurídic","Valor_cadastral",20730213.07
2020,1,"Ciutat Vella",1,"el Raval",9,"Altres","Valor_cadastral",24193.16
2020,1,"Ciutat Vella",1,"el Raval",10,"Subjecte físic","Valor_cadastral",40157760.98
2020,1,"Ciutat Vella",1,"el Raval",10,"Subjecte jurídic","Valor_cadastral",27501922.22
2020,1,"Ciutat Vella",1,"el Raval",10,"Comunitat de propietaris","Valor_cadastral",18381.37
2020,1,"Ciutat Vella",1,"el Raval",10,"Altres","Valor_cadastral",45318.34
2020,1,"Ciutat Vella",1,"el Raval",11,"Subjecte físic","Valor_cadastral",57390858.45
2020,1,"Ciutat Vella",1,"el Raval",11,"Subjecte jurídic","Valor_cadastral",48774555.23
2020,1,"Ciutat Vella",1,"el Raval",11,"Altres","Valor_cadastral",1788134.45
2020,1,"Ciutat Vella",1,"el Raval",12,"Subjecte físic","Valor_cadastral",46800417.89
2020,1,"Ciutat Vella",1,"el Raval",12,"Subjecte jurídic","Valor_cadastral",21696614.2
2020,1,"Ciutat Vella",1,"el Raval",12,"Altres","Valor_cadastral",361456.64
2020,1,"Ciutat Vella",1,"el Raval",13,"Subjecte físic","Valor_cadastral",35062438.57
2020,1,"Ciutat Vella",1,"el Raval",13,"Subjecte jurídic","Valor_cadastral",16019954.13
2020,1,"Ciutat Vella",1,"el Raval",13,"Altres","Valor_cadastral",1079487.16
2020,1,"Ciutat Vella",1,"el Raval",14,"Subjecte físic","Valor_cadastral",36236307.57
2020,1,"Ciutat Vella",1,"el Raval",14,"Subjecte jurídic","Valor_cadastral",15337601.2
2020,1,"Ciutat Vella",1,"el Raval",14,"Altres","Valor_cadastral",42385.45
2020,1,"Ciutat Vella",1,"el Raval",15,"Subjecte físic","Valor_cadastral",56221949.34
2020,1,"Ciutat Vella",1,"el Raval",15,"Subjecte jurídic","Valor_cadastral",22807490.76
2020,1,"Ciutat Vella",1,"el Raval",15,"Comunitat de propietaris","Valor_cadastral",1247561.04
2020,1,"Ciutat Vella",1,"el Raval",15,"Altres","Valor_cadastral",388176.9
2020,1,"Ciutat Vella",1,"el Raval",16,"Subjecte físic","Valor_cadastral",57437402.21
2020,1,"Ciutat Vella",1,"el Raval",16,"Subjecte jurídic","Valor_cadastral",16939760.01
2020,1,"Ciutat Vella",1,"el Raval",16,"Altres","Valor_cadastral",206711.55
2020,1,"Ciutat Vella",1,"el Raval",17,"Subjecte físic","Valor_cadastral",43669231.76
2020,1,"Ciutat Vella",1,"el Raval",17,"Subjecte jurídic","Valor_cadastral",14094116.01
2020,1,"Ciutat Vella",1,"el Raval",17,"Altres","Valor_cadastral",2243854.35
2020,1,"Ciutat Vella",1,"el Raval",18,"Subjecte físic","Valor_cadastral",37362002.15
2020,1,"Ciutat Vella",1,"el Raval",18,"Subjecte jurídic","Valor_cadastral",92281960.72
2020,1,"Ciutat Vella",1,"el Raval",18,"Altres","Valor_cadastral",1983773.37
2020,1,"Ciutat Vella",1,"el Raval",19,"Subjecte físic","Valor_cadastral",79003178.48
2020,1,"Ciutat Vella",1,"el Raval",19,"Subjecte jurídic","Valor_cadastral",127770360.87
2020,1,"Ciutat Vella",1,"el Raval",19,"Comunitat de propietaris","Valor_cadastral",18138.83
2020,1,"Ciutat Vella",1,"el Raval",19,"Altres","Valor_cadastral",89340.76
2020,1,"Ciutat Vella",1,"el Raval",20,"Subjecte físic","Valor_cadastral",109080923.86
2020,1,"Ciutat Vella",1,"el Raval",20,"Subjecte jurídic","Valor_cadastral",198587796.38
2020,1,"Ciutat Vella",1,"el Raval",20,"Altres","Valor_cadastral",453374.78
2020,1,"Ciutat Vella",1,"el Raval",21,"Subjecte físic","Valor_cadastral",122802414.74
2020,1,"Ciutat Vella",1,"el Raval",21,"Subjecte jurídic","Valor_cadastral",303095451.02
2020,1,"Ciutat Vella",1,"el Raval",21,"Comunitat de propietaris","Valor_cadastral",10650.62
2020,1,"Ciutat Vella",1,"el Raval",21,"Altres","Valor_cadastral",9970948.85
2020,1,"Ciutat Vella",2,"el Gòtic",22,"Subjecte físic","Valor_cadastral",136918716.26
2020,1,"Ciutat Vella",2,"el Gòtic",22,"Subjecte jurídic","Valor_cadastral",634745448.72
2020,1,"Ciutat Vella",2,"el Gòtic",22,"Comunitat de propietaris","Valor_cadastral",139900.21
2020,1,"Ciutat Vella",2,"el Gòtic",22,"Altres","Valor_cadastral",50707857.28
2020,1,"Ciutat Vella",2,"el Gòtic",23,"Subjecte físic","Valor_cadastral",177821396.37
2020,1,"Ciutat Vella",2,"el Gòtic",23,"Subjecte jurídic","Valor_cadastral",447077287.24
2020,1,"Ciutat Vella",2,"el Gòtic",23,"Altres","Valor_cadastral",215764.7
2020,1,"Ciutat Vella",2,"el Gòtic",25,"Subjecte físic","Valor_cadastral",88930600.68
2020,1,"Ciutat Vella",2,"el Gòtic",25,"Subjecte jurídic","Valor_cadastral",138218996.93
2020,1,"Ciutat Vella",2,"el Gòtic",25,"Comunitat de propietaris","Valor_cadastral",53573.46
2020,1,"Ciutat Vella",2,"el Gòtic",25,"Altres","Valor_cadastral",2083041.15
2020,1,"Ciutat Vella",2,"el Gòtic",26,"Subjecte físic","Valor_cadastral",72578015.57
2020,1,"Ciutat Vella",2,"el Gòtic",26,"Subjecte jurídic","Valor_cadastral",144189331.76
2020,1,"Ciutat Vella",2,"el Gòtic",26,"Comunitat de propietaris","Valor_cadastral",16493.08
2020,1,"Ciutat Vella",2,"el Gòtic",26,"Altres","Valor_cadastral",4737616.16
2020,1,"Ciutat Vella",2,"el Gòtic",27,"Subjecte físic","Valor_cadastral",78932353.55
2020,1,"Ciutat Vella",2,"el Gòtic",27,"Subjecte jurídic","Valor_cadastral",111622860.35
2020,1,"Ciutat Vella",2,"el Gòtic",27,"Comunitat de propietaris","Valor_cadastral",337233.77
2020,1,"Ciutat Vella",2,"el Gòtic",27,"Altres","Valor_cadastral",622836.54
2020,1,"Ciutat Vella",2,"el Gòtic",28,"Subjecte físic","Valor_cadastral",162432659.95
2020,1,"Ciutat Vella",2,"el Gòtic",28,"Subjecte jurídic","Valor_cadastral",178162539.68
2020,1,"Ciutat Vella",2,"el Gòtic",28,"Comunitat de propietaris","Valor_cadastral",2257.87
2020,1,"Ciutat Vella",2,"el Gòtic",28,"Altres","Valor_cadastral",4048309.4
2020,1,"Ciutat Vella",2,"el Gòtic",29,"Subjecte físic","Valor_cadastral",89830192.57
2020,1,"Ciutat Vella",2,"el Gòtic",29,"Subjecte jurídic","Valor_cadastral",81463616.7
2020,1,"Ciutat Vella",2,"el Gòtic",29,"Comunitat de propietaris","Valor_cadastral",30687.53
2020,1,"Ciutat Vella",2,"el Gòtic",29,"Altres","Valor_cadastral",191219.24
2020,1,"Ciutat Vella",2,"el Gòtic",30,"Subjecte físic","Valor_cadastral",113784793.86
2020,1,"Ciutat Vella",2,"el Gòtic",30,"Subjecte jurídic","Valor_cadastral",147509745.53
2020,1,"Ciutat Vella",2,"el Gòtic",30,"Altres","Valor_cadastral",725411.06
2020,1,"Ciutat Vella",2,"el Gòtic",31,"Subjecte físic","Valor_cadastral",68578839.29
2020,1,"Ciutat Vella",2,"el Gòtic",31,"Subjecte jurídic","Valor_cadastral",84180831.76
2020,1,"Ciutat Vella",2,"el Gòtic",31,"Comunitat de propietaris","Valor_cadastral",7899.95
2020,1,"Ciutat Vella",2,"el Gòtic",31,"Altres","Valor_cadastral",749134.63
2020,1,"Ciutat Vella",3,"la Barceloneta",32,"Subjecte físic","Valor_cadastral",66918305.74
2020,1,"Ciutat Vella",3,"la Barceloneta",32,"Subjecte jurídic","Valor_cadastral",37932777.58
2020,1,"Ciutat Vella",3,"la Barceloneta",32,"Altres","Valor_cadastral",3184245.88
2020,1,"Ciutat Vella",3,"la Barceloneta",33,"Subjecte físic","Valor_cadastral",32357626.02
