"Unnamed: 0","Unnamed: 1","2012","Unnamed: 3","2011","Unnamed: 5","Unnamed: 6","2010","Unnamed: 8","Unnamed: 9","2009","Unnamed: 11","Unnamed: 12","2008","Unnamed: 14","Unnamed: 15","2007","Unnamed: 17","Unnamed: 18"
1,"1. el Raval","65,7","","71,2","76,0","","80,4","81,4","","84,7","88,3","","96,5","103,5","","113,3","117,7",""
1,"2. el Barri Gòtic","70,8","","73,0","79,0","","83,6","82,5","","80,9","86,8","","96,8","103,2","","110,6","108,5",""
1,"3. la Barceloneta","75,5","","79,7","84,1","","90,1","87,0","","87,3","94,1","","99,4","100,6","","109,6","112,8",""
1,"4. Sant Pere, Santa Caterina i la Ribera","72,2","","77,7","82,6","","86,2","87,3","","86,1","87,7","","96,3","103,7","","110,1","113,5",""
2,"5. el Fort Pienc","74,0","","78,6","84,8","","87,2","89,9","","92,5","91,9","","98,1","101,9","","108,8","111,1",""
2,"6. la Sagrada Família","73,0","","78,9","83,1","","87,8","87,0","","87,3","89,2","","96,6","103,4","","110,9","111,5",""
2,"7. la Dreta de l'Eixample","78,0","","84,1","88,1","","96,6","91,2","","93,3","93,5","","98,9","101,1","","110,5","109,4",""
2,"8. l'Antiga Esquerra de l'Eixample","72,9","","78,3","83,2","","87,6","87,8","","90,3","90,5","","97,4","102,6","","109,8","110,9",""
2,"9. la Nova Esquerra de l'Eixample","70,7","","76,7","81,5","","89,0","89,4","","88,6","91,7","","97,7","102,3","","108,7","112,3",""
2,"10. Sant Antoni","71,3","","77,2","82,2","","85,3","86,8","","90,2","88,8","","96,5","103,5","","109,7","109,9",""
3,"11. el Poble Sec - Parc Montjuïc","65,3","","71,7","76,7","","81,8","81,6","","85,1","87,6","","95,9","104,1","","112,2","113,7",""
3,"12. la Marina del Prat Vermell - Zona Franca","--","","--","--","","--","--","","--","--","","--","--","","--","--",""
3,"13. la Marina de Port","77,4","","78,2","82,1","","86,5","87,6","","92,6","91,0","","95,4","104,6","","111,1","114,5",""
3,"14. la Font de la Guatlla","69,7","","75,3","80,5","","85,6","89,6","","90,7","93,6","","97,3","102,7","","111,3","114,6",""
3,"15. Hostafrancs","70,6","","72,9","77,9","","83,5","84,2","","86,5","88,2","","95,5","104,5","","114,1","113,3",""
3,"16. la Bordeta","67,5","","73,4","81,1","","86,2","88,6","","89,4","88,3","","97,6","102,4","","109,3","110,6",""
3,"17. Sants - Badal","69,8","","71,7","76,5","","79,6","82,8","","83,2","88,1","","96,9","103,1","","108,8","114,3",""
3,"18. Sants","68,4","","72,2","78,2","","81,3","84,1","","87,3","88,8","","96,0","104,0","","109,7","115,7",""
4,"19. les Corts","79,7","","86,3","85,7","","91,6","88,8","","88,6","90,1","","96,2","103,8","","105,7","110,7",""
4,"20. la Maternitat i Sant Ramon","72,9","","77,7","81,8","","87,8","89,7","","89,8","92,7","","97,8","102,2","","107,6","112,7",""
4,"21. Pedralbes","88,3","","90,6","92,2","","103,5","102,8","","102,1","94,0","","98,7","101,3","","106,1","109,7",""
5,"22. Vallvidrera, el Tibidabo i les Planes","76,2","","77,6","81,6","","86,4","87,3","","86,8","92,0","","99,7","100,3","","104,9","97,9",""
5,"23. Sarrià","81,6","","85,7","86,8","","94,5","95,5","","95,4","97,3","","99,0","101,0","","107,1","110,4",""
5,"24. les Tres Torres","75,6","","81,7","85,0","","91,8","90,5","","95,9","96,0","","98,5","101,5","","103,7","105,9",""
5,"25. Sant Gervasi - la Bonanova","76,5","","79,9","86,4","","93,6","90,2","","93,7","91,8","","97,6","102,4","","113,8","109,9",""
5,"26. Sant Gervasi - Galvany","76,4","","80,8","84,5","","90,2","90,4","","92,1","94,7","","98,2","101,8","","105,4","104,2",""
5,"27. el Putxet i el Farró","72,9","","78,9","82,9","","86,3","87,7","","89,6","93,8","","98,8","101,2","","107,7","106,4",""
6,"28. Vallcarca i els Penitents","77,7","","83,4","85,8","","85,8","87,0","","88,6","91,3","","99,4","100,6","","107,3","108,9",""
6,"29. el Coll","67,4","","72,8","81,1","","86,0","88,1","","90,0","88,1","","93,2","106,8","","106,7","113,5",""
6,"30. la Salut","77,0","","80,2","85,1","","89,2","88,1","","89,6","88,7","","96,7","103,3","","109,8","111,8",""
6,"31. la Vila de Gràcia","72,4","","78,7","85,1","","89,9","93,2","","93,7","92,2","","95,9","104,1","","108,2","111,8",""
6,"32. el Camp d'en Grassot i Gràcia Nova","74,7","","79,0","84,4","","90,0","89,8","","90,9","93,0","","96,8","103,2","","108,9","111,1",""
7,"33. el Baix Guinardó","71,5","","75,9","85,7","","90,0","87,9","","90,6","90,8","","96,6","103,4","","107,5","111,0",""
7,"34. Can Baró","67,9","","74,1","77,6","","83,0","82,5","","86,1","90,5","","96,5","103,5","","108,2","105,3",""
7,"35. el Guinardó","74,0","","76,1","81,1","","85,1","87,0","","89,3","89,4","","96,3","103,7","","110,6","111,1",""
7,"36. la Font d'en Fargues","77,6","","78,9","85,6","","88,3","85,9","","86,7","90,0","","97,9","102,1","","114,3","117,5",""
7,"37. el Carmel","66,8","","72,3","77,5","","85,2","85,9","","83,1","88,3","","97,0","103,0","","112,0","113,4",""
7,"38. la Teixonera","65,1","","70,7","76,4","","81,8","82,6","","81,4","89,1","","97,1","102,9","","105,9","115,3",""
7,"39. Sant Genís dels Agudells","69,9","","74,1","78,6","","82,8","86,0","","80,8","86,5","","95,1","104,9","","109,8","109,2",""
7,"40. Montbau","72,0","","73,4","75,2","","81,5","85,1","","88,4","89,6","","98,0","102,0","","109,8","109,2",""
7,"41. la Vall d'Hebron","73,8","","80,1","88,4","","96,6","92,1","","98,7","94,9","","97,4","102,6","","110,0","120,2",""
7,"42. la Clota","--","","--","--","","--","--","","--","--","","--","--","","--","--",""
7,"43. Horta","69,8","","75,0","80,7","","83,4","84,3","","87,1","90,0","","96,8","103,2","","111,5","114,1",""
8,"44. Vilapicina i la Torre Llobeta","67,3","","74,1","78,2","","82,5","85,5","","84,0","90,5","","97,3","102,7","","112,6","116,0",""
8,"45. Porta","64,4","","70,1","76,5","","81,8","82,6","","86,3","86,6","","97,5","102,5","","110,1","118,6",""
8,"46. el Turó de la Peira","63,6","","71,5","77,0","","85,3","81,6","","84,3","89,6","","96,3","103,7","","113,7","117,5",""
8,"47. Can Peguera","--","","--","--","","--","--","","--","--","","--","--","","--","--",""
8,"48. la Guineueta","66,9","","73,3","78,1","","79,3","82,9","","82,7","90,4","","98,9","101,1","","108,4","113,0",""
8,"49. Canyelles","69,4","","80,9","83,3","","90,4","90,6","","84,9","94,0","","96,6","103,4","","112,7","122,6",""
8,"50. les Roquetes","62,8","","69,1","75,1","","79,4","83,3","","85,5","93,1","","95,9","104,1","","115,0","119,1",""
8,"51. Verdun","62,0","","71,6","76,6","","81,9","83,2","","85,4","88,3","","96,2","103,8","","115,4","115,8",""
8,"52. la Prosperitat","63,9","","70,6","76,3","","80,1","79,9","","83,5","87,5","","96,6","103,4","","112,2","115,3",""
8,"53. la Trinitat Nova","57,3","","61,5","68,7","","77,1","76,8","","85,0","89,0","","95,5","104,5","","115,8","121,2",""
8,"54. Torre Baró","60,4","","68,6","69,6","","73,4","81,9","","88,6","95,4","","94,4","105,6","","125,0","--",""
8,"55. Ciutat Meridiana","50,9","","56,5","64,3","","70,5","69,5","","79,3","84,9","","95,4","104,6","","110,3","114,6",""
8,"56. Vallbona","--","","--","--","","--","--","","--","--","","--","--","","--","--",""
9,"57. la Trinitat Vella","59,6","","62,6","68,2","","71,3","76,3","","80,8","83,2","","97,4","102,6","","110,2","106,2",""
9,"58. Baró de Viver","75,7","","75,6","81,7","","81,6","97,8","","96,6","91,4","","95,6","104,4","","95,4","121,9",""
