"Any","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Seccio_censal","Desc_us_desti_principal","Concepte","Nombre"
2020,1,"Ciutat Vella",1,"el Raval",1,"Habitatge","Valor_€",66843289.37
2020,1,"Ciutat Vella",1,"el Raval",1,"Aparcaments","Valor_€",2085314.09
2020,1,"Ciutat Vella",1,"el Raval",1,"Comerç","Valor_€",11496160.2
2020,1,"Ciutat Vella",1,"el Raval",1,"Magatzem","Valor_€",8153377.19
2020,1,"Ciutat Vella",1,"el Raval",1,"Oficina","Valor_€",19477571.05
2020,1,"Ciutat Vella",1,"el Raval",1,"Hotel","Valor_€",5839170.76
2020,1,"Ciutat Vella",1,"el Raval",1,"Ensenyament","Valor_€",24542663.44
2020,1,"Ciutat Vella",1,"el Raval",1,"Sanitat","Valor_€",3702630.96
2020,1,"Ciutat Vella",1,"el Raval",1,"Religiós","Valor_€",976395.84
2020,1,"Ciutat Vella",1,"el Raval",1,"Adm.Pública","Valor_€",9485613.64
2020,1,"Ciutat Vella",1,"el Raval",1,"Espectacles","Valor_€",379007.09
2020,1,"Ciutat Vella",1,"el Raval",2,"Habitatge","Valor_€",50391861.47
2020,1,"Ciutat Vella",1,"el Raval",2,"Aparcaments","Valor_€",980732.84
2020,1,"Ciutat Vella",1,"el Raval",2,"Comerç","Valor_€",6962714.81
2020,1,"Ciutat Vella",1,"el Raval",2,"Magatzem","Valor_€",4241510.92
2020,1,"Ciutat Vella",1,"el Raval",2,"Oficina","Valor_€",682258.77
2020,1,"Ciutat Vella",1,"el Raval",2,"Hotel","Valor_€",21832501.2
2020,1,"Ciutat Vella",1,"el Raval",2,"Ensenyament","Valor_€",7860726.51
2020,1,"Ciutat Vella",1,"el Raval",2,"Esportiu","Valor_€",2089744.07
2020,1,"Ciutat Vella",1,"el Raval",2,"Espectacles","Valor_€",6251614.32
2020,1,"Ciutat Vella",1,"el Raval",3,"Habitatge","Valor_€",71770437.46
2020,1,"Ciutat Vella",1,"el Raval",3,"Aparcaments","Valor_€",8225259.18
2020,1,"Ciutat Vella",1,"el Raval",3,"Comerç","Valor_€",10060146.33
2020,1,"Ciutat Vella",1,"el Raval",3,"Magatzem","Valor_€",2885028.32
2020,1,"Ciutat Vella",1,"el Raval",3,"Oficina","Valor_€",5319242.98
2020,1,"Ciutat Vella",1,"el Raval",3,"Hotel","Valor_€",21414058.97
2020,1,"Ciutat Vella",1,"el Raval",3,"Ensenyament","Valor_€",125338.23
2020,1,"Ciutat Vella",1,"el Raval",3,"Sanitat","Valor_€",7751059.75
2020,1,"Ciutat Vella",1,"el Raval",3,"Esportiu","Valor_€",37800.3
2020,1,"Ciutat Vella",1,"el Raval",3,"Espectacles","Valor_€",226466.11
2020,1,"Ciutat Vella",1,"el Raval",3,"Altres","Valor_€",264885.62
2020,1,"Ciutat Vella",1,"el Raval",4,"Habitatge","Valor_€",93477064.85
2020,1,"Ciutat Vella",1,"el Raval",4,"Aparcaments","Valor_€",9616135.12
2020,1,"Ciutat Vella",1,"el Raval",4,"Comerç","Valor_€",14898780.9
2020,1,"Ciutat Vella",1,"el Raval",4,"Magatzem","Valor_€",6376804.83
2020,1,"Ciutat Vella",1,"el Raval",4,"Oficina","Valor_€",5831309.24
2020,1,"Ciutat Vella",1,"el Raval",4,"Hotel","Valor_€",33404517.85
2020,1,"Ciutat Vella",1,"el Raval",4,"Ensenyament","Valor_€",18647451.15
2020,1,"Ciutat Vella",1,"el Raval",4,"Esportiu","Valor_€",2966872.79
2020,1,"Ciutat Vella",1,"el Raval",4,"Religiós","Valor_€",1503112.8
2020,1,"Ciutat Vella",1,"el Raval",4,"Adm.Pública","Valor_€",6535214.39
2020,1,"Ciutat Vella",1,"el Raval",4,"Espectacles","Valor_€",4538062.83
2020,1,"Ciutat Vella",1,"el Raval",5,"Habitatge","Valor_€",98744697.45
2020,1,"Ciutat Vella",1,"el Raval",5,"Aparcaments","Valor_€",4082983.68
2020,1,"Ciutat Vella",1,"el Raval",5,"Comerç","Valor_€",26076834.62
2020,1,"Ciutat Vella",1,"el Raval",5,"Magatzem","Valor_€",7923337.67
2020,1,"Ciutat Vella",1,"el Raval",5,"Oficina","Valor_€",1283606.09
2020,1,"Ciutat Vella",1,"el Raval",5,"Hotel","Valor_€",54186247.86
2020,1,"Ciutat Vella",1,"el Raval",5,"Adm.Pública","Valor_€",3488764.16
2020,1,"Ciutat Vella",1,"el Raval",5,"Espectacles","Valor_€",66074469.72
2020,1,"Ciutat Vella",1,"el Raval",5,"Altres","Valor_€",4811.65
2020,1,"Ciutat Vella",1,"el Raval",6,"Habitatge","Valor_€",61516021.54
2020,1,"Ciutat Vella",1,"el Raval",6,"Aparcaments","Valor_€",2865486.99
2020,1,"Ciutat Vella",1,"el Raval",6,"Comerç","Valor_€",8741338.38
2020,1,"Ciutat Vella",1,"el Raval",6,"Magatzem","Valor_€",2568696.84
2020,1,"Ciutat Vella",1,"el Raval",6,"Oficina","Valor_€",312132.32
2020,1,"Ciutat Vella",1,"el Raval",6,"Hotel","Valor_€",31072932.34
2020,1,"Ciutat Vella",1,"el Raval",6,"Sanitat","Valor_€",1437419.92
2020,1,"Ciutat Vella",1,"el Raval",6,"Religiós","Valor_€",5772002.92
2020,1,"Ciutat Vella",1,"el Raval",6,"Espectacles","Valor_€",3020203.62
2020,1,"Ciutat Vella",1,"el Raval",7,"Habitatge","Valor_€",56544688.33
2020,1,"Ciutat Vella",1,"el Raval",7,"Aparcaments","Valor_€",3802172.02
2020,1,"Ciutat Vella",1,"el Raval",7,"Comerç","Valor_€",8992613.71
2020,1,"Ciutat Vella",1,"el Raval",7,"Magatzem","Valor_€",4095721.6
2020,1,"Ciutat Vella",1,"el Raval",7,"Oficina","Valor_€",9650317.48
2020,1,"Ciutat Vella",1,"el Raval",7,"Hotel","Valor_€",14550209.43
2020,1,"Ciutat Vella",1,"el Raval",7,"Esportiu","Valor_€",26989.73
2020,1,"Ciutat Vella",1,"el Raval",7,"Espectacles","Valor_€",10676504.3
2020,1,"Ciutat Vella",1,"el Raval",8,"Habitatge","Valor_€",62827893.58
2020,1,"Ciutat Vella",1,"el Raval",8,"Aparcaments","Valor_€",1883682.75
2020,1,"Ciutat Vella",1,"el Raval",8,"Comerç","Valor_€",4328703.46
2020,1,"Ciutat Vella",1,"el Raval",8,"Magatzem","Valor_€",2305828.43
2020,1,"Ciutat Vella",1,"el Raval",8,"Hotel","Valor_€",637384.39
2020,1,"Ciutat Vella",1,"el Raval",8,"Indústria","Valor_€",269536.96
2020,1,"Ciutat Vella",1,"el Raval",8,"Sanitat","Valor_€",3042927.58
2020,1,"Ciutat Vella",1,"el Raval",9,"Habitatge","Valor_€",54798484.97
2020,1,"Ciutat Vella",1,"el Raval",9,"Aparcaments","Valor_€",2151271.92
2020,1,"Ciutat Vella",1,"el Raval",9,"Comerç","Valor_€",6722983.42
2020,1,"Ciutat Vella",1,"el Raval",9,"Magatzem","Valor_€",1698726.16
2020,1,"Ciutat Vella",1,"el Raval",9,"Oficina","Valor_€",1075652.55
2020,1,"Ciutat Vella",1,"el Raval",9,"Hotel","Valor_€",48835.8
2020,1,"Ciutat Vella",1,"el Raval",9,"Ensenyament","Valor_€",2494925.72
2020,1,"Ciutat Vella",1,"el Raval",9,"Esportiu","Valor_€",564052.69
2020,1,"Ciutat Vella",1,"el Raval",9,"Sòl sense edificar","Valor_€",9549.63
2020,1,"Ciutat Vella",1,"el Raval",10,"Habitatge","Valor_€",46092515.16
2020,1,"Ciutat Vella",1,"el Raval",10,"Aparcaments","Valor_€",3060271.59
2020,1,"Ciutat Vella",1,"el Raval",10,"Comerç","Valor_€",6327872.44
2020,1,"Ciutat Vella",1,"el Raval",10,"Magatzem","Valor_€",6017304.43
2020,1,"Ciutat Vella",1,"el Raval",10,"Oficina","Valor_€",864087.02
2020,1,"Ciutat Vella",1,"el Raval",10,"Hotel","Valor_€",5203191.55
2020,1,"Ciutat Vella",1,"el Raval",10,"Indústria","Valor_€",45947.96
2020,1,"Ciutat Vella",1,"el Raval",10,"Esportiu","Valor_€",112192.76
2020,1,"Ciutat Vella",1,"el Raval",11,"Habitatge","Valor_€",76314241.64
2020,1,"Ciutat Vella",1,"el Raval",11,"Aparcaments","Valor_€",773870.23
2020,1,"Ciutat Vella",1,"el Raval",11,"Comerç","Valor_€",7929317.28
2020,1,"Ciutat Vella",1,"el Raval",11,"Magatzem","Valor_€",2651002.69
2020,1,"Ciutat Vella",1,"el Raval",11,"Oficina","Valor_€",2060222.59
2020,1,"Ciutat Vella",1,"el Raval",11,"Hotel","Valor_€",3182408.77
2020,1,"Ciutat Vella",1,"el Raval",11,"Ensenyament","Valor_€",11246411.72
2020,1,"Ciutat Vella",1,"el Raval",11,"Indústria","Valor_€",1243.69
2020,1,"Ciutat Vella",1,"el Raval",11,"Esportiu","Valor_€",2239950.3
2020,1,"Ciutat Vella",1,"el Raval",11,"Religiós","Valor_€",1127778.94
2020,1,"Ciutat Vella",1,"el Raval",11,"Espectacles","Valor_€",307061.27
2020,1,"Ciutat Vella",1,"el Raval",12,"Habitatge","Valor_€",59393711.74
2020,1,"Ciutat Vella",1,"el Raval",12,"Aparcaments","Valor_€",873156.83
2020,1,"Ciutat Vella",1,"el Raval",12,"Comerç","Valor_€",3847600.15
2020,1,"Ciutat Vella",1,"el Raval",12,"Magatzem","Valor_€",472140.55
2020,1,"Ciutat Vella",1,"el Raval",12,"Oficina","Valor_€",1822883.03
2020,1,"Ciutat Vella",1,"el Raval",12,"Ensenyament","Valor_€",1108415.47
2020,1,"Ciutat Vella",1,"el Raval",12,"Indústria","Valor_€",156694.9
2020,1,"Ciutat Vella",1,"el Raval",12,"Religiós","Valor_€",1182446.05
2020,1,"Ciutat Vella",1,"el Raval",13,"Habitatge","Valor_€",42678092.9
2020,1,"Ciutat Vella",1,"el Raval",13,"Aparcaments","Valor_€",1315718.01
2020,1,"Ciutat Vella",1,"el Raval",13,"Comerç","Valor_€",4336186.6
2020,1,"Ciutat Vella",1,"el Raval",13,"Magatzem","Valor_€",1856233.29
2020,1,"Ciutat Vella",1,"el Raval",13,"Hotel","Valor_€",1964824.06
2020,1,"Ciutat Vella",1,"el Raval",14,"Habitatge","Valor_€",46884784.27
2020,1,"Ciutat Vella",1,"el Raval",14,"Aparcaments","Valor_€",441938.17
2020,1,"Ciutat Vella",1,"el Raval",14,"Comerç","Valor_€",3502472.8
2020,1,"Ciutat Vella",1,"el Raval",14,"Magatzem","Valor_€",618016.5
2020,1,"Ciutat Vella",1,"el Raval",14,"Hotel","Valor_€",161522.48
2020,1,"Ciutat Vella",1,"el Raval",15,"Habitatge","Valor_€",63577840.5
2020,1,"Ciutat Vella",1,"el Raval",15,"Aparcaments","Valor_€",2246828.66
