"Any","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Seccio_censal","Any_construccio","Nombre"
2020,1,"Ciutat Vella",1,"el Raval",1,"Abans de 1901",33
2020,1,"Ciutat Vella",1,"el Raval",1,"1901 - 1940",10
2020,1,"Ciutat Vella",1,"el Raval",1,"1941 - 1950",9
2020,1,"Ciutat Vella",1,"el Raval",1,"1951 - 1960",3
2020,1,"Ciutat Vella",1,"el Raval",1,"1961 - 1970",4
2020,1,"Ciutat Vella",1,"el Raval",1,"1971 - 1980",10
2020,1,"Ciutat Vella",1,"el Raval",1,"1981 - 1990",5
2020,1,"Ciutat Vella",1,"el Raval",1,"1991 - 2000",7
2020,1,"Ciutat Vella",1,"el Raval",1,"2011 - 2015",2
2020,1,"Ciutat Vella",1,"el Raval",2,"Abans de 1901",59
2020,1,"Ciutat Vella",1,"el Raval",2,"1901 - 1940",17
2020,1,"Ciutat Vella",1,"el Raval",2,"1951 - 1960",3
2020,1,"Ciutat Vella",1,"el Raval",2,"1961 - 1970",2
2020,1,"Ciutat Vella",1,"el Raval",2,"1981 - 1990",2
2020,1,"Ciutat Vella",1,"el Raval",2,"1991 - 2000",2
2020,1,"Ciutat Vella",1,"el Raval",2,"2001 - 2005",8
2020,1,"Ciutat Vella",1,"el Raval",2,"2006 - 2010",1
2020,1,"Ciutat Vella",1,"el Raval",3,"Abans de 1901",38
2020,1,"Ciutat Vella",1,"el Raval",3,"1941 - 1950",2
2020,1,"Ciutat Vella",1,"el Raval",3,"1961 - 1970",9
2020,1,"Ciutat Vella",1,"el Raval",3,"1971 - 1980",5
2020,1,"Ciutat Vella",1,"el Raval",3,"1981 - 1990",5
2020,1,"Ciutat Vella",1,"el Raval",3,"1991 - 2000",5
2020,1,"Ciutat Vella",1,"el Raval",3,"2001 - 2005",6
2020,1,"Ciutat Vella",1,"el Raval",3,"2006 - 2010",2
2020,1,"Ciutat Vella",1,"el Raval",4,"Abans de 1901",70
2020,1,"Ciutat Vella",1,"el Raval",4,"1901 - 1940",24
2020,1,"Ciutat Vella",1,"el Raval",4,"1941 - 1950",6
2020,1,"Ciutat Vella",1,"el Raval",4,"1951 - 1960",11
2020,1,"Ciutat Vella",1,"el Raval",4,"1961 - 1970",2
2020,1,"Ciutat Vella",1,"el Raval",4,"1971 - 1980",11
2020,1,"Ciutat Vella",1,"el Raval",4,"1981 - 1990",2
2020,1,"Ciutat Vella",1,"el Raval",4,"1991 - 2000",21
2020,1,"Ciutat Vella",1,"el Raval",4,"2001 - 2005",16
2020,1,"Ciutat Vella",1,"el Raval",4,"2006 - 2010",2
2020,1,"Ciutat Vella",1,"el Raval",4,"2011 - 2015",1
2020,1,"Ciutat Vella",1,"el Raval",5,"Abans de 1901",90
2020,1,"Ciutat Vella",1,"el Raval",5,"1901 - 1940",78
2020,1,"Ciutat Vella",1,"el Raval",5,"1941 - 1950",3
2020,1,"Ciutat Vella",1,"el Raval",5,"1961 - 1970",3
2020,1,"Ciutat Vella",1,"el Raval",5,"1981 - 1990",6
2020,1,"Ciutat Vella",1,"el Raval",5,"1991 - 2000",8
2020,1,"Ciutat Vella",1,"el Raval",5,"2001 - 2005",5
2020,1,"Ciutat Vella",1,"el Raval",5,"2006 - 2010",2
2020,1,"Ciutat Vella",1,"el Raval",6,"Abans de 1901",87
2020,1,"Ciutat Vella",1,"el Raval",6,"1901 - 1940",26
2020,1,"Ciutat Vella",1,"el Raval",6,"1951 - 1960",1
2020,1,"Ciutat Vella",1,"el Raval",6,"1961 - 1970",1
2020,1,"Ciutat Vella",1,"el Raval",6,"1971 - 1980",1
2020,1,"Ciutat Vella",1,"el Raval",6,"1991 - 2000",3
2020,1,"Ciutat Vella",1,"el Raval",6,"2006 - 2010",1
2020,1,"Ciutat Vella",1,"el Raval",7,"Abans de 1901",57
2020,1,"Ciutat Vella",1,"el Raval",7,"1901 - 1940",3
2020,1,"Ciutat Vella",1,"el Raval",7,"1981 - 1990",1
2020,1,"Ciutat Vella",1,"el Raval",7,"1991 - 2000",3
2020,1,"Ciutat Vella",1,"el Raval",7,"2001 - 2005",3
2020,1,"Ciutat Vella",1,"el Raval",7,"2006 - 2010",14
2020,1,"Ciutat Vella",1,"el Raval",7,"2011 - 2015",1
2020,1,"Ciutat Vella",1,"el Raval",8,"Abans de 1901",85
2020,1,"Ciutat Vella",1,"el Raval",8,"1901 - 1940",15
2020,1,"Ciutat Vella",1,"el Raval",8,"1941 - 1950",3
2020,1,"Ciutat Vella",1,"el Raval",8,"1951 - 1960",2
2020,1,"Ciutat Vella",1,"el Raval",8,"1961 - 1970",2
2020,1,"Ciutat Vella",1,"el Raval",8,"1971 - 1980",2
2020,1,"Ciutat Vella",1,"el Raval",8,"1991 - 2000",2
2020,1,"Ciutat Vella",1,"el Raval",8,"2006 - 2010",4
2020,1,"Ciutat Vella",1,"el Raval",8,"2011 - 2015",5
2020,1,"Ciutat Vella",1,"el Raval",9,"Abans de 1901",55
2020,1,"Ciutat Vella",1,"el Raval",9,"1901 - 1940",7
2020,1,"Ciutat Vella",1,"el Raval",9,"1951 - 1960",1
2020,1,"Ciutat Vella",1,"el Raval",9,"1961 - 1970",3
2020,1,"Ciutat Vella",1,"el Raval",9,"1971 - 1980",1
2020,1,"Ciutat Vella",1,"el Raval",9,"1991 - 2000",1
2020,1,"Ciutat Vella",1,"el Raval",9,"2001 - 2005",15
2020,1,"Ciutat Vella",1,"el Raval",10,"Abans de 1901",79
2020,1,"Ciutat Vella",1,"el Raval",10,"1901 - 1940",9
2020,1,"Ciutat Vella",1,"el Raval",10,"1941 - 1950",2
2020,1,"Ciutat Vella",1,"el Raval",10,"1961 - 1970",1
2020,1,"Ciutat Vella",1,"el Raval",10,"1971 - 1980",3
2020,1,"Ciutat Vella",1,"el Raval",10,"1991 - 2000",6
2020,1,"Ciutat Vella",1,"el Raval",10,"2001 - 2005",2
2020,1,"Ciutat Vella",1,"el Raval",10,"2006 - 2010",2
2020,1,"Ciutat Vella",1,"el Raval",11,"Abans de 1901",143
2020,1,"Ciutat Vella",1,"el Raval",11,"1901 - 1940",10
2020,1,"Ciutat Vella",1,"el Raval",11,"1941 - 1950",2
2020,1,"Ciutat Vella",1,"el Raval",11,"1961 - 1970",3
2020,1,"Ciutat Vella",1,"el Raval",11,"1971 - 1980",7
2020,1,"Ciutat Vella",1,"el Raval",11,"1981 - 1990",3
2020,1,"Ciutat Vella",1,"el Raval",11,"1991 - 2000",3
2020,1,"Ciutat Vella",1,"el Raval",11,"2001 - 2005",5
