"Any","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Seccio_censal","Desc_sup","Nombre"
2020,1,"Ciutat Vella",1,"el Raval",1,"Fins a 30 m2",111
2020,1,"Ciutat Vella",1,"el Raval",1,"31- 60 m2",324
2020,1,"Ciutat Vella",1,"el Raval",1,"61- 90 m2",218
2020,1,"Ciutat Vella",1,"el Raval",1,"91- 120 m2",105
2020,1,"Ciutat Vella",1,"el Raval",1,"121- 150 m2",27
2020,1,"Ciutat Vella",1,"el Raval",1,"151- 210 m2",20
2020,1,"Ciutat Vella",1,"el Raval",1,"211- 250 m2",2
2020,1,"Ciutat Vella",1,"el Raval",1,"Més de 250 m2",8
2020,1,"Ciutat Vella",1,"el Raval",2,"Fins a 30 m2",39
2020,1,"Ciutat Vella",1,"el Raval",2,"31- 60 m2",329
2020,1,"Ciutat Vella",1,"el Raval",2,"61- 90 m2",227
2020,1,"Ciutat Vella",1,"el Raval",2,"91- 120 m2",62
2020,1,"Ciutat Vella",1,"el Raval",2,"121- 150 m2",25
2020,1,"Ciutat Vella",1,"el Raval",2,"151- 210 m2",11
2020,1,"Ciutat Vella",1,"el Raval",2,"211- 250 m2",13
2020,1,"Ciutat Vella",1,"el Raval",2,"Més de 250 m2",7
2020,1,"Ciutat Vella",1,"el Raval",3,"Fins a 30 m2",86
2020,1,"Ciutat Vella",1,"el Raval",3,"31- 60 m2",759
2020,1,"Ciutat Vella",1,"el Raval",3,"61- 90 m2",369
2020,1,"Ciutat Vella",1,"el Raval",3,"91- 120 m2",95
2020,1,"Ciutat Vella",1,"el Raval",3,"121- 150 m2",16
2020,1,"Ciutat Vella",1,"el Raval",3,"151- 210 m2",8
2020,1,"Ciutat Vella",1,"el Raval",3,"211- 250 m2",1
2020,1,"Ciutat Vella",1,"el Raval",4,"Fins a 30 m2",92
2020,1,"Ciutat Vella",1,"el Raval",4,"31- 60 m2",657
2020,1,"Ciutat Vella",1,"el Raval",4,"61- 90 m2",524
2020,1,"Ciutat Vella",1,"el Raval",4,"91- 120 m2",143
2020,1,"Ciutat Vella",1,"el Raval",4,"121- 150 m2",17
2020,1,"Ciutat Vella",1,"el Raval",4,"151- 210 m2",23
2020,1,"Ciutat Vella",1,"el Raval",4,"211- 250 m2",1
2020,1,"Ciutat Vella",1,"el Raval",4,"Més de 250 m2",3
2020,1,"Ciutat Vella",1,"el Raval",5,"Fins a 30 m2",95
2020,1,"Ciutat Vella",1,"el Raval",5,"31- 60 m2",365
2020,1,"Ciutat Vella",1,"el Raval",5,"61- 90 m2",463
2020,1,"Ciutat Vella",1,"el Raval",5,"91- 120 m2",187
2020,1,"Ciutat Vella",1,"el Raval",5,"121- 150 m2",91
2020,1,"Ciutat Vella",1,"el Raval",5,"151- 210 m2",43
2020,1,"Ciutat Vella",1,"el Raval",5,"211- 250 m2",9
2020,1,"Ciutat Vella",1,"el Raval",5,"Més de 250 m2",13
2020,1,"Ciutat Vella",1,"el Raval",6,"Fins a 30 m2",66
2020,1,"Ciutat Vella",1,"el Raval",6,"31- 60 m2",328
2020,1,"Ciutat Vella",1,"el Raval",6,"61- 90 m2",253
2020,1,"Ciutat Vella",1,"el Raval",6,"91- 120 m2",113
2020,1,"Ciutat Vella",1,"el Raval",6,"121- 150 m2",98
2020,1,"Ciutat Vella",1,"el Raval",6,"151- 210 m2",36
2020,1,"Ciutat Vella",1,"el Raval",6,"211- 250 m2",5
2020,1,"Ciutat Vella",1,"el Raval",6,"Més de 250 m2",10
2020,1,"Ciutat Vella",1,"el Raval",7,"Fins a 30 m2",42
2020,1,"Ciutat Vella",1,"el Raval",7,"31- 60 m2",379
2020,1,"Ciutat Vella",1,"el Raval",7,"61- 90 m2",348
2020,1,"Ciutat Vella",1,"el Raval",7,"91- 120 m2",54
2020,1,"Ciutat Vella",1,"el Raval",7,"121- 150 m2",40
2020,1,"Ciutat Vella",1,"el Raval",7,"151- 210 m2",17
2020,1,"Ciutat Vella",1,"el Raval",7,"Més de 250 m2",7
2020,1,"Ciutat Vella",1,"el Raval",8,"Fins a 30 m2",50
2020,1,"Ciutat Vella",1,"el Raval",8,"31- 60 m2",900
2020,1,"Ciutat Vella",1,"el Raval",8,"61- 90 m2",210
2020,1,"Ciutat Vella",1,"el Raval",8,"91- 120 m2",75
2020,1,"Ciutat Vella",1,"el Raval",8,"121- 150 m2",10
2020,1,"Ciutat Vella",1,"el Raval",8,"151- 210 m2",8
2020,1,"Ciutat Vella",1,"el Raval",8,"Més de 250 m2",1
2020,1,"Ciutat Vella",1,"el Raval",9,"Fins a 30 m2",46
2020,1,"Ciutat Vella",1,"el Raval",9,"31- 60 m2",579
2020,1,"Ciutat Vella",1,"el Raval",9,"61- 90 m2",350
2020,1,"Ciutat Vella",1,"el Raval",9,"91- 120 m2",58
2020,1,"Ciutat Vella",1,"el Raval",9,"121- 150 m2",8
2020,1,"Ciutat Vella",1,"el Raval",9,"151- 210 m2",6
2020,1,"Ciutat Vella",1,"el Raval",10,"Fins a 30 m2",28
2020,1,"Ciutat Vella",1,"el Raval",10,"31- 60 m2",727
2020,1,"Ciutat Vella",1,"el Raval",10,"61- 90 m2",151
2020,1,"Ciutat Vella",1,"el Raval",10,"91- 120 m2",37
2020,1,"Ciutat Vella",1,"el Raval",10,"121- 150 m2",5
2020,1,"Ciutat Vella",1,"el Raval",10,"151- 210 m2",2
2020,1,"Ciutat Vella",1,"el Raval",10,"211- 250 m2",1
2020,1,"Ciutat Vella",1,"el Raval",10,"Més de 250 m2",10
2020,1,"Ciutat Vella",1,"el Raval",11,"Fins a 30 m2",123
2020,1,"Ciutat Vella",1,"el Raval",11,"31- 60 m2",1055
2020,1,"Ciutat Vella",1,"el Raval",11,"61- 90 m2",258
2020,1,"Ciutat Vella",1,"el Raval",11,"91- 120 m2",77
2020,1,"Ciutat Vella",1,"el Raval",11,"121- 150 m2",18
2020,1,"Ciutat Vella",1,"el Raval",11,"151- 210 m2",9
2020,1,"Ciutat Vella",1,"el Raval",11,"211- 250 m2",3
2020,1,"Ciutat Vella",1,"el Raval",11,"Més de 250 m2",2
2020,1,"Ciutat Vella",1,"el Raval",12,"Fins a 30 m2",97
2020,1,"Ciutat Vella",1,"el Raval",12,"31- 60 m2",609
2020,1,"Ciutat Vella",1,"el Raval",12,"61- 90 m2",291
2020,1,"Ciutat Vella",1,"el Raval",12,"91- 120 m2",33
2020,1,"Ciutat Vella",1,"el Raval",12,"121- 150 m2",14
2020,1,"Ciutat Vella",1,"el Raval",12,"151- 210 m2",10
