"Dte","Barris","2011","2010","2009","2008","2007","Unnamed: 7","Unnamed: 8","Unnamed: 9","Unnamed: 10","Unnamed: 11","Unnamed: 12","Unnamed: 13","Unnamed: 14","Unnamed: 15","Unnamed: 16","Unnamed: 17","Unnamed: 18","Unnamed: 19","Unnamed: 20","Unnamed: 21","Unnamed: 22"
1,"1. el Raval","13,67","13,87","14,51","14,51","15,47","","","","","","","","","","","","","","","",""
1,"2. el Barri Gòtic","13,81","13,82","14,39","14,39","15,76","","","","","","","","","","","","","","","",""
1,"3. la Barceloneta","16,94","17,88","18,45","18,45","18,65","","","","","","","","","","","","","","","",""
1,"4. Sant Pere, Santa Caterina i la Ribera","14,65","15,07","15,63","15,63","17,06","","","","","","","","","","","","","","","",""
2,"5. el Fort Pienc","11,88","12,38","12,73","12,73","13,85","","","","","","","","","","","","","","","",""
2,"6. la Sagrada Família","12,12","12,43","12,83","12,83","13,78","","","","","","","","","","","","","","","",""
2,"7. la Dreta de l'Eixample","13,03","14,44","14,19","14,19","15,33","","","","","","","","","","","","","","","",""
2,"8. l'Antiga Esquerra de l'Eixample","12,40","13,11","13,35","13,35","13,88","","","","","","","","","","","","","","","",""
2,"9. la Nova Esquerra de l'Eixample","12,23","12,69","12,99","12,99","13,34","","","","","","","","","","","","","","","",""
2,"10. Sant Antoni","11,78","12,46","13,09","13,09","13,52","","","","","","","","","","","","","","","",""
3,"11. el Poble Sec - Parc Montjuïc","11,98","12,73","12,90","12,90","12,80","","","","","","","","","","","","","","","",""
3,"12. la Marina del Prat Vermell - Zona Franca","--","--","--","--","--","","","","","","","","","","","","","","","",""
3,"13. la Marina de Port","10,38","10,99","11,32","11,32","12,43","","","","","","","","","","","","","","","",""
3,"14. la Font de la Guatlla","11,62","12,84","12,81","12,81","13,82","","","","","","","","","","","","","","","",""
3,"15. Hostafrancs","11,89","12,43","12,91","12,91","13,36","","","","","","","","","","","","","","","",""
3,"16. la Bordeta","10,89","11,32","12,00","12,00","11,93","","","","","","","","","","","","","","","",""
3,"17. Sants - Badal","11,52","11,96","12,41","12,41","12,82","","","","","","","","","","","","","","","",""
3,"18. Sants","11,56","12,18","12,62","12,62","12,95","","","","","","","","","","","","","","","",""
4,"19. les Corts","13,03","13,33","13,80","13,80","14,17","","","","","","","","","","","","","","","",""
4,"20. la Maternitat i Sant Ramon","12,17","12,49","12,91","12,91","13,94","","","","","","","","","","","","","","","",""
4,"21. Pedralbes","14,42","15,01","14,21","14,21","15,24","","","","","","","","","","","","","","","",""
5,"22. Vallvidrera, el Tibidabo i les Planes","11,63","12,07","13,40","13,40","12,96","","","","","","","","","","","","","","","",""
5,"23. Sarrià","15,11","15,54","15,44","15,44","15,88","","","","","","","","","","","","","","","",""
5,"24. les Tres Torres","14,03","14,89","14,58","14,58","14,78","","","","","","","","","","","","","","","",""
5,"25. Sant Gervasi - la Bonanova","13,73","14,02","14,24","14,24","13,68","","","","","","","","","","","","","","","",""
5,"26. Sant Gervasi - Galvany","13,22","14,03","14,18","14,18","14,70","","","","","","","","","","","","","","","",""
5,"27. el Putxet i el Farró","12,77","13,51","13,76","13,76","14,25","","","","","","","","","","","","","","","",""
6,"28. Vallcarca i els Penitents","11,97","12,32","12,89","12,89","13,11","","","","","","","","","","","","","","","",""
6,"29. el Coll","11,22","11,68","12,17","12,17","12,70","","","","","","","","","","","","","","","",""
6,"30. la Salut","11,74","12,37","12,73","12,73","12,69","","","","","","","","","","","","","","","",""
6,"31. la Vila de Gràcia","13,01","13,95","14,33","14,33","14,81","","","","","","","","","","","","","","","",""
6,"32. el Camp d'en Grassot i Gràcia Nova","12,35","12,70","13,31","13,31","13,60","","","","","","","","","","","","","","","",""
7,"33. el Baix Guinardó","11,11","11,86","12,06","12,06","12,46","","","","","","","","","","","","","","","",""
7,"34. Can Baró","10,73","11,95","11,93","11,93","12,30","","","","","","","","","","","","","","","",""
7,"35. el Guinardó","10,78","11,22","11,56","11,56","12,09","","","","","","","","","","","","","","","",""
7,"36. la Font d'en Fargues","10,58","11,50","11,57","11,57","12,32","","","","","","","","","","","","","","","",""
7,"37. el Carmel","10,09","10,47","10,99","10,99","12,01","","","","","","","","","","","","","","","",""
7,"38. la Teixonera","10,59","10,78","11,22","11,22","12,12","","","","","","","","","","","","","","","",""
7,"39. Sant Genís dels Agudells","9,96","10,33","11,10","11,10","11,49","","","","","","","","","","","","","","","",""
7,"40. Montbau","10,79","11,02","11,73","11,73","10,99","","","","","","","","","","","","","","","",""
7,"41. la Vall d'Hebron","10,68","10,88","10,75","10,75","--","","","","","","","","","","","","","","","",""
7,"42. la Clota","--","--","--","--","--","","","","","","","","","","","","","","","",""
7,"43. Horta","10,81","11,30","11,75","11,75","12,41","","","","","","","","","","","","","","","",""
8,"44. Vilapicina i la Torre Llobeta","10,36","10,98","11,64","11,64","11,64","","","","","","","","","","","","","","","",""
8,"45. Porta","10,53","10,90","11,79","11,79","12,03","","","","","","","","","","","","","","","",""
8,"46. el Turó de la Peira","10,66","10,87","11,73","11,73","11,62","","","","","","","","","","","","","","","",""
8,"47. Can Peguera","--","--","--","--","--","","","","","","","","","","","","","","","",""
8,"48. la Guineueta","9,90","9,95","10,67","10,67","11,63","","","","","","","","","","","","","","","",""
8,"49. Canyelles","9,54","9,86","10,20","10,20","--","","","","","","","","","","","","","","","",""
8,"50. les Roquetes","10,47","11,09","11,39","11,39","12,18","","","","","","","","","","","","","","","",""
8,"51. Verdun","10,82","11,20","11,50","11,50","12,73","","","","","","","","","","","","","","","",""
8,"52. la Prosperitat","10,47","11,00","11,86","11,86","11,88","","","","","","","","","","","","","","","",""
8,"53. la Trinitat Nova","10,85","11,38","12,00","12,00","--","","","","","","","","","","","","","","","",""
8,"54. Torre Baró","8,31","9,26","7,88","--","--","","","","","","","","","","","","","","","",""
8,"55. Ciutat Meridiana","9,62","9,82","10,72","10,72","--","","","","","","","","","","","","","","","",""
8,"56. Vallbona","9,88","--","--","--","--","","","","","","","","","","","","","","","",""
9,"57. la Trinitat Vella","10,09","10,46","11,15","11,15","11,59","","","","","","","","","","","","","","","",""
9,"58. Baró de Viver","--","--","--","--","--","","","","","","","","","","","","","","","",""
9,"59. el Bon Pastor","10,71","10,41","11,08","11,08","13,38","","","","","","","","","","","","","","","",""
9,"60. Sant Andreu","10,87","11,37","11,73","11,73","12,34","","","","","","","","","","","","","","","",""
9,"61. la Sagrera","10,97","11,27","11,93","11,93","12,45","","","","","","","","","","","","","","","",""
9,"62. el Congrés i els Indians","10,75","11,33","11,57","11,57","11,75","","","","","","","","","","","","","","","",""
9,"63. Navas","10,63","10,97","11,77","11,77","12,27","","","","","","","","","","","","","","","",""
10,"64. el Camp de l'Arpa del Clot","11,49","11,97","12,62","12,62","12,87","","","","","","","","","","","","","","","",""
10,"65. el Clot","11,40","12,00","12,50","12,50","12,30","","","","","","","","","","","","","","","",""
10,"66. el Parc i la Llacuna del Poblenou","12,49","12,85","12,95","12,95","13,66","","","","","","","","","","","","","","","",""
10,"67. la Vila Olímpica del Poblenou","14,42","14,96","14,66","14,66","15,27","","","","","","","","","","","","","","","",""
10,"68. el Poblenou","13,16","13,55","13,56","13,56","14,77","","","","","","","","","","","","","","","",""
10,"69. Diagonal Mar i el Front Marítim del Poblenou","14,89","14,73","14,79","14,79","15,59","","","","","","","","","","","","","","","",""
10,"70. el Besòs i el Maresme","11,31","11,45","12,33","12,33","13,85","","","","","","","","","","","","","","","",""
10,"71. Provençals del Poblenou","12,50","12,83","13,31","13,31","13,12","","","","","","","","","","","","","","","",""
10,"72. Sant Martí de Provençals","10,60","10,87","11,72","11,72","11,84","","","","","","","","","","","","","","","",""
