"Codi_Inscripció","Descripció_Inscripció"
"BCN-ABCN","A BCN 1 de cada 3 vianants..."
"BCN-BiciAvis1D","Avís precauió carril bicicleta de sentit únic"
"BCN-BiciAvis1I","Avís precauió carril bicicleta de sentit únic"
"BCN-BiciAvis2","Avís precauió carril bicicleta de doble sentit"
"BCN-BiciCeda","Cediu el pas carril bici"
"BCN-BiciE73b","STOP carril bici"
"BCN-BiciE77a","Bicicleta"
"BCN-BiciE90","Circulació prohibida a bicicletes"
"BCN-BiciFlechaR","Fletxa recta carril bici"
"BCN-BiciFleE50D","Fletxa dreta carril bici"
"BCN-BiciFleE50I","Fletxa esquerra carril bici"
"BCN-BiciFleRD","Fletxa recta i dreta carril bici"
"BCN-BiciFleRI","Fletxa recta i esquerra carril bici"
"BCN-BiciNO","Prohibició de bicicletes a vorera"
"BCN-CamiEscolar","Cami Escolar"
"BCN-CosConsular","Cos Consular"
"BCN-E102","Perill nens"
"BCN-E104","Perill reserva de vehicles elèctrics"
"BCN-E74b","Cediu el pas en una cruilla tipus Eixample"
"BCN-E75","Limitació de velocitat 30 km/h"
"BCN-E-78D","Persones amb mobilitat reduïda"
"BCN-E-78I","Persones amb mobilitat reduïda"
"BCN-E79","Motos en zona avançada"
"BCN-E80a","Identificació de punt de recàrrega: turisme elèctric"
"BCN-E80d","Identificació de punt de recàrrega: taxi elèctric"
"BCN-E80e","Identificació de punt de recàrrega: vehicle DUM elèctric"
"BCN-E91","Perill bicicletes"
"BCN-E92","Bus a peu"
"BCN-E94a","Avís precaució bus"
"BCN-E94b","Avís precaució bus"
"BCN-E94c","Avís precaució bus"
"BCN-E95a","Avís precaució tramvia"
"BCN-E95b","Avís precaució tramvia"
"BCN-E95c","Avís precaució tramvia"
"BCN-E99","Pujada bus"
"BCN-FCiudadD","Fletxa dreta BCN"
"BCN-FCiudadDI","Fletxa dreta i esquerra BCN"
"BCN-FCiudadI","Fletxa esquerra BCN"
"BCN-FCiudadR","Fletxa recta BCN"
"BCN-FCiudadRD","Fletxa recta i dreta BCN"
"BCN-FCiudadRDI","Fletxa recta, dreta i esquerra BCN"
"BCN-FCiudadRI","Fletxa recta i esquerra BCN"
"BCN-FlechaDoble","Fletxa doble carril reversible"
"BCN-FlechaE42bD","Fletxa obliqua a la dreta BCN"
"BCN-FlechaE42bI","Fletxa obliqua a la esquerra BCN"
"BCN-FlechaE43b","Fletxa recta i obliqua a la dreta BCN"
"BCN-LimAlt_4","Limtiació d'alçada 4m"
"BCN-MotoElec","Identificació de punt de recàrrega: moto elèctrica"
"BCN-ParkingP","Inscripció pàrquing"
"BCN-PeligroPeat","Perill vianants"
"BCN-TxtE100","Localització Bus 1 parada bus doble"
"BCN-TxtE101","Localització Bus 2 parada bus doble"
"BCN-TxtE103","A la vorera baixa de la moto"
"BCN-TxtE79a","Motos en xamfrà de l'Eixample"
"BCN-VM20","Limitació de velocitat 20 km/h"
"BCN-VM20F","Fi de limitació de velocitat 20 km/h"
"BCN-VM30","Limitació de velocitat 30 km/h"
"BCN-VM30F","Fi de limitació de velocitat 30 km/h"
"BCN-VM30F2","Fi de limitació de velocitat 30 km/h"
"BCN-XB_D20","Intercanviador d'autobusos D20"
"BCN-XB_H10","Intercanviador d'autobusos H10"
"BCN-XB_H12","Intercanviador d'autobusos H12"
"BCN-XB_H14","Intercanviador d'autobusos H14"
"BCN-XB_H16","Intercanviador d'autobusos H16"
"BCN-XB_H6","Intercanviador d'autobusos H6"
"BCN-XB_H8","Intercanviador d'autobusos H8"
"BCN-XB_V15","Intercanviador d'autobusos V15"
"BCN-XB_V17","Intercanviador d'autobusos V17"
"BCN-XB_V21","Intercanviador d'autobusos V21"
"BCN-XB_V3","Intercanviador d'autobusos V3"
"BCN-XB_V7","Intercanviador d'autobusos V7"
"Bici1","Bicicleta"
"Bici2","Bicicleta"
"BiciCeda","Cediu el pas carril bici"
"BiciFlecha2DI","Fletxes dreta i esquerra carril bici"
"BiciFlecha2DI1m","Fletxes dreta i esquerra carril bici"
"BiciFlechaD","Fletxa dreta carril bici"
"BiciFlechaD1m","Fletxa dreta carril bici"
"BiciFlechaDI","Fletxa dreta i esquerra carril bici"
"BiciFlechaDI1m","Fletxa dreta i esquerra carril bici"
"BiciFlechaI","Fletxa recta carril bici"
"BiciFlechaI1m","Fletxa esquerra carril bici"
"BiciFlechaR1m","Fletxa recta carril bici"
"BiciFlechaR2m","Fletxa recta carril bici"
"BiciFlechaRD","Fletxa recta i dreta carril bici"
"BiciFlechaRD1m","Fletxa recta i dreta carril bici"
"BiciFlechaRDI","Fletxa recta, dreta i esquerra carril bici"
"BiciFlechaRDI1m","Fletxa recta, dreta i esquerra carril bici"
"BiciFlechaRI","Fletxa recta i esquerra carril bici"
