"Codi_Reserva","Descripció_Reserva"
"Ajuntament","Ajuntament"
"Altres","Altres"
"Bici_Calçada","Bicicletes calçada"
"Bici_Vorera","Bicicletes vorera"
"Bus-Autocar","Bus / Autocar"
"BusBiblio","Bibliobus"
"BusEscolar","Bus Escolar"
"CID","Càrrega i descàrrega"
"CID_Mercat","Càrrega i descàrrega mercat"
"Correus","Correus"
"Cos_Consular","Cos Consular"
"Espectacle","Espectacles"
"Estat","Estatal"
"Generalitat","Generalitat"
"Gual","Gual"
"Hotel","Hotel"
"Jutjats","Jutjats"
"Motos_Calçada","Motos calçada"
"Motos_Vorera","Motos vorera"
"Oficial","Oficial"
"PMR","PMR"
"Policia","Policia"
"Salut","Salut"
"Taxi","Taxis"
