"Codi_Senyal","Descripció_Senyal"
"A-1","Aparcament Autoritzat"
"A-10","Pàrquing d'autocaravanes, camions i autocars"
"A-11","Aparcament prohibit"
"A-12","Aparcament prohibit"
"A-13","Aparcament prohibit"
"A-13a","Aparcament prohibit"
"A-13b","Aparcament prohibit"
"A-14","Aparcament prohibit"
"A-14a","Aparcament prohibit"
"A-14b","Aparcament prohibit"
"A-14c","Aparcament prohibit"
"A-15","Aparcament prohibit"
"A-17","Aparcament prohibit 30cm d'amplada"
"A-17a","Aparcament prohibit 30cm d'amplada"
"A-17b","Aparcament prohibit 30cm d'amplada"
"A-18","Aparcament prohibit 30cm d'amplada"
"A-18a","Aparcament prohibit 30cm d'amplada"
"A-18b","Aparcament prohibit 30cm d'amplada"
"A-1a","Aparcament Autoritzat"
"A-1b","Aparcament Autoritzat"
"A-1c","Aparcament Autoritzat"
"A-2","Aparcament Autoritzat"
"A-21_OBSOLET","Estacionamiento Limitado y Controlado"
"A-22_OBSOLET","Estacionamiento Limitado y Controlado"
"A-23_OBSOLET","Estacionamiento Limitado y Controlado"
"A-24_OBSOLET","Estacionamiento Limitado y Controlado"
"A-25_LD","Zona Azul Lunes - Domingo"
"A-25_LD2H","Zona Azul Lunes - Domingo 2h Estacionamiento Máx."
"A-25_LD3H","Zona Azul Lunes - Domingo 3h Estacionamiento Máx."
"A-25_LD4H","Zona Azul Lunes - Domingo 4h Estacionamiento Máx."
"A-25_LS","Zona Azul Lunes - Sábado"
"A-25_LV","Zona Azul Lunes - Viernes"
"A-25_LV2H","Zona Azul Lunes - Viernes 2h Estacionamiento Máx."
"A-25_LV3H","Zona Azul Lunes - Viernes 3h Estacionamiento Máx."
"A-25_LV4H","Zona Azul Lunes - Viernes 4h Estacionamiento Máx."
"A-25a","Zona Azul Lunes - Sábado 8-20h"
"A-25a_LS2H","Zona Azul Lunes - Sábado 2h Estacionamiento Máx."
"A-25a_LS3H","Zona Azul Lunes - Sábado 3h Estacionamiento Máx."
"A-25a_LS4H","Zona Azul Lunes - Sábado 4h Estacionamiento Máx."
"A-25b","Zona Azul Lunes - Viernes 8-20h y Sábados 9-14h"
"A-25c","Zona Azul Tots el dies excepte festius 9-14 i 16-20h"
"A-27","Zona Preferente de Residentes "
"A-27_S1","Zona Preferente de Residentes Zona 1 (Sábados)"
"A-27_S1-2","Zona Preferente de Residentes Zonas 1 y 2 (Sábados)"
"A-27_S2","Zona Preferente de Residentes Zona 2 (Sábados)"
"A-27_S3","Zona Preferente de Residentes Zona 3 (Sábados)"
"A-27_S3-4","Zona Preferente de Residentes Zona 3-4 (Sábados)"
"A-27_S4","Zona Preferente de Residentes Zona 4 (Sábados)"
"A-27_S5","Zona Preferente de Residentes Zona 5 (Sábados)"
"A-27_S5-16","Zona Preferente de Residentes Zonas 5 y 16 (Sábado)"
"A-27_V10","Zona Preferente de Residentes Zona 10 (Viernes)"
"A-27_V11","Zona Preferente de Residentes Zona 11 (Viernes)"
"A-27_V1-10","Zona Preferente de Residentes Zonas 1 y 10 (Viernes)"
"A-27_V11-12","Zona Preferente de Residentes Zonas 11 y 12 (Viernes)"
"A-27_V12","Zona Preferente de Residentes Zona 12 (Viernes)"
"A-27_V1-2","Zona Preferente de Residentes Zonas 1 y 2 (Viernes)"
"A-27_V12-13","Zona Preferente de Residentes Zonas 12 y 13 (Viernes)"
"A-27_V13","Zona Preferente de Residentes Zona 13 (Viernes)"
"A-27_V14","Zona Preferente de Residentes Zona 14 (Viernes)"
"A-27_V14-15","Zona Preferente de Residentes Zonas 14 y 15 (Viernes)"
"A-27_V15","Zona Preferente de Residentes Zona 15 (Viernes)"
"A-27_V16","Zona Preferente de Residentes Zona 16 (Viernes)"
"A-27_V16-17","Zona Preferente de Residentes Zonas 16 y 17 (Viernes)"
"A-27_V17","Zona Preferente de Residentes Zona 17 (Viernes)"
"A-27_V17-18","Zona Preferente de Residentes Zonas 17 y 18 (Viernes)"
"A-27_V17-23","Zona Preferente de Residentes Zonas 17 y 23 (Viernes)"
"A-27_V18","Zona Preferente de Residentes Zona 18 (Viernes)"
"A-27_V1-8","Zona Preferente de Residentes Zonas 1 y 8 (Viernes)"
"A-27_V18-19","Zona Preferente de Residentes Zonas 18 y 19 (Viernes)"
"A-27_V18-22","Zona Preferente de Residentes Zona 18 y 22 (Viernes)"
"A-27_V19","Zona Preferente de Residentes Zonas 19 (Viernes)"
"A-27_V2","Zona Preferente de Residentes Zona 2 (Viernes)"
"A-27_V20","Zona Preferente de Residentes Zonas 20 (Viernes)"
"A-27_V20-22","Zona Preferente de Residentes Zonas 20 y 22 (Viernes)"
"A-27_V21","Zona Preferente de Residentes Zona 21 (Viernes)"
"A-27_V21FIN","Fin Zona Preferente de Residentes Zona 21"
"A-27_V22","Zona Preferente de Residentes Zona 22 (Viernes)"
"A-27_V23","Zona Preferente de Residentes Zona 23 (Viernes)"
"A-27_V24","Zona Preferente de Residentes Zona 24 (Viernes)"
"A-27_V3","Zona Preferente de Residentes Zona 3 (Viernes)"
"A-27_V3-4","Zona Preferente de Residentes Zonas 3 y 4 (Viernes)"
"A-27_V4","Zona Preferente de Residentes Zona 4 (Viernes)"
"A-27_V5","Zona Preferente de Residentes Zona 5 (Viernes)"
"A-27_V5-16","Zona Preferente de Residentes Zonas 5 y 16 (Viernes)"
"A-27_V5-6","Zona Preferente de Residentes Zonas 5 y 6 (Viernes)"
"A-27_V5-6-16","Zona Preferente de Residentes Zonas 5, 6 y 16 (Viernes)"
"A-27_V5-7","Zona Preferente de Residentes Zonas 5 y 7 (Viernes)"
"A-27_V6","Zona Preferente de Residentes Zona 6 (Viernes)"
"A-27_V6-16","Zona Preferente de Residentes Zonas 6 y 16 (Viernes)"
"A-27_V6-16-17","Zona Preferente de Residentes Zonas 6, 16 y 17 (Viernes)"
"A-27_V6-17","Zona Preferente de Residentes Zonas 6 y 17 (Viernes)"
"A-27_V6-18","Zona Preferente de Residentes Zonas 6 y 18 (Viernes)"
"A-27_V7","Zona Preferente de Residentes Zona 7 (Viernes)"
"A-27_V7-8","Zona Preferente de Residentes Zonas 7 y 8 (Viernes)"
"A-27_V8","Zona Preferente de Residentes Zona 8 (Viernes)"
"A-27_V8-19","Zona Preferente de Residentes Zonas 8 y 19 (Viernes)"
"A-27_VH","Zona Preferente de Residentes Vall Hebron"
"A-27_ZU","Zona Preferente de Residentes Zona Universitaria"
"A-28","Zona Exclusiva de Residentes"
"A-28_Fi","Fi de Zona Exclusiva de Residentes"
"A-28_R20","Zona Exclusiva de Residentes Zona 20"
"A-28_S1","Zona Exclusiva de Residentes Zona 1 (Sábados)"
"A-28_V10","Zona Exclusiva de Residentes Zona 10 (Viernes)"
"A-28_V1-10","Zona Exclusiva de Residentes Zonas 1 y 10 (Viernes)"
"A-28_V16","Zona Exclusiva de Residentes Zona 16 (Viernes)"
"A-28_V16-17","Zona Exclusiva de Residentes Zona 18 (Viernes)"
"A-28_V18","Zona Exclusiva de Residentes Zona 18 (Viernes)"
"A-28_V6-18","Zona Exclusiva de Residentes Zones 6-18 (Viernes)"
"A-28_V9","Zona Exclusiva de Residentes Zona 9 (Viernes)"
"A-28_V9Fi","Fi de Zona Exclusiva de Residentes Zona 9 (Viernes)"
"A-2a","Aparcament Autoritzat"
"A-2b","Aparcament Autoritzat"
"A-3","Aparcament Autoritzat"
"A-31","Reserves d'aparcament - Ambulàncies"
"A-31a","Reserves d'aparcament - Ambulàncies"
"A-31b","Reserves d'aparcament - Ambulàncies"
"A-32","Reserves d'aparcament - PMR"
"A-32a","Reserves d'aparcament - PMR"
"A-32b","Reserves d'aparcament - PMR"
