"Any","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Seccio_censal","Desc_valors","Valor_€"
2020,1,"Ciutat Vella",1,"el Raval",1,"Valor_cadastral",155846804.62
2020,1,"Ciutat Vella",1,"el Raval",2,"Valor_cadastral",102822511.01
2020,1,"Ciutat Vella",1,"el Raval",3,"Valor_cadastral",128086164.25
2020,1,"Ciutat Vella",1,"el Raval",4,"Valor_cadastral",201716459.26
2020,1,"Ciutat Vella",1,"el Raval",5,"Valor_cadastral",261887144.89
2020,1,"Ciutat Vella",1,"el Raval",6,"Valor_cadastral",117318358.87
2020,1,"Ciutat Vella",1,"el Raval",7,"Valor_cadastral",108399115.59
2020,1,"Ciutat Vella",1,"el Raval",8,"Valor_cadastral",78605040.65
2020,1,"Ciutat Vella",1,"el Raval",9,"Valor_cadastral",69861634.36
2020,1,"Ciutat Vella",1,"el Raval",10,"Valor_cadastral",67723382.91
2020,1,"Ciutat Vella",1,"el Raval",11,"Valor_cadastral",107953548.13
2020,1,"Ciutat Vella",1,"el Raval",12,"Valor_cadastral",68858488.73
2020,1,"Ciutat Vella",1,"el Raval",13,"Valor_cadastral",52161879.86
2020,1,"Ciutat Vella",1,"el Raval",14,"Valor_cadastral",51616294.22
2020,1,"Ciutat Vella",1,"el Raval",15,"Valor_cadastral",80665178.04
2020,1,"Ciutat Vella",1,"el Raval",16,"Valor_cadastral",74583873.77
2020,1,"Ciutat Vella",1,"el Raval",17,"Valor_cadastral",60007202.12
2020,1,"Ciutat Vella",1,"el Raval",18,"Valor_cadastral",131627736.24
2020,1,"Ciutat Vella",1,"el Raval",19,"Valor_cadastral",206881018.94
2020,1,"Ciutat Vella",1,"el Raval",20,"Valor_cadastral",308122095.02
2020,1,"Ciutat Vella",1,"el Raval",21,"Valor_cadastral",435879465.23
2020,1,"Ciutat Vella",2,"el Gòtic",22,"Valor_cadastral",822511922.47
2020,1,"Ciutat Vella",2,"el Gòtic",23,"Valor_cadastral",625114448.31
2020,1,"Ciutat Vella",2,"el Gòtic",25,"Valor_cadastral",229286212.22
2020,1,"Ciutat Vella",2,"el Gòtic",26,"Valor_cadastral",221521456.57
2020,1,"Ciutat Vella",2,"el Gòtic",27,"Valor_cadastral",191515284.21
2020,1,"Ciutat Vella",2,"el Gòtic",28,"Valor_cadastral",344645766.9
2020,1,"Ciutat Vella",2,"el Gòtic",29,"Valor_cadastral",171515716.04
2020,1,"Ciutat Vella",2,"el Gòtic",30,"Valor_cadastral",262019950.45
2020,1,"Ciutat Vella",2,"el Gòtic",31,"Valor_cadastral",153516705.63
