"﻿""Any""","Mes","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Durada_atur","Nombre"
2021,1,1,"Ciutat Vella",1,"el Raval","Fins a 6 mesos",1200
2021,1,1,"Ciutat Vella",2,"el Barri Gòtic","Fins a 6 mesos",363
2021,1,1,"Ciutat Vella",3,"la Barceloneta","Fins a 6 mesos",355
2021,1,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Fins a 6 mesos",489
2021,1,2,"Eixample",5,"el Fort Pienc","Fins a 6 mesos",448
2021,1,2,"Eixample",6,"la Sagrada Família","Fins a 6 mesos",684
2021,1,2,"Eixample",7,"la Dreta de l'Eixample","Fins a 6 mesos",486
2021,1,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Fins a 6 mesos",477
2021,1,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Fins a 6 mesos",767
2021,1,2,"Eixample",10,"Sant Antoni","Fins a 6 mesos",570
2021,1,3,"Sants-Montjuïc",11,"el Poble Sec","Fins a 6 mesos",786
2021,1,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Fins a 6 mesos",36
2021,1,3,"Sants-Montjuïc",13,"la Marina de Port","Fins a 6 mesos",534
2021,1,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Fins a 6 mesos",197
2021,1,3,"Sants-Montjuïc",15,"Hostafrancs","Fins a 6 mesos",217
2021,1,3,"Sants-Montjuïc",16,"la Bordeta","Fins a 6 mesos",254
2021,1,3,"Sants-Montjuïc",17,"Sants - Badal","Fins a 6 mesos",285
2021,1,3,"Sants-Montjuïc",18,"Sants","Fins a 6 mesos",532
2021,1,4,"Les Corts",19,"les Corts","Fins a 6 mesos",558
2021,1,4,"Les Corts",20,"la Maternitat i Sant Ramon","Fins a 6 mesos",281
2021,1,4,"Les Corts",21,"Pedralbes","Fins a 6 mesos",65
2021,1,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Fins a 6 mesos",29
2021,1,5,"Sarrià-Sant Gervasi",23,"Sarrià","Fins a 6 mesos",145
2021,1,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Fins a 6 mesos",114
2021,1,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Fins a 6 mesos",176
2021,1,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Fins a 6 mesos",362
2021,1,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Fins a 6 mesos",320
2021,1,6,"Gràcia",28,"Vallcarca i els Penitents","Fins a 6 mesos",209
2021,1,6,"Gràcia",29,"el Coll","Fins a 6 mesos",88
2021,1,6,"Gràcia",30,"la Salut","Fins a 6 mesos",169
2021,1,6,"Gràcia",31,"la Vila de Gràcia","Fins a 6 mesos",731
2021,1,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Fins a 6 mesos",421
2021,1,7,"Horta-Guinardó",33,"el Baix Guinardó","Fins a 6 mesos",326
2021,1,7,"Horta-Guinardó",34,"Can Baró","Fins a 6 mesos",121
2021,1,7,"Horta-Guinardó",35,"el Guinardó","Fins a 6 mesos",563
2021,1,7,"Horta-Guinardó",36,"la Font d'en Fargues","Fins a 6 mesos",154
2021,1,7,"Horta-Guinardó",37,"el Carmel","Fins a 6 mesos",526
2021,1,7,"Horta-Guinardó",38,"la Teixonera","Fins a 6 mesos",171
2021,1,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Fins a 6 mesos",105
2021,1,7,"Horta-Guinardó",40,"Montbau","Fins a 6 mesos",76
2021,1,7,"Horta-Guinardó",41,"la Vall d'Hebron","Fins a 6 mesos",81
2021,1,7,"Horta-Guinardó",42,"la Clota","Fins a 6 mesos",6
2021,1,7,"Horta-Guinardó",43,"Horta","Fins a 6 mesos",436
2021,1,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Fins a 6 mesos",403
2021,1,8,"Nou Barris",45,"Porta","Fins a 6 mesos",391
2021,1,8,"Nou Barris",46,"el Turó de la Peira","Fins a 6 mesos",251
2021,1,8,"Nou Barris",47,"Can Peguera","Fins a 6 mesos",35
2021,1,8,"Nou Barris",48,"la Guineueta","Fins a 6 mesos",276
2021,1,8,"Nou Barris",49,"Canyelles","Fins a 6 mesos",135
2021,1,8,"Nou Barris",50,"les Roquetes","Fins a 6 mesos",292
2021,1,8,"Nou Barris",51,"Verdun","Fins a 6 mesos",224
2021,1,8,"Nou Barris",52,"la Prosperitat","Fins a 6 mesos",439
2021,1,8,"Nou Barris",53,"la Trinitat Nova","Fins a 6 mesos",200
2021,1,8,"Nou Barris",54,"Torre Baró","Fins a 6 mesos",55
2021,1,8,"Nou Barris",55,"Ciutat Meridiana","Fins a 6 mesos",290
2021,1,8,"Nou Barris",56,"Vallbona","Fins a 6 mesos",34
2021,1,9,"Sant Andreu",57,"la Trinitat Vella","Fins a 6 mesos",268
2021,1,9,"Sant Andreu",58,"Baró de Viver","Fins a 6 mesos",34
2021,1,9,"Sant Andreu",59,"el Bon Pastor","Fins a 6 mesos",193
2021,1,9,"Sant Andreu",60,"Sant Andreu","Fins a 6 mesos",780
2021,1,9,"Sant Andreu",61,"la Sagrera","Fins a 6 mesos",401
2021,1,9,"Sant Andreu",62,"el Congrés i els Indians","Fins a 6 mesos",195
2021,1,9,"Sant Andreu",63,"Navas","Fins a 6 mesos",305
2021,1,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Fins a 6 mesos",555
2021,1,10,"Sant Martí",65,"el Clot","Fins a 6 mesos",370
2021,1,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Fins a 6 mesos",178
2021,1,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Fins a 6 mesos",114
2021,1,10,"Sant Martí",68,"el Poblenou","Fins a 6 mesos",395
2021,1,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Fins a 6 mesos",199
2021,1,10,"Sant Martí",70,"el Besòs i el Maresme","Fins a 6 mesos",455
2021,1,10,"Sant Martí",71,"Provençals del Poblenou","Fins a 6 mesos",288
2021,1,10,"Sant Martí",72,"Sant Martí de Provençals","Fins a 6 mesos",390
2021,1,10,"Sant Martí",73,"la Verneda i la Pau","Fins a 6 mesos",441
2021,1,99,"No consta",99,"No consta","Fins a 6 mesos",23
2021,1,1,"Ciutat Vella",1,"el Raval","De 6 a 12 mesos",2071
2021,1,1,"Ciutat Vella",2,"el Barri Gòtic","De 6 a 12 mesos",528
2021,1,1,"Ciutat Vella",3,"la Barceloneta","De 6 a 12 mesos",525
2021,1,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","De 6 a 12 mesos",721
2021,1,2,"Eixample",5,"el Fort Pienc","De 6 a 12 mesos",589
2021,1,2,"Eixample",6,"la Sagrada Família","De 6 a 12 mesos",910
2021,1,2,"Eixample",7,"la Dreta de l'Eixample","De 6 a 12 mesos",682
2021,1,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","De 6 a 12 mesos",698
2021,1,2,"Eixample",9,"la Nova Esquerra de l'Eixample","De 6 a 12 mesos",943
