"﻿""Any""","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Nacionalitats","Nombre"
2019,1,"Ciutat Vella",1,"el Raval","Espanya",242
2019,1,"Ciutat Vella",2,"el Barri Gòtic","Espanya",114
2019,1,"Ciutat Vella",3,"la Barceloneta","Espanya",139
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Espanya",134
2019,2,"Eixample",5,"el Fort Pienc","Espanya",308
2019,2,"Eixample",6,"la Sagrada Família","Espanya",515
2019,2,"Eixample",7,"la Dreta de l'Eixample","Espanya",434
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Espanya",421
2019,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Espanya",461
2019,2,"Eixample",10,"Sant Antoni","Espanya",335
2019,3,"Sants-Montjuïc",11,"el Poble Sec","Espanya",304
2019,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Espanya",17
2019,3,"Sants-Montjuïc",13,"la Marina de Port","Espanya",245
2019,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Espanya",99
2019,3,"Sants-Montjuïc",15,"Hostafrancs","Espanya",112
2019,3,"Sants-Montjuïc",16,"la Bordeta","Espanya",169
2019,3,"Sants-Montjuïc",17,"Sants - Badal","Espanya",198
2019,3,"Sants-Montjuïc",18,"Sants","Espanya",351
2019,4,"Les Corts",19,"les Corts","Espanya",426
2019,4,"Les Corts",20,"la Maternitat i Sant Ramon","Espanya",247
2019,4,"Les Corts",21,"Pedralbes","Espanya",88
2019,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Espanya",23
2019,5,"Sarrià-Sant Gervasi",23,"Sarrià","Espanya",247
2019,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Espanya",131
2019,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Espanya",251
2019,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Espanya",446
2019,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Espanya",230
2019,6,"Gràcia",28,"Vallcarca i els Penitents","Espanya",121
2019,6,"Gràcia",29,"el Coll","Espanya",37
2019,6,"Gràcia",30,"la Salut","Espanya",156
2019,6,"Gràcia",31,"la Vila de Gràcia","Espanya",401
2019,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Espanya",288
2019,7,"Horta-Guinardó",33,"el Baix Guinardó","Espanya",281
2019,7,"Horta-Guinardó",34,"Can Baró","Espanya",81
2019,7,"Horta-Guinardó",35,"el Guinardó","Espanya",327
2019,7,"Horta-Guinardó",36,"la Font d'en Fargues","Espanya",85
2019,7,"Horta-Guinardó",37,"el Carmel","Espanya",279
2019,7,"Horta-Guinardó",38,"la Teixonera","Espanya",108
2019,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Espanya",72
2019,7,"Horta-Guinardó",40,"Montbau","Espanya",107
2019,7,"Horta-Guinardó",41,"la Vall d'Hebron","Espanya",66
2019,7,"Horta-Guinardó",42,"la Clota","Espanya",5
2019,7,"Horta-Guinardó",43,"Horta","Espanya",261
2019,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Espanya",232
2019,8,"Nou Barris",45,"Porta","Espanya",273
2019,8,"Nou Barris",46,"el Turó de la Peira","Espanya",157
2019,8,"Nou Barris",47,"Can Peguera","Espanya",30
2019,8,"Nou Barris",48,"la Guineueta","Espanya",169
2019,8,"Nou Barris",49,"Canyelles","Espanya",77
2019,8,"Nou Barris",50,"les Roquetes","Espanya",110
2019,8,"Nou Barris",51,"Verdun","Espanya",101
2019,8,"Nou Barris",52,"la Prosperitat","Espanya",248
2019,8,"Nou Barris",53,"la Trinitat Nova","Espanya",81
2019,8,"Nou Barris",54,"Torre Baró","Espanya",17
2019,8,"Nou Barris",55,"Ciutat Meridiana","Espanya",48
2019,8,"Nou Barris",56,"Vallbona","Espanya",25
2019,9,"Sant Andreu",57,"la Trinitat Vella","Espanya",49
2019,9,"Sant Andreu",58,"Baró de Viver","Espanya",25
2019,9,"Sant Andreu",59,"el Bon Pastor","Espanya",113
2019,9,"Sant Andreu",60,"Sant Andreu","Espanya",456
2019,9,"Sant Andreu",61,"la Sagrera","Espanya",253
2019,9,"Sant Andreu",62,"el Congrés i els Indians","Espanya",135
2019,9,"Sant Andreu",63,"Navas","Espanya",195
2019,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Espanya",352
2019,10,"Sant Martí",65,"el Clot","Espanya",202
2019,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Espanya",116
2019,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Espanya",34
2019,10,"Sant Martí",68,"el Poblenou","Espanya",241
2019,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Espanya",66
2019,10,"Sant Martí",70,"el Besòs i el Maresme","Espanya",198
2019,10,"Sant Martí",71,"Provençals del Poblenou","Espanya",154
2019,10,"Sant Martí",72,"Sant Martí de Provençals","Espanya",251
2019,10,"Sant Martí",73,"la Verneda i la Pau","Espanya",296
2019,1,"Ciutat Vella",1,"el Raval","Itàlia",4
2019,1,"Ciutat Vella",2,"el Barri Gòtic","Itàlia",0
2019,1,"Ciutat Vella",3,"la Barceloneta","Itàlia",1
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Itàlia",0
2019,2,"Eixample",5,"el Fort Pienc","Itàlia",0
2019,2,"Eixample",6,"la Sagrada Família","Itàlia",0
2019,2,"Eixample",7,"la Dreta de l'Eixample","Itàlia",1
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Itàlia",2
2019,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Itàlia",1
2019,2,"Eixample",10,"Sant Antoni","Itàlia",0
2019,3,"Sants-Montjuïc",11,"el Poble Sec","Itàlia",1
2019,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Itàlia",0
2019,3,"Sants-Montjuïc",13,"la Marina de Port","Itàlia",0
2019,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Itàlia",1
2019,3,"Sants-Montjuïc",15,"Hostafrancs","Itàlia",1
2019,3,"Sants-Montjuïc",16,"la Bordeta","Itàlia",0
2019,3,"Sants-Montjuïc",17,"Sants - Badal","Itàlia",0
2019,3,"Sants-Montjuïc",18,"Sants","Itàlia",1
2019,4,"Les Corts",19,"les Corts","Itàlia",2
2019,4,"Les Corts",20,"la Maternitat i Sant Ramon","Itàlia",0
2019,4,"Les Corts",21,"Pedralbes","Itàlia",2
2019,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Itàlia",2
2019,5,"Sarrià-Sant Gervasi",23,"Sarrià","Itàlia",0
2019,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Itàlia",0
2019,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Itàlia",0
2019,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Itàlia",1
2019,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Itàlia",0
2019,6,"Gràcia",28,"Vallcarca i els Penitents","Itàlia",0
2019,6,"Gràcia",29,"el Coll","Itàlia",0
2019,6,"Gràcia",30,"la Salut","Itàlia",0
2019,6,"Gràcia",31,"la Vila de Gràcia","Itàlia",0
2019,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Itàlia",0
2019,7,"Horta-Guinardó",33,"el Baix Guinardó","Itàlia",2
2019,7,"Horta-Guinardó",34,"Can Baró","Itàlia",0
2019,7,"Horta-Guinardó",35,"el Guinardó","Itàlia",1
2019,7,"Horta-Guinardó",36,"la Font d'en Fargues","Itàlia",1
2019,7,"Horta-Guinardó",37,"el Carmel","Itàlia",0
2019,7,"Horta-Guinardó",38,"la Teixonera","Itàlia",0
2019,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Itàlia",0
2019,7,"Horta-Guinardó",40,"Montbau","Itàlia",0
2019,7,"Horta-Guinardó",41,"la Vall d'Hebron","Itàlia",1
2019,7,"Horta-Guinardó",42,"la Clota","Itàlia",0
2019,7,"Horta-Guinardó",43,"Horta","Itàlia",1
2019,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Itàlia",0
2019,8,"Nou Barris",45,"Porta","Itàlia",0
2019,8,"Nou Barris",46,"el Turó de la Peira","Itàlia",0
2019,8,"Nou Barris",47,"Can Peguera","Itàlia",0
2019,8,"Nou Barris",48,"la Guineueta","Itàlia",0
2019,8,"Nou Barris",49,"Canyelles","Itàlia",0
2019,8,"Nou Barris",50,"les Roquetes","Itàlia",0
2019,8,"Nou Barris",51,"Verdun","Itàlia",0
2019,8,"Nou Barris",52,"la Prosperitat","Itàlia",0
2019,8,"Nou Barris",53,"la Trinitat Nova","Itàlia",0
2019,8,"Nou Barris",54,"Torre Baró","Itàlia",0
2019,8,"Nou Barris",55,"Ciutat Meridiana","Itàlia",0
2019,8,"Nou Barris",56,"Vallbona","Itàlia",0
2019,9,"Sant Andreu",57,"la Trinitat Vella","Itàlia",0
2019,9,"Sant Andreu",58,"Baró de Viver","Itàlia",0
2019,9,"Sant Andreu",59,"el Bon Pastor","Itàlia",0
2019,9,"Sant Andreu",60,"Sant Andreu","Itàlia",2
2019,9,"Sant Andreu",61,"la Sagrera","Itàlia",1
2019,9,"Sant Andreu",62,"el Congrés i els Indians","Itàlia",0
2019,9,"Sant Andreu",63,"Navas","Itàlia",0
2019,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Itàlia",0
