"Anys_Periode","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Nombre"
"2006-2010",1,"Ciutat Vella",1,"el Raval",87.5
"2006-2010",1,"Ciutat Vella",2,"el Barri Gòtic",88.0
"2006-2010",1,"Ciutat Vella",3,"la Barceloneta",88.2
"2006-2010",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",88.9
"2006-2010",2,"Eixample",5,"el Fort Pienc",89.7
"2006-2010",2,"Eixample",6,"la Sagrada Família",88.9
"2006-2010",2,"Eixample",7,"la Dreta de l'Eixample",87.0
"2006-2010",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",88.9
"2006-2010",2,"Eixample",9,"la Nova Esquerra de l'Eixample",90.0
"2006-2010",2,"Eixample",10,"Sant Antoni",89.0
"2006-2010",3,"Sants-Montjuïc",11,"el Poble Sec",88.5
"2006-2010",3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",""
"2006-2010",3,"Sants-Montjuïc",13,"la Marina de Port",88.5
"2006-2010",3,"Sants-Montjuïc",14,"la Font de la Guatlla",88.7
"2006-2010",3,"Sants-Montjuïc",15,"Hostafrancs",87.5
"2006-2010",3,"Sants-Montjuïc",16,"la Bordeta",88.7
"2006-2010",3,"Sants-Montjuïc",17,"Sants - Badal",88.4
"2006-2010",3,"Sants-Montjuïc",18,"Sants",89.4
"2006-2010",4,"Les Corts",19,"les Corts",89.4
"2006-2010",4,"Les Corts",20,"la Maternitat i Sant Ramon",90.0
"2006-2010",4,"Les Corts",21,"Pedralbes",89.0
"2006-2010",5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",83.4
"2006-2010",5,"Sarrià-Sant Gervasi",23,"Sarrià",90.9
"2006-2010",5,"Sarrià-Sant Gervasi",24,"les Tres Torres",89.7
"2006-2010",5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",89.2
"2006-2010",5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",88.8
"2006-2010",5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",89.9
"2006-2010",6,"Gràcia",28,"Vallcarca i els Penitents",88.2
"2006-2010",6,"Gràcia",29,"el Coll",89.9
"2006-2010",6,"Gràcia",30,"la Salut",85.7
"2006-2010",6,"Gràcia",31,"la Vila de Gràcia",87.5
"2006-2010",6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",90.1
"2006-2010",7,"Horta-Guinardó",33,"el Baix Guinardó",90.1
"2006-2010",7,"Horta-Guinardó",34,"Can Baró",88.2
"2006-2010",7,"Horta-Guinardó",35,"el Guinardó",89.3
"2006-2010",7,"Horta-Guinardó",36,"la Font d'en Fargues",87.3
"2006-2010",7,"Horta-Guinardó",37,"el Carmel",88.8
"2006-2010",7,"Horta-Guinardó",38,"la Teixonera",86.7
"2006-2010",7,"Horta-Guinardó",39,"Sant Genís dels Agudells",87.3
"2006-2010",7,"Horta-Guinardó",40,"Montbau",83.5
"2006-2010",7,"Horta-Guinardó",41,"la Vall d'Hebron",86.6
"2006-2010",7,"Horta-Guinardó",42,"la Clota",""
"2006-2010",7,"Horta-Guinardó",43,"Horta",87.1
"2006-2010",8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",89.6
"2006-2010",8,"Nou Barris",45,"Porta",88.3
"2006-2010",8,"Nou Barris",46,"el Turó de la Peira",90.4
"2006-2010",8,"Nou Barris",47,"Can Peguera",82.2
"2006-2010",8,"Nou Barris",48,"la Guineueta",88.3
"2006-2010",8,"Nou Barris",49,"Canyelles",89.6
"2006-2010",8,"Nou Barris",50,"les Roquetes",88.5
"2006-2010",8,"Nou Barris",51,"Verdun",88.4
"2006-2010",8,"Nou Barris",52,"la Prosperitat",89.6
"2006-2010",8,"Nou Barris",53,"la Trinitat Nova",87.4
"2006-2010",8,"Nou Barris",54,"Torre Baró",""
"2006-2010",8,"Nou Barris",55,"Ciutat Meridiana",87.9
"2006-2010",8,"Nou Barris",56,"Vallbona",""
"2006-2010",9,"Sant Andreu",57,"la Trinitat Vella",87.0
"2006-2010",9,"Sant Andreu",58,"Baró de Viver",82.4
"2006-2010",9,"Sant Andreu",59,"el Bon Pastor",86.3
"2006-2010",9,"Sant Andreu",60,"Sant Andreu",88.8
"2006-2010",9,"Sant Andreu",61,"la Sagrera",89.9
"2006-2010",9,"Sant Andreu",62,"el Congrés i els Indians",89.9
"2006-2010",9,"Sant Andreu",63,"Navas",89.8
"2006-2010",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",89.1
"2006-2010",10,"Sant Martí",65,"el Clot",88.7
"2006-2010",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",88.1
"2006-2010",10,"Sant Martí",67,"la Vila Olímpica del Poblenou",90.4
"2006-2010",10,"Sant Martí",68,"el Poblenou",88.1
"2006-2010",10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",88.1
"2006-2010",10,"Sant Martí",70,"el Besòs i el Maresme",86.8
"2006-2010",10,"Sant Martí",71,"Provençals del Poblenou",88.4
"2006-2010",10,"Sant Martí",72,"Sant Martí de Provençals",88.8
"2006-2010",10,"Sant Martí",73,"la Verneda i la Pau",87.9
"2007-2011",1,"Ciutat Vella",1,"el Raval",84.9
"2007-2011",1,"Ciutat Vella",2,"el Barri Gòtic",84.3
"2007-2011",1,"Ciutat Vella",3,"la Barceloneta",85.3
"2007-2011",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",85.9
"2007-2011",2,"Eixample",5,"el Fort Pienc",87.1
"2007-2011",2,"Eixample",6,"la Sagrada Família",86.6
"2007-2011",2,"Eixample",7,"la Dreta de l'Eixample",85.0
"2007-2011",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",86.4
"2007-2011",2,"Eixample",9,"la Nova Esquerra de l'Eixample",87.4
"2007-2011",2,"Eixample",10,"Sant Antoni",86.3
"2007-2011",3,"Sants-Montjuïc",11,"el Poble Sec",85.5
"2007-2011",3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",""
"2007-2011",3,"Sants-Montjuïc",13,"la Marina de Port",86.2
"2007-2011",3,"Sants-Montjuïc",14,"la Font de la Guatlla",85.7
"2007-2011",3,"Sants-Montjuïc",15,"Hostafrancs",85.4
"2007-2011",3,"Sants-Montjuïc",16,"la Bordeta",86.3
"2007-2011",3,"Sants-Montjuïc",17,"Sants - Badal",85.9
"2007-2011",3,"Sants-Montjuïc",18,"Sants",86.5
"2007-2011",4,"Les Corts",19,"les Corts",87.1
"2007-2011",4,"Les Corts",20,"la Maternitat i Sant Ramon",87.4
"2007-2011",4,"Les Corts",21,"Pedralbes",87.3
"2007-2011",5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",80.5
"2007-2011",5,"Sarrià-Sant Gervasi",23,"Sarrià",87.6
"2007-2011",5,"Sarrià-Sant Gervasi",24,"les Tres Torres",87.7
"2007-2011",5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",86.5
"2007-2011",5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",86.5
"2007-2011",5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",87.6
"2007-2011",6,"Gràcia",28,"Vallcarca i els Penitents",86.1
"2007-2011",6,"Gràcia",29,"el Coll",88.2
"2007-2011",6,"Gràcia",30,"la Salut",84.1
"2007-2011",6,"Gràcia",31,"la Vila de Gràcia",85.1
"2007-2011",6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",87.6
"2007-2011",7,"Horta-Guinardó",33,"el Baix Guinardó",87.2
"2007-2011",7,"Horta-Guinardó",34,"Can Baró",86.2
"2007-2011",7,"Horta-Guinardó",35,"el Guinardó",86.4
"2007-2011",7,"Horta-Guinardó",36,"la Font d'en Fargues",85.7
"2007-2011",7,"Horta-Guinardó",37,"el Carmel",86.6
"2007-2011",7,"Horta-Guinardó",38,"la Teixonera",84.8
"2007-2011",7,"Horta-Guinardó",39,"Sant Genís dels Agudells",85.0
"2007-2011",7,"Horta-Guinardó",40,"Montbau",81.3
"2007-2011",7,"Horta-Guinardó",41,"la Vall d'Hebron",85.3
"2007-2011",7,"Horta-Guinardó",42,"la Clota",""
"2007-2011",7,"Horta-Guinardó",43,"Horta",85.5
"2007-2011",8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",87.2
"2007-2011",8,"Nou Barris",45,"Porta",86.0
"2007-2011",8,"Nou Barris",46,"el Turó de la Peira",87.8
"2007-2011",8,"Nou Barris",47,"Can Peguera",79.7
"2007-2011",8,"Nou Barris",48,"la Guineueta",85.9
"2007-2011",8,"Nou Barris",49,"Canyelles",86.0
"2007-2011",8,"Nou Barris",50,"les Roquetes",86.1
"2007-2011",8,"Nou Barris",51,"Verdun",86.6
"2007-2011",8,"Nou Barris",52,"la Prosperitat",87.1
"2007-2011",8,"Nou Barris",53,"la Trinitat Nova",84.5
"2007-2011",8,"Nou Barris",54,"Torre Baró",81.7
"2007-2011",8,"Nou Barris",55,"Ciutat Meridiana",85.3
"2007-2011",8,"Nou Barris",56,"Vallbona",""
"2007-2011",9,"Sant Andreu",57,"la Trinitat Vella",85.8
"2007-2011",9,"Sant Andreu",58,"Baró de Viver",79.9
"2007-2011",9,"Sant Andreu",59,"el Bon Pastor",84.8
"2007-2011",9,"Sant Andreu",60,"Sant Andreu",86.4
"2007-2011",9,"Sant Andreu",61,"la Sagrera",87.1
"2007-2011",9,"Sant Andreu",62,"el Congrés i els Indians",87.5
"2007-2011",9,"Sant Andreu",63,"Navas",87.4
"2007-2011",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",86.6
"2007-2011",10,"Sant Martí",65,"el Clot",86.7
"2007-2011",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",85.4
"2007-2011",10,"Sant Martí",67,"la Vila Olímpica del Poblenou",87.0
"2007-2011",10,"Sant Martí",68,"el Poblenou",85.7
"2007-2011",10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",87.3
"2007-2011",10,"Sant Martí",70,"el Besòs i el Maresme",85.0
"2007-2011",10,"Sant Martí",71,"Provençals del Poblenou",86.7
