"Anys_Periode","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Nombre"
"2006-2010",1,"Ciutat Vella",1,"el Raval",77.9
"2006-2010",1,"Ciutat Vella",2,"el Barri Gòtic",81.3
"2006-2010",1,"Ciutat Vella",3,"la Barceloneta",78.3
"2006-2010",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",80.9
"2006-2010",2,"Eixample",5,"el Fort Pienc",83.0
"2006-2010",2,"Eixample",6,"la Sagrada Família",83.2
"2006-2010",2,"Eixample",7,"la Dreta de l'Eixample",81.2
"2006-2010",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",82.3
"2006-2010",2,"Eixample",9,"la Nova Esquerra de l'Eixample",82.1
"2006-2010",2,"Eixample",10,"Sant Antoni",81.7
"2006-2010",3,"Sants-Montjuïc",11,"el Poble Sec",80.6
"2006-2010",3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",""
"2006-2010",3,"Sants-Montjuïc",13,"la Marina de Port",83.1
"2006-2010",3,"Sants-Montjuïc",14,"la Font de la Guatlla",81.5
"2006-2010",3,"Sants-Montjuïc",15,"Hostafrancs",81.2
"2006-2010",3,"Sants-Montjuïc",16,"la Bordeta",83.9
"2006-2010",3,"Sants-Montjuïc",17,"Sants - Badal",83.5
"2006-2010",3,"Sants-Montjuïc",18,"Sants",81.7
"2006-2010",4,"Les Corts",19,"les Corts",83.0
"2006-2010",4,"Les Corts",20,"la Maternitat i Sant Ramon",83.9
"2006-2010",4,"Les Corts",21,"Pedralbes",84.7
"2006-2010",5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",78.9
"2006-2010",5,"Sarrià-Sant Gervasi",23,"Sarrià",83.7
"2006-2010",5,"Sarrià-Sant Gervasi",24,"les Tres Torres",84.7
"2006-2010",5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",83.5
"2006-2010",5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",83.6
"2006-2010",5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",83.7
"2006-2010",6,"Gràcia",28,"Vallcarca i els Penitents",82.6
"2006-2010",6,"Gràcia",29,"el Coll",81.4
"2006-2010",6,"Gràcia",30,"la Salut",79.6
"2006-2010",6,"Gràcia",31,"la Vila de Gràcia",81.8
"2006-2010",6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",82.7
"2006-2010",7,"Horta-Guinardó",33,"el Baix Guinardó",83.9
"2006-2010",7,"Horta-Guinardó",34,"Can Baró",81.5
"2006-2010",7,"Horta-Guinardó",35,"el Guinardó",81.7
"2006-2010",7,"Horta-Guinardó",36,"la Font d'en Fargues",81.6
"2006-2010",7,"Horta-Guinardó",37,"el Carmel",80.7
"2006-2010",7,"Horta-Guinardó",38,"la Teixonera",82.3
"2006-2010",7,"Horta-Guinardó",39,"Sant Genís dels Agudells",81.8
"2006-2010",7,"Horta-Guinardó",40,"Montbau",77.1
"2006-2010",7,"Horta-Guinardó",41,"la Vall d'Hebron",83.6
"2006-2010",7,"Horta-Guinardó",42,"la Clota",""
"2006-2010",7,"Horta-Guinardó",43,"Horta",81.4
"2006-2010",8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",81.8
"2006-2010",8,"Nou Barris",45,"Porta",81.7
"2006-2010",8,"Nou Barris",46,"el Turó de la Peira",80.9
"2006-2010",8,"Nou Barris",47,"Can Peguera",74.7
"2006-2010",8,"Nou Barris",48,"la Guineueta",80.9
"2006-2010",8,"Nou Barris",49,"Canyelles",82.0
"2006-2010",8,"Nou Barris",50,"les Roquetes",79.2
"2006-2010",8,"Nou Barris",51,"Verdun",80.2
"2006-2010",8,"Nou Barris",52,"la Prosperitat",81.7
"2006-2010",8,"Nou Barris",53,"la Trinitat Nova",78.0
"2006-2010",8,"Nou Barris",54,"Torre Baró",""
"2006-2010",8,"Nou Barris",55,"Ciutat Meridiana",80.4
"2006-2010",8,"Nou Barris",56,"Vallbona",""
"2006-2010",9,"Sant Andreu",57,"la Trinitat Vella",80.4
"2006-2010",9,"Sant Andreu",58,"Baró de Viver",74.2
"2006-2010",9,"Sant Andreu",59,"el Bon Pastor",80.4
"2006-2010",9,"Sant Andreu",60,"Sant Andreu",81.7
"2006-2010",9,"Sant Andreu",61,"la Sagrera",83.7
"2006-2010",9,"Sant Andreu",62,"el Congrés i els Indians",81.7
"2006-2010",9,"Sant Andreu",63,"Navas",82.5
"2006-2010",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",82.9
"2006-2010",10,"Sant Martí",65,"el Clot",81.9
"2006-2010",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",82.4
"2006-2010",10,"Sant Martí",67,"la Vila Olímpica del Poblenou",87.2
"2006-2010",10,"Sant Martí",68,"el Poblenou",81.4
"2006-2010",10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",82.1
"2006-2010",10,"Sant Martí",70,"el Besòs i el Maresme",80.2
"2006-2010",10,"Sant Martí",71,"Provençals del Poblenou",80.4
"2006-2010",10,"Sant Martí",72,"Sant Martí de Provençals",81.9
"2006-2010",10,"Sant Martí",73,"la Verneda i la Pau",82.0
"2007-2011",1,"Ciutat Vella",1,"el Raval",75.1
"2007-2011",1,"Ciutat Vella",2,"el Barri Gòtic",78.6
"2007-2011",1,"Ciutat Vella",3,"la Barceloneta",75.0
"2007-2011",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",78.0
"2007-2011",2,"Eixample",5,"el Fort Pienc",80.7
"2007-2011",2,"Eixample",6,"la Sagrada Família",80.6
"2007-2011",2,"Eixample",7,"la Dreta de l'Eixample",78.9
"2007-2011",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",79.8
"2007-2011",2,"Eixample",9,"la Nova Esquerra de l'Eixample",79.9
"2007-2011",2,"Eixample",10,"Sant Antoni",79.3
"2007-2011",3,"Sants-Montjuïc",11,"el Poble Sec",78.2
"2007-2011",3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",""
"2007-2011",3,"Sants-Montjuïc",13,"la Marina de Port",80.3
"2007-2011",3,"Sants-Montjuïc",14,"la Font de la Guatlla",77.9
"2007-2011",3,"Sants-Montjuïc",15,"Hostafrancs",78.9
"2007-2011",3,"Sants-Montjuïc",16,"la Bordeta",80.9
"2007-2011",3,"Sants-Montjuïc",17,"Sants - Badal",81.2
"2007-2011",3,"Sants-Montjuïc",18,"Sants",79.5
"2007-2011",4,"Les Corts",19,"les Corts",81.1
"2007-2011",4,"Les Corts",20,"la Maternitat i Sant Ramon",82.0
"2007-2011",4,"Les Corts",21,"Pedralbes",82.7
