"Anys_Periode","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Nombre"
"2003-2007",1,"Ciutat Vella",1,"el Raval",1446
"2003-2007",1,"Ciutat Vella",2,"el Barri Gòtic",388
"2003-2007",1,"Ciutat Vella",3,"la Barceloneta",445
"2003-2007",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",570
"2003-2007",2,"Eixample",5,"el Fort Pienc",733
"2003-2007",2,"Eixample",6,"la Sagrada Família",1191
"2003-2007",2,"Eixample",7,"la Dreta de l'Eixample",1046
"2003-2007",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",1047
"2003-2007",2,"Eixample",9,"la Nova Esquerra de l'Eixample",1484
"2003-2007",2,"Eixample",10,"Sant Antoni",950
"2003-2007",3,"Sants-Montjuïc",11,"el Poble Sec",1165
"2003-2007",3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",62
"2003-2007",3,"Sants-Montjuïc",13,"la Marina de Port",955
"2003-2007",3,"Sants-Montjuïc",14,"la Font de la Guatlla",240
"2003-2007",3,"Sants-Montjuïc",15,"Hostafrancs",443
"2003-2007",3,"Sants-Montjuïc",16,"la Bordeta",514
"2003-2007",3,"Sants-Montjuïc",17,"Sants - Badal",631
"2003-2007",3,"Sants-Montjuïc",18,"Sants",1019
"2003-2007",4,"Les Corts",19,"les Corts",929
"2003-2007",4,"Les Corts",20,"la Maternitat i Sant Ramon",482
"2003-2007",4,"Les Corts",21,"Pedralbes",238
"2003-2007",5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",113
"2003-2007",5,"Sarrià-Sant Gervasi",23,"Sarrià",729
"2003-2007",5,"Sarrià-Sant Gervasi",24,"les Tres Torres",445
"2003-2007",5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",584
"2003-2007",5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",1175
