"﻿""CODI_CAPA""","CAPA_GENERICA","NOM_CAPA","ED50_COORD_X","ED50_COORD_Y","ETRS89_COORD_X","ETRS89_COORD_Y","LONGITUD","LATITUD","DISTRICTE","BARRI","NOM_DISTRICTE","NOM_BARRI","EQUIPAMENT","ADRECA","TELEFON"
"G006","Serveis religiosos","Comunitats ortodoxes",428677.09,4585174.402,428585.175,4584973.441000001,2.145496,41.413140000000006,6,28,"Gràcia","Vallcarca i els Penitents","Parròquia de l'Anunciació a la Mare de Déu - Patriarcat de Moscou","C Mare de Déu dels Reis, 12",""
"G006","Serveis religiosos","Comunitats ortodoxes",429700.184,4582290.697,429608.25899999996,4582089.762,2.158072,41.387258,2,8,"Eixample","l'Antiga Esquerra de l'Eixample","Parròquia de Protecció de la Mare de Déu - Patriarcat de Sèrbia","C Aragó, 181","934532508"
"G003","Serveis religiosos","Centres budistes",429405.511,4582743.435,429313.589,4582542.496,2.1544950000000003,41.39131,2,8,"Eixample","l'Antiga Esquerra de l'Eixample","Fundació Casa del Tibet","C Rosselló, 181","932075966"
"G008","Serveis religiosos","Esglésies catòliques",426908.341,4584484.398,426816.44299999997,4584283.444,2.124418,41.406766,5,25,"Sarrià-Sant Gervasi","Sant Gervasi - la Bonanova","Escola Pia de Sarrià-Calassanç-Església","C Immaculada, 25","932120908"
"G008","Serveis religiosos","Esglésies catòliques",429882.984,4581019.005,429791.05700000003,4580818.0819999995,2.160405,41.375820000000004,2,10,"Eixample","Sant Antoni","Parròquia de Sant Domènec Guzmán","C Calàbria, 12","934233875"
"G008","Serveis religiosos","Esglésies catòliques",428092.417,4583770.925,428000.50700000004,4583569.977,2.138668,41.400447,5,26,"Sarrià-Sant Gervasi","Sant Gervasi - Galvany","Monestir de Santa Maria Magdalena","C Vallmajor, 29","932011907"
"G009","Serveis religiosos","Esglésies evangèliques",431416.658,4586997.68,431324.719,4586796.701,2.178065,41.4298,8,44,"Nou Barris","Vilapicina i la Torre Llobeta","Església Evangèlica de Déu de la Profecia","C Emili Roca, 35",""
"G008","Serveis religiosos","Esglésies catòliques",425812.064,4582933.26,425720.175,4582732.321,2.111494,41.392696,4,21,"Les Corts","Pedralbes","Parròquia de Maria Reina","Av Esplugues, 103","932035539"
"G001","Serveis religiosos","Capelles de l'Església de Jesucrist dels S.D.D.",427793.79,4582098.086,427701.883,4581897.154,2.135296,41.385354,4,19,"Les Corts","les Corts","Església de Jesucrist dels Sants dels Darrers Dies - Marquès de Sentmenat","C Marquès de Sentmenat, 35*37","933215525"
"G008","Serveis religiosos","Esglésies catòliques",427528.888,4582271.493,427436.98299999995,4582070.558999999,2.132107,41.386891999999996,4,19,"Les Corts","les Corts","Parròquia de Santa Maria del Remei","Pl Concòrdia, 1","934393524"
"G008","Serveis religiosos","Esglésies catòliques",431614.835,4588433.323,431522.894,4588232.331,2.1802740000000003,41.442747,8,52,"Nou Barris","la Prosperitat","Parròquia de Santa Engràcia","Pl Santa Engràcia, 1","933540616"
"G008","Serveis religiosos","Esglésies catòliques",429703.87200000003,4583520.739,429611.94700000004,4583319.7930000005,2.157973,41.398337,6,31,"Gràcia","la Vila de Gràcia","Parròquia de Santa Maria de Gràcia","C Gràcia, 3","932187572"
"G009","Serveis religiosos","Esglésies evangèliques",431886.979,4586019.75,431795.035,4585818.78,2.1838040000000003,41.421032000000004,9,63,"Sant Andreu","Navas","Església Evangèlica Centro Familiar Cristiano Internacional","C Concepción Arenal, 53","640763396"
"G009","Serveis religiosos","Esglésies evangèliques",433452.658,4585995.038,433360.7,4585794.068,2.202541,41.420941,10,73,"Sant Martí","la Verneda i la Pau","Església Evangèlica de Filadèlfia - Poblenou","C Estartit, 2",""
"G008","Serveis religiosos","Esglésies catòliques",426478.265,4583041.371,426386.37,4582840.43,2.1194490000000004,41.39373,5,23,"Sarrià-Sant Gervasi","Sarrià","Església dels Caputxins de Sarrià","C Cardenal Vives i Tutó, 2*16","932043458"
"G009","Serveis religiosos","Esglésies evangèliques",432057.11,4589334.587,431965.165,4589133.586,2.185466,41.450902,8,53,"Nou Barris","la Trinitat Nova","Església Evangèlica Pentecostal Salem","C Aiguablava, 93",""
