"﻿""Any""","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Nombre"
2019,1,"Ciutat Vella",1,"el Raval","Dones",2428
2019,1,"Ciutat Vella",2,"el Barri Gòtic","Dones",1599
2019,1,"Ciutat Vella",3,"la Barceloneta","Dones",961
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dones",1478
2019,2,"Eixample",5,"el Fort Pienc","Dones",1557
2019,2,"Eixample",6,"la Sagrada Família","Dones",2106
2019,2,"Eixample",7,"la Dreta de l'Eixample","Dones",1987
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dones",1983
2019,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Dones",2306
2019,2,"Eixample",10,"Sant Antoni","Dones",1492
2019,3,"Sants-Montjuïc",11,"el Poble Sec","Dones",1709
2019,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Dones",28
2019,3,"Sants-Montjuïc",13,"la Marina de Port","Dones",902
2019,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Dones",377
2019,3,"Sants-Montjuïc",15,"Hostafrancs","Dones",704
2019,3,"Sants-Montjuïc",16,"la Bordeta","Dones",527
2019,3,"Sants-Montjuïc",17,"Sants - Badal","Dones",982
2019,3,"Sants-Montjuïc",18,"Sants","Dones",1929
2019,4,"Les Corts",19,"les Corts","Dones",1304
2019,4,"Les Corts",20,"la Maternitat i Sant Ramon","Dones",781
2019,4,"Les Corts",21,"Pedralbes","Dones",364
2019,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Dones",93
2019,5,"Sarrià-Sant Gervasi",23,"Sarrià","Dones",647
2019,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Dones",363
2019,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Dones",747
2019,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Dones",1281
2019,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Dones",913
2019,6,"Gràcia",28,"Vallcarca i els Penitents","Dones",452
2019,6,"Gràcia",29,"el Coll","Dones",237
2019,6,"Gràcia",30,"la Salut","Dones",334
2019,6,"Gràcia",31,"la Vila de Gràcia","Dones",2115
2019,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Dones",1131
2019,7,"Horta-Guinardó",33,"el Baix Guinardó","Dones",727
2019,7,"Horta-Guinardó",34,"Can Baró","Dones",256
2019,7,"Horta-Guinardó",35,"el Guinardó","Dones",1045
2019,7,"Horta-Guinardó",36,"la Font d'en Fargues","Dones",172
2019,7,"Horta-Guinardó",37,"el Carmel","Dones",871
2019,7,"Horta-Guinardó",38,"la Teixonera","Dones",365
2019,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Dones",196
2019,7,"Horta-Guinardó",40,"Montbau","Dones",176
2019,7,"Horta-Guinardó",41,"la Vall d'Hebron","Dones",129
2019,7,"Horta-Guinardó",42,"la Clota","Dones",13
2019,7,"Horta-Guinardó",43,"Horta","Dones",936
2019,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Dones",682
2019,8,"Nou Barris",45,"Porta","Dones",1156
2019,8,"Nou Barris",46,"el Turó de la Peira","Dones",576
2019,8,"Nou Barris",47,"Can Peguera","Dones",28
2019,8,"Nou Barris",48,"la Guineueta","Dones",287
2019,8,"Nou Barris",49,"Canyelles","Dones",82
2019,8,"Nou Barris",50,"les Roquetes","Dones",514
2019,8,"Nou Barris",51,"Verdun","Dones",405
2019,8,"Nou Barris",52,"la Prosperitat","Dones",754
2019,8,"Nou Barris",53,"la Trinitat Nova","Dones",251
2019,8,"Nou Barris",54,"Torre Baró","Dones",79
2019,8,"Nou Barris",55,"Ciutat Meridiana","Dones",374
2019,8,"Nou Barris",56,"Vallbona","Dones",48
2019,9,"Sant Andreu",57,"la Trinitat Vella","Dones",304
2019,9,"Sant Andreu",58,"Baró de Viver","Dones",69
2019,9,"Sant Andreu",59,"el Bon Pastor","Dones",441
2019,9,"Sant Andreu",60,"Sant Andreu","Dones",1123
2019,9,"Sant Andreu",61,"la Sagrera","Dones",776
2019,9,"Sant Andreu",62,"el Congrés i els Indians","Dones",377
2019,9,"Sant Andreu",63,"Navas","Dones",596
2019,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Dones",1324
2019,10,"Sant Martí",65,"el Clot","Dones",761
2019,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Dones",490
2019,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Dones",222
2019,10,"Sant Martí",68,"el Poblenou","Dones",982
2019,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Dones",363
2019,10,"Sant Martí",70,"el Besòs i el Maresme","Dones",1087
2019,10,"Sant Martí",71,"Provençals del Poblenou","Dones",507
2019,10,"Sant Martí",72,"Sant Martí de Provençals","Dones",637
2019,10,"Sant Martí",73,"la Verneda i la Pau","Dones",646
2019,1,"Ciutat Vella",1,"el Raval","Homes",3536
2019,1,"Ciutat Vella",2,"el Barri Gòtic","Homes",3126
2019,1,"Ciutat Vella",3,"la Barceloneta","Homes",976
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Homes",1522
2019,2,"Eixample",5,"el Fort Pienc","Homes",1518
2019,2,"Eixample",6,"la Sagrada Família","Homes",1992
2019,2,"Eixample",7,"la Dreta de l'Eixample","Homes",1781
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Homes",2016
2019,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Homes",2041
2019,2,"Eixample",10,"Sant Antoni","Homes",1477
2019,3,"Sants-Montjuïc",11,"el Poble Sec","Homes",1837
2019,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Homes",31
2019,3,"Sants-Montjuïc",13,"la Marina de Port","Homes",859
2019,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Homes",402
2019,3,"Sants-Montjuïc",15,"Hostafrancs","Homes",652
2019,3,"Sants-Montjuïc",16,"la Bordeta","Homes",553
2019,3,"Sants-Montjuïc",17,"Sants - Badal","Homes",1027
2019,3,"Sants-Montjuïc",18,"Sants","Homes",2320
2019,4,"Les Corts",19,"les Corts","Homes",1293
2019,4,"Les Corts",20,"la Maternitat i Sant Ramon","Homes",805
2019,4,"Les Corts",21,"Pedralbes","Homes",361
2019,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Homes",80
2019,5,"Sarrià-Sant Gervasi",23,"Sarrià","Homes",616
2019,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Homes",324
2019,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Homes",757
2019,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Homes",1052
2019,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Homes",827
2019,6,"Gràcia",28,"Vallcarca i els Penitents","Homes",403
2019,6,"Gràcia",29,"el Coll","Homes",220
2019,6,"Gràcia",30,"la Salut","Homes",341
2019,6,"Gràcia",31,"la Vila de Gràcia","Homes",1819
2019,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Homes",1072
2019,7,"Horta-Guinardó",33,"el Baix Guinardó","Homes",680
2019,7,"Horta-Guinardó",34,"Can Baró","Homes",258
2019,7,"Horta-Guinardó",35,"el Guinardó","Homes",976
2019,7,"Horta-Guinardó",36,"la Font d'en Fargues","Homes",146
2019,7,"Horta-Guinardó",37,"el Carmel","Homes",907
2019,7,"Horta-Guinardó",38,"la Teixonera","Homes",343
2019,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Homes",253
2019,7,"Horta-Guinardó",40,"Montbau","Homes",159
2019,7,"Horta-Guinardó",41,"la Vall d'Hebron","Homes",100
2019,7,"Horta-Guinardó",42,"la Clota","Homes",21
2019,7,"Horta-Guinardó",43,"Horta","Homes",902
2019,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Homes",679
2019,8,"Nou Barris",45,"Porta","Homes",1166
2019,8,"Nou Barris",46,"el Turó de la Peira","Homes",529
2019,8,"Nou Barris",47,"Can Peguera","Homes",24
2019,8,"Nou Barris",48,"la Guineueta","Homes",252
2019,8,"Nou Barris",49,"Canyelles","Homes",94
2019,8,"Nou Barris",50,"les Roquetes","Homes",550
2019,8,"Nou Barris",51,"Verdun","Homes",369
2019,8,"Nou Barris",52,"la Prosperitat","Homes",628
2019,8,"Nou Barris",53,"la Trinitat Nova","Homes",245
2019,8,"Nou Barris",54,"Torre Baró","Homes",76
2019,8,"Nou Barris",55,"Ciutat Meridiana","Homes",400
2019,8,"Nou Barris",56,"Vallbona","Homes",34
2019,9,"Sant Andreu",57,"la Trinitat Vella","Homes",414
2019,9,"Sant Andreu",58,"Baró de Viver","Homes",79
2019,9,"Sant Andreu",59,"el Bon Pastor","Homes",578
2019,9,"Sant Andreu",60,"Sant Andreu","Homes",1117
2019,9,"Sant Andreu",61,"la Sagrera","Homes",699
2019,9,"Sant Andreu",62,"el Congrés i els Indians","Homes",387
2019,9,"Sant Andreu",63,"Navas","Homes",553
2019,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Homes",1255
2019,10,"Sant Martí",65,"el Clot","Homes",690
2019,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Homes",546
2019,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Homes",218
2019,10,"Sant Martí",68,"el Poblenou","Homes",972
2019,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Homes",351
2019,10,"Sant Martí",70,"el Besòs i el Maresme","Homes",1640
2019,10,"Sant Martí",71,"Provençals del Poblenou","Homes",583
2019,10,"Sant Martí",72,"Sant Martí de Provençals","Homes",555
