"﻿""Any""","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Moviment","Nacionalitat","Nombre"
2019,1,"Ciutat Vella",1,"el Raval","Alta","Espanyols",1196
2019,1,"Ciutat Vella",2,"el Barri Gòtic","Alta","Espanyols",450
2019,1,"Ciutat Vella",3,"la Barceloneta","Alta","Espanyols",452
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Alta","Espanyols",632
2019,2,"Eixample",5,"el Fort Pienc","Alta","Espanyols",882
2019,2,"Eixample",6,"la Sagrada Família","Alta","Espanyols",1481
2019,2,"Eixample",7,"la Dreta de l'Eixample","Alta","Espanyols",1335
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Alta","Espanyols",1230
2019,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Alta","Espanyols",1693
2019,2,"Eixample",10,"Sant Antoni","Alta","Espanyols",1202
2019,3,"Sants-Montjuïc",11,"el Poble Sec","Alta","Espanyols",1156
2019,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Alta","Espanyols",58
2019,3,"Sants-Montjuïc",13,"la Marina de Port","Alta","Espanyols",921
2019,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Alta","Espanyols",276
2019,3,"Sants-Montjuïc",15,"Hostafrancs","Alta","Espanyols",499
2019,3,"Sants-Montjuïc",16,"la Bordeta","Alta","Espanyols",649
2019,3,"Sants-Montjuïc",17,"Sants - Badal","Alta","Espanyols",749
2019,3,"Sants-Montjuïc",18,"Sants","Alta","Espanyols",1475
2019,4,"Les Corts",19,"les Corts","Alta","Espanyols",1483
2019,4,"Les Corts",20,"la Maternitat i Sant Ramon","Alta","Espanyols",685
2019,4,"Les Corts",21,"Pedralbes","Alta","Espanyols",396
2019,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Alta","Espanyols",181
2019,5,"Sarrià-Sant Gervasi",23,"Sarrià","Alta","Espanyols",1121
2019,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Alta","Espanyols",725
2019,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Alta","Espanyols",1089
2019,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Alta","Espanyols",1824
2019,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Alta","Espanyols",1295
2019,6,"Gràcia",28,"Vallcarca i els Penitents","Alta","Espanyols",589
2019,6,"Gràcia",29,"el Coll","Alta","Espanyols",287
2019,6,"Gràcia",30,"la Salut","Alta","Espanyols",548
2019,6,"Gràcia",31,"la Vila de Gràcia","Alta","Espanyols",1691
2019,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Alta","Espanyols",1111
2019,7,"Horta-Guinardó",33,"el Baix Guinardó","Alta","Espanyols",1017
2019,7,"Horta-Guinardó",34,"Can Baró","Alta","Espanyols",359
2019,7,"Horta-Guinardó",35,"el Guinardó","Alta","Espanyols",1370
2019,7,"Horta-Guinardó",36,"la Font d'en Fargues","Alta","Espanyols",320
2019,7,"Horta-Guinardó",37,"el Carmel","Alta","Espanyols",1032
2019,7,"Horta-Guinardó",38,"la Teixonera","Alta","Espanyols",398
2019,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Alta","Espanyols",280
2019,7,"Horta-Guinardó",40,"Montbau","Alta","Espanyols",185
2019,7,"Horta-Guinardó",41,"la Vall d'Hebron","Alta","Espanyols",226
2019,7,"Horta-Guinardó",42,"la Clota","Alta","Espanyols",24
