"﻿""Any""","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Persones","Nombre"
2020,1,"Ciutat Vella",1,"el Raval","Cap persona de 65 anys i més",13127
2020,1,"Ciutat Vella",2,"el Barri Gòtic","Cap persona de 65 anys i més",5026
2020,1,"Ciutat Vella",3,"la Barceloneta","Cap persona de 65 anys i més",5023
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Cap persona de 65 anys i més",7736
2020,2,"Eixample",5,"el Fort Pienc","Cap persona de 65 anys i més",7957
2020,2,"Eixample",6,"la Sagrada Família","Cap persona de 65 anys i més",13504
2020,2,"Eixample",7,"la Dreta de l'Eixample","Cap persona de 65 anys i més",11848
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Cap persona de 65 anys i més",11491
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Cap persona de 65 anys i més",14728
2020,2,"Eixample",10,"Sant Antoni","Cap persona de 65 anys i més",9987
2020,3,"Sants-Montjuïc",11,"el Poble Sec","Cap persona de 65 anys i més",10935
2020,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Cap persona de 65 anys i més",314
2020,3,"Sants-Montjuïc",13,"la Marina de Port","Cap persona de 65 anys i més",7445
2020,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Cap persona de 65 anys i més",2587
2020,3,"Sants-Montjuïc",15,"Hostafrancs","Cap persona de 65 anys i més",4447
2020,3,"Sants-Montjuïc",16,"la Bordeta","Cap persona de 65 anys i més",4826
2020,3,"Sants-Montjuïc",17,"Sants - Badal","Cap persona de 65 anys i més",6125
2020,3,"Sants-Montjuïc",18,"Sants","Cap persona de 65 anys i més",10903
2020,4,"Les Corts",19,"les Corts","Cap persona de 65 anys i més",10546
2020,4,"Les Corts",20,"la Maternitat i Sant Ramon","Cap persona de 65 anys i més",5191
2020,4,"Les Corts",21,"Pedralbes","Cap persona de 65 anys i més",2166
2020,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Cap persona de 65 anys i més",1114
2020,5,"Sarrià-Sant Gervasi",23,"Sarrià","Cap persona de 65 anys i més",5334
2020,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Cap persona de 65 anys i més",3206
2020,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Cap persona de 65 anys i més",5536
