"﻿""Any""","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Persones","Nombre"
2020,1,"Ciutat Vella",1,"el Raval","1 persona",6051
2020,1,"Ciutat Vella",2,"el Barri Gòtic","1 persona",2555
2020,1,"Ciutat Vella",3,"la Barceloneta","1 persona",2843
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","1 persona",4127
2020,2,"Eixample",5,"el Fort Pienc","1 persona",3914
2020,2,"Eixample",6,"la Sagrada Família","1 persona",7194
2020,2,"Eixample",7,"la Dreta de l'Eixample","1 persona",6340
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","1 persona",6406
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample","1 persona",8094
2020,2,"Eixample",10,"Sant Antoni","1 persona",5485
2020,3,"Sants-Montjuïc",11,"el Poble Sec","1 persona",5364
2020,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","1 persona",189
2020,3,"Sants-Montjuïc",13,"la Marina de Port","1 persona",3288
2020,3,"Sants-Montjuïc",14,"la Font de la Guatlla","1 persona",1356
2020,3,"Sants-Montjuïc",15,"Hostafrancs","1 persona",2163
2020,3,"Sants-Montjuïc",16,"la Bordeta","1 persona",2217
2020,3,"Sants-Montjuïc",17,"Sants - Badal","1 persona",3003
2020,3,"Sants-Montjuïc",18,"Sants","1 persona",5686
2020,4,"Les Corts",19,"les Corts","1 persona",5861
2020,4,"Les Corts",20,"la Maternitat i Sant Ramon","1 persona",2773
2020,4,"Les Corts",21,"Pedralbes","1 persona",1107
2020,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","1 persona",372
2020,5,"Sarrià-Sant Gervasi",23,"Sarrià","1 persona",2438
2020,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","1 persona",1407
2020,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","1 persona",2728
2020,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","1 persona",5926
2020,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","1 persona",4068
2020,6,"Gràcia",28,"Vallcarca i els Penitents","1 persona",2083
2020,6,"Gràcia",29,"el Coll","1 persona",998
2020,6,"Gràcia",30,"la Salut","1 persona",1768
2020,6,"Gràcia",31,"la Vila de Gràcia","1 persona",8734
2020,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","1 persona",5013
2020,7,"Horta-Guinardó",33,"el Baix Guinardó","1 persona",3397
2020,7,"Horta-Guinardó",34,"Can Baró","1 persona",1187
2020,7,"Horta-Guinardó",35,"el Guinardó","1 persona",4842
2020,7,"Horta-Guinardó",36,"la Font d'en Fargues","1 persona",985
2020,7,"Horta-Guinardó",37,"el Carmel","1 persona",3561
2020,7,"Horta-Guinardó",38,"la Teixonera","1 persona",1399
2020,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","1 persona",897
2020,7,"Horta-Guinardó",40,"Montbau","1 persona",710
2020,7,"Horta-Guinardó",41,"la Vall d'Hebron","1 persona",662
