"﻿""Any""","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Persones","Nombre"
2020,1,"Ciutat Vella",1,"el Raval","Cap persona de 18 a 64 anys",2326
2020,1,"Ciutat Vella",2,"el Barri Gòtic","Cap persona de 18 a 64 anys",929
2020,1,"Ciutat Vella",3,"la Barceloneta","Cap persona de 18 a 64 anys",1186
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Cap persona de 18 a 64 anys",1466
2020,2,"Eixample",5,"el Fort Pienc","Cap persona de 18 a 64 anys",2933
2020,2,"Eixample",6,"la Sagrada Família","Cap persona de 18 a 64 anys",5146
2020,2,"Eixample",7,"la Dreta de l'Eixample","Cap persona de 18 a 64 anys",3996
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Cap persona de 18 a 64 anys",4011
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Cap persona de 18 a 64 anys",6083
2020,2,"Eixample",10,"Sant Antoni","Cap persona de 18 a 64 anys",3940
2020,3,"Sants-Montjuïc",11,"el Poble Sec","Cap persona de 18 a 64 anys",2912
2020,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Cap persona de 18 a 64 anys",99
2020,3,"Sants-Montjuïc",13,"la Marina de Port","Cap persona de 18 a 64 anys",2649
2020,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Cap persona de 18 a 64 anys",1009
2020,3,"Sants-Montjuïc",15,"Hostafrancs","Cap persona de 18 a 64 anys",1306
2020,3,"Sants-Montjuïc",16,"la Bordeta","Cap persona de 18 a 64 anys",1819
2020,3,"Sants-Montjuïc",17,"Sants - Badal","Cap persona de 18 a 64 anys",2322
2020,3,"Sants-Montjuïc",18,"Sants","Cap persona de 18 a 64 anys",3875
2020,4,"Les Corts",19,"les Corts","Cap persona de 18 a 64 anys",5158
2020,4,"Les Corts",20,"la Maternitat i Sant Ramon","Cap persona de 18 a 64 anys",2654
2020,4,"Les Corts",21,"Pedralbes","Cap persona de 18 a 64 anys",1137
2020,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Cap persona de 18 a 64 anys",241
2020,5,"Sarrià-Sant Gervasi",23,"Sarrià","Cap persona de 18 a 64 anys",2007
2020,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Cap persona de 18 a 64 anys",1342
2020,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Cap persona de 18 a 64 anys",2272
2020,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Cap persona de 18 a 64 anys",4601
2020,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Cap persona de 18 a 64 anys",2854
2020,6,"Gràcia",28,"Vallcarca i els Penitents","Cap persona de 18 a 64 anys",1545
2020,6,"Gràcia",29,"el Coll","Cap persona de 18 a 64 anys",674
2020,6,"Gràcia",30,"la Salut","Cap persona de 18 a 64 anys",1420
2020,6,"Gràcia",31,"la Vila de Gràcia","Cap persona de 18 a 64 anys",4408
2020,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Cap persona de 18 a 64 anys",3787
2020,7,"Horta-Guinardó",33,"el Baix Guinardó","Cap persona de 18 a 64 anys",2701
2020,7,"Horta-Guinardó",34,"Can Baró","Cap persona de 18 a 64 anys",875
2020,7,"Horta-Guinardó",35,"el Guinardó","Cap persona de 18 a 64 anys",3672
2020,7,"Horta-Guinardó",36,"la Font d'en Fargues","Cap persona de 18 a 64 anys",927
2020,7,"Horta-Guinardó",37,"el Carmel","Cap persona de 18 a 64 anys",3114
2020,7,"Horta-Guinardó",38,"la Teixonera","Cap persona de 18 a 64 anys",1080
2020,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Cap persona de 18 a 64 anys",838
2020,7,"Horta-Guinardó",40,"Montbau","Cap persona de 18 a 64 anys",583
2020,7,"Horta-Guinardó",41,"la Vall d'Hebron","Cap persona de 18 a 64 anys",693
2020,7,"Horta-Guinardó",42,"la Clota","Cap persona de 18 a 64 anys",38
2020,7,"Horta-Guinardó",43,"Horta","Cap persona de 18 a 64 anys",2839
2020,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Cap persona de 18 a 64 anys",2885
2020,8,"Nou Barris",45,"Porta","Cap persona de 18 a 64 anys",2811
2020,8,"Nou Barris",46,"el Turó de la Peira","Cap persona de 18 a 64 anys",1573
2020,8,"Nou Barris",47,"Can Peguera","Cap persona de 18 a 64 anys",186
2020,8,"Nou Barris",48,"la Guineueta","Cap persona de 18 a 64 anys",1975
2020,8,"Nou Barris",49,"Canyelles","Cap persona de 18 a 64 anys",827
2020,8,"Nou Barris",50,"les Roquetes","Cap persona de 18 a 64 anys",1218
2020,8,"Nou Barris",51,"Verdun","Cap persona de 18 a 64 anys",1272
2020,8,"Nou Barris",52,"la Prosperitat","Cap persona de 18 a 64 anys",3067
2020,8,"Nou Barris",53,"la Trinitat Nova","Cap persona de 18 a 64 anys",576
2020,8,"Nou Barris",54,"Torre Baró","Cap persona de 18 a 64 anys",119
2020,8,"Nou Barris",55,"Ciutat Meridiana","Cap persona de 18 a 64 anys",781
2020,8,"Nou Barris",56,"Vallbona","Cap persona de 18 a 64 anys",57
2020,9,"Sant Andreu",57,"la Trinitat Vella","Cap persona de 18 a 64 anys",633
2020,9,"Sant Andreu",58,"Baró de Viver","Cap persona de 18 a 64 anys",174
2020,9,"Sant Andreu",59,"el Bon Pastor","Cap persona de 18 a 64 anys",888
2020,9,"Sant Andreu",60,"Sant Andreu","Cap persona de 18 a 64 anys",5671
2020,9,"Sant Andreu",61,"la Sagrera","Cap persona de 18 a 64 anys",3041
2020,9,"Sant Andreu",62,"el Congrés i els Indians","Cap persona de 18 a 64 anys",1444
2020,9,"Sant Andreu",63,"Navas","Cap persona de 18 a 64 anys",2406
2020,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Cap persona de 18 a 64 anys",4036
2020,10,"Sant Martí",65,"el Clot","Cap persona de 18 a 64 anys",2309
2020,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Cap persona de 18 a 64 anys",1371
2020,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Cap persona de 18 a 64 anys",562
2020,10,"Sant Martí",68,"el Poblenou","Cap persona de 18 a 64 anys",2375
2020,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Cap persona de 18 a 64 anys",875
2020,10,"Sant Martí",70,"el Besòs i el Maresme","Cap persona de 18 a 64 anys",1797
2020,10,"Sant Martí",71,"Provençals del Poblenou","Cap persona de 18 a 64 anys",1584
2020,10,"Sant Martí",72,"Sant Martí de Provençals","Cap persona de 18 a 64 anys",2945
2020,10,"Sant Martí",73,"la Verneda i la Pau","Cap persona de 18 a 64 anys",3249
2020,1,"Ciutat Vella",1,"el Raval","1 persona",5653
2020,1,"Ciutat Vella",2,"el Barri Gòtic","1 persona",2393
2020,1,"Ciutat Vella",3,"la Barceloneta","1 persona",2623
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","1 persona",3928
2020,2,"Eixample",5,"el Fort Pienc","1 persona",3633
2020,2,"Eixample",6,"la Sagrada Família","1 persona",6602
2020,2,"Eixample",7,"la Dreta de l'Eixample","1 persona",5908
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","1 persona",5874
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample","1 persona",7365
2020,2,"Eixample",10,"Sant Antoni","1 persona",4808
2020,3,"Sants-Montjuïc",11,"el Poble Sec","1 persona",5081
2020,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","1 persona",178
2020,3,"Sants-Montjuïc",13,"la Marina de Port","1 persona",3186
2020,3,"Sants-Montjuïc",14,"la Font de la Guatlla","1 persona",1276
2020,3,"Sants-Montjuïc",15,"Hostafrancs","1 persona",2134
2020,3,"Sants-Montjuïc",16,"la Bordeta","1 persona",2158
2020,3,"Sants-Montjuïc",17,"Sants - Badal","1 persona",2949
2020,3,"Sants-Montjuïc",18,"Sants","1 persona",5258
2020,4,"Les Corts",19,"les Corts","1 persona",5593
2020,4,"Les Corts",20,"la Maternitat i Sant Ramon","1 persona",2730
2020,4,"Les Corts",21,"Pedralbes","1 persona",1161
2020,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","1 persona",438
2020,5,"Sarrià-Sant Gervasi",23,"Sarrià","1 persona",2508
2020,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","1 persona",1436
2020,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","1 persona",2735
2020,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","1 persona",5610
2020,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","1 persona",3809
2020,6,"Gràcia",28,"Vallcarca i els Penitents","1 persona",2011
2020,6,"Gràcia",29,"el Coll","1 persona",973
2020,6,"Gràcia",30,"la Salut","1 persona",1613
2020,6,"Gràcia",31,"la Vila de Gràcia","1 persona",8161
2020,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","1 persona",4554
2020,7,"Horta-Guinardó",33,"el Baix Guinardó","1 persona",3142
2020,7,"Horta-Guinardó",34,"Can Baró","1 persona",1174
2020,7,"Horta-Guinardó",35,"el Guinardó","1 persona",4493
2020,7,"Horta-Guinardó",36,"la Font d'en Fargues","1 persona",1038
2020,7,"Horta-Guinardó",37,"el Carmel","1 persona",3506
2020,7,"Horta-Guinardó",38,"la Teixonera","1 persona",1415
2020,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","1 persona",779
2020,7,"Horta-Guinardó",40,"Montbau","1 persona",583
2020,7,"Horta-Guinardó",41,"la Vall d'Hebron","1 persona",561
2020,7,"Horta-Guinardó",42,"la Clota","1 persona",88
2020,7,"Horta-Guinardó",43,"Horta","1 persona",2959
2020,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","1 persona",2766
2020,8,"Nou Barris",45,"Porta","1 persona",2788
2020,8,"Nou Barris",46,"el Turó de la Peira","1 persona",1744
